Genes down-regulated by TNF-·	Accession number	Fold-change in wildtype HUVEC	p-value	Confirmed in vector-transfected HUVEC	Inhibition dependent on IKK2/ NF-ÍB (%)	Inhibition dependent on p38 MAP kinase (%)	Function
Coxsackie virus and adenovirus receptor (CAR)	NM_001338.1	-2.8	< 0.001	yes	100	no	Cell surface receptors
G-protein coupled receptor of family 2 (comprising hormone, neurotransmitter and light receptors)	AL033377	-2.6	< 0.001	yes	100	no	Cell surface receptors
Inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	D13889	-3.6	< 0.001	no		no	Signaling/transcription
SRY (sex determining region Y)-box 18	NM_018419.1	-3.2	< 0.001	yes	100	no	Signaling/transcription
CBP/p300-interacting transactivator 2 (MSG-related protein 1. MRG1 protein)	AF109161.1	-2.9	< 0.001	yes		no	Signaling/transcription
v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	AI356412	-2.8	< 0.005	yes	100	no	Signaling/transcription
Protein of an intracellular signaling cascade with phorbolester and diacyglycerol binding domains	AB028998.1	-3.2	< 0.005	yes		no	Signaling/transcription
Nuclear receptor subfamily 2. group F, member 2 (NR2F2), transcritption factor	AL554245	-2.8	< 0.001	yes		no	Signaling/transcription
GHMP (galacto, homoserin, mevalonate and phosphomevalonate) kinase with ATP-binding region	NM_023037.1	-2.7	< 0.05	yes		no	Signaling/transcription
DnaJ homolog, subfamily B. member 4 (HSP40)	BG252490	-4	< 0.001	yes	100	no	Inflammation/immune response
Cyclin E2	NM_004702.1	-2.7	< 0.001	yes		no	Apoptosis/cell proliferation/cell cycle
Cyclin A1	NM_003914.1	-2.5	< 0.001	no		no	Apoptosis/cell proliferation/cell cycle
Hypothetical protein FLJ23056	NM_024582.1	-3.6	<0.00001	yes	59	no	Others
Dachshund homolog	AW772082	-3.1	< 0.001	yes		no	Others
Palmdelphin (might be related to cell shape control)	NM_017734.1	-2.7	< 0.001	yes		no	Others
Hypothetical protein BC013764 (putative regulator of potassium channels protein variant 2)	AA551075	-2.5	< 0.001	yes		no	Others
DNA from clone DKFZp564H1916	AI186739	-2.5	< 0.001	yes		no	Others
