PID	SYMBOL	TITLE	CYTOBAND	ENTREZ GENE ID	REFSEQ ACCESSION NUMBER	Location	Type(s)	t-test (t)	t-test (p)	FDR	Status
211339_s_at	ITK	IL2-inducible T-cell kinase	5q31-q32	3702	D13720	Cytoplasm	kinase	12.52	7.81084E-19	1.06212E-14	up High vs Low
204891_s_at	LCK	lymphocyte-specific protein tyrosine kinase	1p34.3	3932	NM_005356	Cytoplasm	kinase	12.13	2.14105E-18	1.4557E-14	up High vs Low
231776_at	EOMES	eomesodermin homolog (Xenopus laevis)	3p21.3-p21.2	8320	NM_005442	Nucleus	transcription regulator	11.93	2.67189E-15	2.01846E-12	up High vs Low
1554240_a_at	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	16p11.2	3683	BC008777	Plasma Membrane	other	11.62	2.39687E-17	6.99027E-14	up High vs Low
1555613_a_at	ZAP70	zeta-chain (TCR) associated protein kinase 70kDa	2q12	7535	AB083211	Plasma Membrane	kinase	11.48	2.15109E-15	1.82816E-12	up High vs Low
211796_s_at	TRBV19	T cell receptor beta variable 19	7q34	28568	AF043179	Plasma Membrane		11.41	1.02683E-17	4.65429E-14	up High vs Low
210031_at	CD247	CD247 molecule	1q22-q23	919	J04132	Plasma Membrane	transmembrane receptor	11.38	3.31075E-17	6.99027E-14	up High vs Low
1559584_a_at	C16orf54	chromosome 16 open reading frame 54	16p11.2	283897	BC025741	unknown	other	11.32	1.51702E-16	2.29205E-13	up High vs Low
206337_at	CCR7	chemokine (C-C motif) receptor 7	17q12-q21.2	1236	NM_001838	Plasma Membrane	G-protein coupled receptor	11.3	4.76058E-16	5.88494E-13	up High vs Low
206991_s_at	CCR5	chemokine (C-C motif) receptor 5	3p21.31	1234	NM_000579	Plasma Membrane	G-protein coupled receptor	11.26	2.50868E-16	3.4113E-13	up High vs Low
209083_at	CORO1A	coronin, actin binding protein, 1A	16p11.2	11151	U34690	Cytoplasm	other	11.2	7.59299E-16	7.94227E-13	up High vs Low
227677_at	JAK3	Janus kinase 3 (a protein tyrosine kinase, leukocyte)	19p13.1	3718	BF512748	Cytoplasm	kinase	11.2	9.10682E-16	8.84533E-13	up High vs Low
205213_at	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	17p13.1	9744	NM_014716	Nucleus	other	11.19	6.86627E-16	7.78063E-13	up High vs Low
204116_at	IL2RG	interleukin 2 receptor, gamma (severe combined immunodeficiency)	Xq13.1	3561	NM_000206	Plasma Membrane	transmembrane receptor	11.13	3.35374E-17	6.99027E-14	up High vs Low
209670_at	TRAC	T cell receptor alpha constant	14q11	28755	M12959	unknown	other	11.12	3.59846E-17	6.99027E-14	up High vs Low
205831_at	CD2	CD2 molecule	1p13	914	NM_001767	Plasma Membrane	transmembrane receptor	11.1	4.91503E-17	8.35432E-14	up High vs Low
226906_s_at	ARHGAP9	Rho GTPase activating protein 9	12q14	64333	AL548053	unknown	other	11.07	2.46546E-13	9.57865E-11	up High vs Low
206181_at	SLAMF1	signaling lymphocytic activation molecule family member 1	1q22-q23	6504	NM_003037	Plasma Membrane	transmembrane receptor	11	4.00916E-15	2.59602E-12	up High vs Low
204912_at	IL10RA	interleukin 10 receptor, alpha	11q23	3587	NM_001558	Plasma Membrane	transmembrane receptor	10.98	1.95141E-15	1.76902E-12	up High vs Low
221080_s_at	DENND1C	DENN/MADD domain containing 1C	19p13.3	79958	NM_024898	unknown	other	10.95	8.15991E-15	5.04356E-12	up High vs Low
1569225_a_at	SCML4	sex comb on midleg-like 4 (Drosophila)	6q21	256380	BC021582	unknown	other	10.76	9.17588E-14	4.30254E-11	up High vs Low
226219_at	ARHGAP30	Rho GTPase activating protein 30	1q23.3	257106	AW575123	unknown	other	10.72	3.36263E-15	2.33779E-12	up High vs Low
219191_s_at	BIN2	bridging integrator 2	12q13	51411	NM_016293	unknown	other	10.68	2.43747E-15	1.94969E-12	up High vs Low
204057_at	IRF8	interferon regulatory factor 8	16q24.1	3394	AI073984	Nucleus	transcription regulator	10.58	1.58329E-13	6.74254E-11	up High vs Low
213733_at	MYO1F	myosin IF	19p13.3-p13.2	4542	BF740152	unknown	other	10.45	9.04104E-15	5.34522E-12	up High vs Low
207651_at	GPR171	G protein-coupled receptor 171	3q25.1	29909	NM_013308	Plasma Membrane	G-protein coupled receptor	10.42	1.66933E-14	9.24999E-12	up High vs Low
219812_at	PVRIG	poliovirus receptor related immunoglobulin domain containing	7q22.1	79037	NM_024070	unknown	other	10.42	2.92532E-13	1.0751E-10	up High vs Low
202957_at	HCLS1	hematopoietic cell-specific Lyn substrate 1	3q13	3059	NM_005335	Nucleus	transcription regulator	10.4	3.43843E-15	2.33779E-12	up High vs Low
227346_at	IKZF1	IKAROS family zinc finger 1 (Ikaros)	7p13-p11.1	10320	AI741188	Nucleus	transcription regulator	10.39	1.58671E-13	6.74254E-11	up High vs Low
205821_at	KLRK1	killer cell lectin-like receptor subfamily K, member 1	12p13.2-p12.3	22914	NM_007360	Plasma Membrane	transmembrane receptor	10.35	3.19904E-13	1.13456E-10	up High vs Low
228258_at	TBC1D10C	TBC1 domain family, member 10C	11q13.1	374403	AW008519	unknown	other	10.24	2.36485E-13	9.45801E-11	up High vs Low
