GenBank	Gene symbol	Gene description
H41285	GDPD2	Glycerophosphodiester phosphodiesterase domain containing 2
T46878	EIF3S1	Eukaryotic translation initiation factor 3, subunit 1 alpha
AA479795	ISG20	Interferon-stimulated exonuclease gene
AA151214	G3BP2	Ras-GTPase activating protein SH3 domain-binding protein 2
H28091	PMP22	Peripheral myelin protein 22
N59330	NUP35	Nucleoporin
H19333	LOC285550	Hypothetical protein LOC285550
AA449688	FLJ32065	Hypothetical protein FLJ32065
N/A	N/A
AA977417	AA977417
N50636	RAP1GDS1	RAP1, GTP-GDP dissociation stimulator 1
T61866	IPO7	Importin 7
AA453435	LTV1	LTV1 homolog (S. cerevisiae)
N91962	EEF1E1	Eukaryotic translation elongation factor 1 epsilon 1
H77636	CD68	CD68 antigen
AI308916	PRSS3	Protease, serine, 3 (mesotrypsin)
AA478589	APOE	Apolipoprotein E
AA459401	KLK10	Kallikrein 10
AA625765	DDA1	DDA1
AA205665	SET	SET translocation (myeloid leukemia-associated)
AA707453	FLJ43855	Similar to sodium-and chloride-dependent creatine transporter
AA464147	CARS	Cysteinyl-tRNA synthetase
AA456630	ARHGEF18	Rho/rac guanine nucleotide exchange factor (GEF) 18
N20475	CTSD	Similar to RIKEN cDNA 6330512M04 gene (mouse)
N31935	ANGPTL1	Angiopoietin-like 1
R77512	PCDH1	Protocadherin 1 (cadherin-like 1)
N31492	FMO4	Topoisomerase (DNA) I pseudogene 1
N45236	KIAA0114	KIAA0114 gene product
H60549	CD59	CD59 antigen, complement regulatory protein
AA907626	KIF26B	Kinesin family member 26B
AA917374	TIMP2	TIMP metallopeptidase inhibitor 2
AA983530	VNN1	Vanin 1
N90109	NCL	U23 small nucleolar RNA
H15431	POLR2D	Polymerase (RNA) II (DNA directed) polypeptide D
H52673	BAK1	BCL2-antagonist/killer 1
T72259	CYP2A6	Cytochrome P450, family 2, subfamily A, polypeptide 6
AA455910	F2R	Coagulation factor II (thrombin) receptor
AA775840	C9orf123	Chromosome 9 open reading frame 123
AA464566	LRP1	Low density lipoprotein-related protein 1
AA489640	IFIT1	Interferon-induced protein with tetratricopeptide repeats 1
AA962541	LOC286167	Hypothetical protein LOC286167
AA464421	PCGF2	Polycomb group ring finger 2
H25761 AI668603
AA447748	DLD	Dihydrolipoamide dehydrogenase
AA278755	CEP27	Centrosomal protein
AI261833	SLC7A9	Solute carrier family 7 (cationic amino acid transporter, y+ system) member 9
H72802	ESPN	Espin
AA608713	C1QDC1	C1q domain containing 1
AA047465	SLC6A8	Solute carrier family 6 (neurotransmitter transporter, creatine), member 8
