Gene	Gene bank accession number	HG versus LGd	met versus LG	met versus HG	CRPC versus LG	CRPC versus HG	CRPC versus met
FASN	NM_004104	0.8	1.1	1.3	1	1.2	0.9
StAR	NM_000349	1	1.5	1.5	1.1	1.1	0.7
CYP11A1	NM_001099773	1	1.2	1.2	1	1	0.9
CYP17A1	NM_000102	1.1	1.2	1.2	1.1	1	0.9
HSD3B2	BC131488	1	1	1	1.1	1.1	1
HSD17B2	NM_002153	1	1	1	1.6	1.7	1.7
HSD17B3	NM_000197	1.1	1.3	1.2	1.3	1.2	1
HSD17B4	NM_000414	1	0.8	0.8	0.8	0.8	1
HSD17B10	NM_004493	1	1.1	1.1	1	1	0.9
AKR1C1	NM_001353	2.2	1.3	0.6	2.5	1.1	1.9
AKR1C2	NM_205845	1.2	1.1	0.9	1	0.8	0.9
AKR1C3	NM_003739	1.5	1.6	1	2.3	1.5	1.4
RDH5	NM_002905	1	1.1	1.1	1.1	1.1	1.1
SRD5A1	NM_001047	1	1	1	1.1	1	1
SRD5A2	NM_000348	0.8	0.2	0.2	0.3	0.4	1.8
SRD5A3	NM_024592	0.9	1.1	1.1	1	1.1	1
UGT2B15	NM_001076	1.5	1.4	0.9	2.5	1.7	1.8
UGT2B17	NM_001077	1.2	1.3	1	1.7	1.4	1.3
AMACR	NM_014324	1.2	0.8	0.6	0.6	0.5	0.7
SREB1	NM_001005291	0.9	1	1.1	0.8	0.8	0.8
SREB2	NM_004599	0.9	1.4	1.5	1	1	0.7
CYB5A	NM_148923	0.8	0.7	0.9	0.6	0.7	0.9
AR	NM_000044	1	1.7	1.6	4.1	4	2.5
ERG	NM_004449	0.7	1.6	2.1	0.7	1	0.5
KLK3	NM_001030047	0.7	0.9	1.3	0.6	0.9	0.7
TMPRSS2	NM_005656	0.5	0.5	1	0.8	1.6	1.6
