Gene	Putative Identification	E-value	Organism	GenBank Accession Number
Actin	Actin, cytoskeletal	1e-1119	Heliocidaris erythrogramma	P53463
EF1-alpha	Elongation factor 1-alpha 1	0	Rattus norvegicus	P62630
CAbr	Carbonic anhydrase 1 (CAH1)	3.00E-67	Drosophila melanogaster	CG7820
CAtr	Carbonic anhydrase (ca1)	5.00E-170	Riftia pachyptila	AJ439711
TLR	Toll-like receptor 2 precursor	8.00E-07	Cricetulus griseus	Q9R1F8
MR	Macrophage mannose receptor 1-like protein 1	8.00E-11	Homo sapiens	Q5VSK2
PGRP Rpi1	Peptidoglycan recognition protein 3 precursor	1.00E-30	Euprymna scolopes	AY956813
PGRP Rpi2	Peptidoglycan recognition protein SC3 precursor	9.00E-15	Brachionus manjavacus	FJ829250
PGRP Rpi3	Peptidoglycan recognition protein 2	2.00E-10	Mus musculus	Q8VCS0
PGRP Rpi4	Peptidoglycan recognition protein 1	5.00E-08	Mus musculus	O88593
PGRP Rpi5	Peptidoglycan recognition protein-LE	1.00E-26	Drosophila melanogaster	AF313391
A2MRAP	Alpha-2 macroglobulin receptor associated protein	3.00E-28	Homo sapiens	P30533
HSP70	Heat shock protein 70	1.00E-138	Caenorhabditis elegans	P27420
ROSm	Reactive oxygen species modulator 1	4.00E-24	Xenopus laevis	Q4V7T9
LBPIP	Bactericidal permeability increasing protein	4.00E-37	Homo sapiens	P17213
LITAF	Lipopolysaccharide-induced TNF-alpha	2.00E-19	Gallus gallus	Q8QGW7
MMIF	Macrophage migration inhibitory factor	4.00E-28	Xenopus tropicalis	A9JSE7
NF?Bic	NF-kappa-B inhibitor (cactus)	6.00E-14	Drosophila melanogaster	Q03017
