Rank	Accession No.	Title	Symbol	Mean fold change	P Value	q-Value
1	NM_003226.2	Trefoil factor 3	TFF3	107.7	0.0000509	0.0036166
2	NM_031310.1	Plasmalemma vesicle associated protein	PLVAP	51.2	1.32E-08	0.0000767
3	NM_000239.1	Lysozyme	LYZ	48	0.00000309	0.0008631
4	NM_000014.4	Alpha-2-macroglobulin	A2M	43.7	4.22E-08	0.0001272
5	NM_002909.3	Regenerating islet-derived 1 alpha	REG1A	40.5	0.0026752	0.0282643
6	NM_002644.2	Polymeric immunoglobulin receptor	PIGR	38.9	0.0000833	0.0045209
7	NM_000582.2	Secreted phosphoprotein 1	SPP1	38.3	0.0000722	0.004169
8	NM_000518.4	Hemoglobin, beta	HBB	36.6	0.0003096	0.0090942
9	NM_019111.3	Major histocompatibility complex, class II, DR alpha	HLA-DRA	32.4	0.0005339	0.0118713
10	NM_000477.3	Albumin	ALB	32.1	0.0005077	0.0115122
11	NM_004063.2	Cadherin 17, LI cadherin	CDH17	32	0.0010892	0.0176053
12	NM_003332.2	TYRO protein tyrosine kinase binding protein , transcript variant 1	TYROBP	29.4	0.00000134	0.0006013
13	NM_015991.1	Complement component 1, q subcomponent, alpha polypeptide	C1QA	27	0.00000183	0.0006631
14	XM_941953.1	PREDICTED:  similar to Ig kappa chain V-I region HK102 precursor	LOC652493	25.9	0.0000749	0.0042504
15	NM_001629.2	Arachidonate 5-lipoxygenase-activating protein	ALOX5AP	22.4	0.00000028	0.0004472
16	NM_005518.2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	HMGCS2	22.1	0.0004254	0.0108127
17	NM_002964.3	S100 calcium binding protein A8	S100A8	21.1	0.00000688	0.0013229
18	XM_942302.1	PREDICTED:  similar to Ig kappa chain V-I region HK102 precursor	LOC652694	20.5	0.0001721	0.0067823
19	NM_002153.1	Hydroxysteroid  dehydrogenase 2	HSD17B2	20.4	0.00000136	0.0006013
20	NM_000035.2	Aldolase B, fructose-bisphosphate	ALDOB	20.2	0.0001992	0.0073217
21	NM_000295.3	Serpin peptidase inhibitor, clade A , member 1 , transcript variant 1	SERPINA1	20.1	0.0013744	0.0198888
22	NM_000667.2	Alcohol dehydrogenase 1A , alpha polypeptide	ADH1A	19.6	0.0026784	0.0282814
23	NM_000777.2	Cytochrome P450, family 3, subfamily A, polypeptide 5	CYP3A5	19.5	0.000003	0.0008489
24	NM_003122.2	Serine peptidase inhibitor, Kazal type 1	SPINK1	19.1	0.0014657	0.0206436
25	NM_012072.2	Complement component 1, q subcomponent, receptor 1	C1QR1	19	0.000000072	0.000178
26	NM_000039.1	Apolipoprotein A-I	APOA1	18.9	0.0005854	0.0125602
27	NM_000552.2	Von Willebrand factor	VWF	18.8	0.000000443	0.0004727
28	NM_000558.3	Hemoglobin, alpha 1	HBA1	18.7	0.0006906	0.0137823
29	NM_176813.3	Breast cancer membrane protein 11	BCMP11	18.6	0.0012071	0.0186228
30	NM_002922.3	Regulator of G-protein signalling 1	RGS1	18.5	0.0000199	0.0024002
31	XM_936253.1	PREDICTED:  similar to Ig kappa chain V-III region HAH precursor	LOC642113	18.5	0.0000662	0.0040261
32	NM_000583.2	Group-specific component	GC	18.4	0.0002561	0.0083025
33	NM_006762.1	Lysosomal associated multispanning membrane protein 5	LAPTM5	17.3	0.00000139	0.0006013
34	NM_000491.2	Complement component 1, q subcomponent, beta polypeptide	C1QB	16.8	0.00000347	0.0009415
35	NM_005211.2	Colony stimulating factor 1 receptor, formerly mcdonough feline sarcoma viral  oncogene homolog	CSF1R	16.7	0.00000292	0.0008459
36	NM_005410.2	Selenoprotein P, plasma, 1	SEPP1	16.5	0.0000294	0.0028148
37	NM_000567.2	C-reactive protein, pentraxin-related	CRP	16.3	0.0070056	0.049033
38	NM_002083.2	Glutathione peroxidase 2	GPX2	16.1	0.0001424	0.0060544
39	NM_000211.1	Integrin, beta 2 , lymphocyte function-associated antigen 1; macrophage antigen 1  beta subunit)	ITGB2	16.1	0.0005706	0.0123813
40	NM_173596.1	Solute carrier family 39 , member 5	SLC39A5	15.9	0.0002752	0.0086092
41	NM_005141.2	Fibrinogen beta chain	FGB	15.9	0.0035749	0.0334441
42	NM_000067.1	Carbonic anhydrase II	CA2	15.9	0.0000776	0.0043597
43	NM_001633.2	Alpha-1-microglobulin/bikunin precursor	AMBP	15.8	0.0011787	0.0183401
44	NM_021983.4	Major histocompatibility complex, class II, DR beta 4	HLA-DRB4	15.4	0.00003	0.0028431
45	NM_002474.1	Myosin, heavy polypeptide 11, smooth muscle , transcript variant SM1	MYH11	15.3	0.0002301	0.0078409
46	XM_939003.1	PREDICTED:  similar to Ig gamma-2 chain C region	LOC649923	15.1	0.0001175	0.0054731
47	NM_000597.2	Insulin-like growth factor binding protein 2, 36kda	IGFBP2	15.1	0.00052	0.0116937
48	NM_006149.2	Lectin, galactoside-binding, soluble, 4	LGALS4	15.1	0.0003694	0.0099631
49	NM_001004430.1	Mucin 17	MUC17	15	0.0083789	0.054313
50	NM_003225.2	Trefoil factor 1	TFF1	14.9	0.0004004	0.0104707
51	NM_002118.3	Major histocompatibility complex, class II, DM beta	HLA-DMB	14.7	0.0001319	0.0058189
52	NM_001645.3	Apolipoprotein C-I	APOC1	14.4	0.0001515	0.0063107
53	XM_936518.1	PREDICTED:  similar to Ig kappa chain V-I region HK101 precursor	LOC647450	14.3	0.0002036	0.0073714
54	NM_172369.2	Complement component 1, q subcomponent, C chain	C1QC	14.1	0.000011	0.0017058
55	NM_002298.2	Lymphocyte cytosolic protein 1  , transcript variant 5	LCP1	14.1	1.98E-08	0.0000767
56	NM_001443.1	Fatty acid binding protein 1, liver	FABP1	13.9	0.0007116	0.013955
57	NM_001025158.1	CD74 antigen  , transcript variant 3	CD74	13.7	0.0011081	0.0177624
58	NM_033049.2	Mucin 13, epithelial transmembrane	MUC13	13.7	0.0022227	0.0254996
59	NM_000343.1	Solute carrier family 5 , member 1	SLC5A1	13.6	0.0000391	0.0031756
60	NM_004684.2	SPARC-like 1	SPARCL1	13.3	0.0000106	0.0016716
61	NM_000790.2	Dopa decarboxylase	DDC	13.3	0.0012466	0.018937
62	NM_000669.3	Alcohol dehydrogenase 1C , gamma polypeptide	ADH1C	13.2	0.0020681	0.0244798
63	NM_000385.3	Aquaporin 1  , transcript variant 2	AQP1	13.1	0.0000189	0.0023784
64	NM_004497.2	Forkhead box A3	FOXA3	13	0.00000635	0.0013036
65	NM_002980.1	Secretin receptor	SCTR	13	0.003833	0.0347948
66	NM_001216.1	Carbonic anhydrase IX	CA9	12.8	0.0005762	0.0124218
67	NM_017899.1	Tescalcin	TESC	12.7	0.0061156	0.0453545
68	NM_001012993.1	Chromosome 9 open reading frame 152	C9ORF152	12.6	0.0004474	0.0109221
69	NM_020796.2	Sema domain, transmembrane domain , and cytoplasmic domain,  6A	SEMA6A	12.4	0.0000018	0.0006631
70	NM_004363.1	Carcinoembryonic antigen-related cell adhesion molecule 5	CEACAM5	12.2	0.0066345	0.0474393
71	NM_000371.1	Transthyretin	TTR	12.2	0.0003029	0.0090067
72	NM_020384.2	Claudin 2	CLDN2	11.9	0.0009378	0.0161183
73	XM_936120.1	PREDICTED:  major histocompatibility complex, class II, DQ alpha 1, transcript variant 2	HLA-DQA1	11.8	0.0000609	0.0039049
74	NM_015234.3	G protein-coupled receptor 116	GPR116	11.7	0.00000463	0.001101
75	NM_018419.2	SRY -box 18	SOX18	11.7	0.000000807	0.0005331
76	NM_001175.4	Rho GDP dissociation inhibitor  beta	ARHGDIB	11.4	0.0014086	0.0202264
77	NM_000508.3	Fibrinogen alpha chain , transcript variant alpha-E	FGA	11.4	0.0058885	0.0445135
78	NM_005143.2	Haptoglobin	HP	11.3	0.0088957	0.0558635
79	NM_000591.1	CD14 antigen	CD14	11.1	0.00000175	0.0006631
80	NM_032782.3	Hepatitis A virus cellular receptor 2	HAVCR2	11.1	0.00000335	0.0009177
81	NM_022349.2	Membrane-spanning 4-domains, subfamily A, member 6A , transcript variant 2	MS4A6A	11.1	0.00000283	0.0008457
82	NM_033554.2	Major histocompatibility complex, class II, DP alpha 1	HLA-DPA1	10.9	0.0011553	0.018111
83	NM_006418.3	Olfactomedin 4	OLFM4	10.6	0.0082904	0.0539843
84	NM_012067.2	Aldo-keto reductase family 7, member A3	AKR7A3	10.5	0.0000213	0.0024707
85	XM_939969.1	PREDICTED:  similar to HSPC323	LOC284422	10.4	0.0001771	0.0068827
86	NM_005565.3	Lymphocyte cytosolic protein 2	LCP2	10.4	7E-10	0.000019
87	NM_001091.2	Amiloride binding protein 1 )	ABP1	10.3	0.0012661	0.0190866
88	NM_004364.2	CCAAT/enhancer binding protein , alpha	CEBPA	10.3	0.00000158	0.0006376
89	NM_016619.1	Placenta-specific 8	PLAC8	10	0.0005937	0.012619
90	NM_001063.2	Transferrin	TF	10	0.0018292	0.0231388
91	NM_014571.2	Hairy/enhancer-of-split related with YRPW motif-like	HEYL	10	0.0005168	0.0116514
92	NM_005849.1	Immunoglobulin superfamily, member 6	IGSF6	9.9	0.00000226	0.000775
93	NM_001482.1	Glycine amidinotransferase	GATM	9.9	0.0017714	0.0227902
94	NM_024889.3	Chromosome 10 open reading frame 81	C10ORF81	9.7	0.0001569	0.0064512
95	NM_005379.2	Myosin IA	MYO1A	9.7	0.0014389	0.020436
96	NM_000384.1	Apolipoprotein B  antigen)	APOB	9.7	0.0007545	0.01439
97	NM_018326.2	Gtpase, IMAP family member 4	GIMAP4	9.4	0.000000982	0.0005664
98	NM_002928.2	Regulator of G-protein signalling 16	RGS16	9.3	0.00000502	0.0011448
99	NM_000587.2	Complement component 7	C7	9.3	0.0014426	0.0204421
100	NM_022555.3	Major histocompatibility complex, class II, DR beta 3	HLA-DRB3	9.2	0.0000219	0.0024935
101	NM_006408.2	Anterior gradient 2 homolog	AGR2	9.2	0.0005606	0.012262
102	NM_006120.2	Major histocompatibility complex, class II, DM alpha	HLA-DMA	9	0.0001018	0.0050215
103	NM_005940.3	Matrix metallopeptidase 11	MMP11	8.9	0.0011481	0.0180976
104	NM_000142.2	Fibroblast growth factor receptor 3  , transcript variant 1	FGFR3	8.6	0.0000967	0.0048583
105	XM_940969.1	PREDICTED:  similar to Ig kappa chain V-II region RPMI 6410 precursor	LOC651751	8.6	0.0006242	0.0129436
106	NM_001643.1	Apolipoprotein A-II	APOA2	8.5	0.0069081	0.0486044
107	NM_005170.2	Achaete-scute complex-like 2	ASCL2	8.4	0.007498	0.0509787
108	NM_018487.2	Hepatocellular carcinoma-associated antigen 112	HCA112	8.2	0.0010418	0.0172024
109	NM_024795.1	Transmembrane 4 L six family member 20	TM4SF20	8.2	0.0021789	0.0252217
110	NM_033229.1	Tripartite motif-containing 15 , transcript variant 1	TRIM15	8.2	0.0000411	0.0032584
111	NM_004877.1	Glia maturation factor, gamma	GMFG	8.2	0.000000502	0.0005046
112	NM_002163.2	Interferon regulatory factor 8	IRF8	8.1	0.0000631	0.0039881
113	NM_206939.1	Membrane-spanning 4-domains, subfamily A, member 7 , transcript variant 3	MS4A7	8	0.0000601	0.0039049
114	NM_000784.2	Cytochrome P450, family 27, subfamily A, polypeptide 1 , nuclear gene encoding mitochondrial protein	CYP27A1	7.9	0.00000257	0.0008237
115	NM_002664.1	Pleckstrin	PLEK	7.9	0.000000018	0.0000767
116	XM_944822.1	PREDICTED:  similar to HLA class II histocompatibility antigen, DRB1-9 beta chain precursor   , transcript variant 2	LOC649143	7.7	0.0000578	0.0038231
117	NM_004120.3	Guanylate binding protein 2, interferon-inducible	GBP2	7.7	0.0000104	0.0016659
118	NM_004004.3	Gap junction protein, beta 2, 26kda	GJB2	7.6	0.0000656	0.0040208
119	NM_000773.3	Cytochrome P450, family 2, subfamily E, polypeptide 1	CYP2E1	7.6	0.0074229	0.0507223
120	NM_003196.1	Transcription elongation factor A , 3	TCEA3	7.6	0.0002998	0.0089553
121	NM_000341.2	Solute carrier family 3 , member 1	SLC3A1	7.5	0.0006417	0.0131952
122	NM_001145.2	Angiogenin, ribonuclease, rnase A family, 5	ANG	7.5	0.0000203	0.0024002
123	NM_174896.2	Chromosome 1 open reading frame 162	C1ORF162	7.5	0.0000331	0.0029394
124	NM_001463.2	Frizzled-related protein	FRZB	7.3	0.00000107	0.0005945
125	NM_021175.2	Hepcidin antimicrobial peptide	HAMP	7.2	0.0025776	0.0277607
126	NM_004106.1	Fc fragment of ige, high affinity I, receptor for; gamma polypeptide	FCER1G	7.2	0.0000518	0.0036597
127	NM_024320.2	Atpase family, AAA domain containing 4	ATAD4	7.2	0.0000486	0.003528
128	NM_001150.1	Alanyl  aminopeptidase	ANPEP	7.2	0.0054114	0.0423382
129	NM_020980.2	Aquaporin 9	AQP9	7.1	0.0000251	0.0026584
130	NM_005241.1	Ecotropic viral integration site 1	EVI1	7.1	0.0006133	0.0128451
131	NM_022138.1	SPARC related modular calcium binding 2	SMOC2	7.1	0.0000693	0.0040925
132	NM_000715.3	Complement component 4 binding protein, alpha	C4BPA	6.9	0.0014366	0.020436
133	NM_032044.2	Regenerating islet-derived family, member 4	REG4	6.8	0.0080019	0.0528806
134	NM_000507.2	Fructose-1,6-bisphosphatase 1	FBP1	6.8	0.0000991	0.0049501
135	NM_001031733.1	Calmodulin-like 4 , transcript variant 1	CALML4	6.8	0.0000122	0.0018546
136	NM_005630.1	Solute carrier organic anion transporter family, member 2A1	SLCO2A1	6.8	0.0012258	0.0187136
137	BG545303	602572519F1 NIH_MGC_77  cdna clone IMAGE:4700548 5, mrna sequence	Hs.137274	6.6	0.006857	0.0483415
138	NM_002029.3	Formyl peptide receptor 1	FPR1	6.6	0.000000419	0.0004727
139	NM_001007595.1	Nuclear localized factor 2	NLF2	6.5	0.0011973	0.0185348
140	NM_003810.2	Tumor necrosis factor  superfamily, member 10	TNFSF10	6.5	0.0024508	0.0269916
141	NM_152311.1	Transmembrane protein 12	TMEM12	6.5	0.0000484	0.003528
142	NM_001666.2	Rho gtpase activating protein 4	ARHGAP4	6.5	0.00000433	0.0010797
143	NM_000494.2	Collagen, type XVII, alpha 1 , transcript variant long	COL17A1	6.3	0.0053616	0.0420878
144	NM_002885.1	RAP1, gtpase activating protein 1	RAP1GA1	6.3	0.0009469	0.0161828
145	NM_005161.2	Angiotensin II receptor-like 1	AGTRL1	6.3	0.0000391	0.0031756
146	NM_004591.1	Chemokine  ligand 20	CCL20	6.3	0.0039133	0.0352603
147	NM_001074.1	UDP glucuronosyltransferase 2 family, polypeptide B7	UGT2B7	6.3	0.0013473	0.0196959
148	XM_939056.1	PREDICTED:  similar to creatine kinase, mitochondrial 1B precursor	LOC649970	6.2	0.0008331	0.0150193
149	NM_031457.1	Membrane-spanning 4-domains, subfamily A, member 8B	MS4A8B	6.2	0.0021863	0.0252396
150	NM_000377.1	Wiskott-Aldrich syndrome	WAS	6.2	0.000000786	0.000533
151	NM_138788.2	Transmembrane protein 45B	TMEM45B	6.1	0.000269	0.0085235
152	NM_004847.2	Allograft inflammatory factor 1 , transcript variant 2	AIF1	6.1	0.0000026	0.0008237
153	NM_003641.2	Interferon induced transmembrane protein 1	IFITM1	6.1	0.0021817	0.0252234
154	NM_000856.2	Guanylate cyclase 1, soluble, alpha 3	GUCY1A3	6.1	0.0008254	0.0149945
155	NM_001311.3	Cysteine-rich protein 1	CRIP1	6.1	0.0025309	0.0275289
156	NM_001185.2	Alpha-2-glycoprotein 1, zinc	AZGP1	6.1	0.0000427	0.0033117
157	X00437	Human mrna for T-cell specific protein	Hs.534427	6	0.00000137	0.0006013
158	NM_019062.1	Ring finger protein 186	RNF186	6	0.0065195	0.0471258
159	NM_001066.2	Tumor necrosis factor receptor superfamily, member 1B	TNFRSF1B	6	0.0000235	0.0025994
160	NM_000493.2	Collagen, type X, alpha 1	COL10A1	6	0.0047442	0.0392278
161	NM_001979.4	Epoxide hydrolase 2, cytoplasmic	EPHX2	5.9	0.0002569	0.0083148
162	NM_007256.2	Solute carrier organic anion transporter family, member 2B1	SLCO2B1	5.9	0.000000132	0.0002974
163	NM_013261.2	Peroxisome proliferative activated receptor, gamma, coactivator 1, alpha	PPARGC1A	5.9	0.0000181	0.0023355
