Genbank accession no.	Mock signal	LCMV-cgPi signal	Signal ratio	P	Gene identity
M27134	20.7	225.1	10.87	0.000006	MHCIbK region locus 2
U43086	43.6	462.9	10.62	0.000001	GARG-49
M58156	23.3	236.8	10.16	0.000004	MHCI H-2K-f
AW047653	21.7	190.8	8.79	0.000333	UBP43
U06924	32.7	258.7	7.91	0.000001	STAT1
U43084	40.5	318	7.85	0.000001	GARG-16
M18237	65	505.9	7.78	0.000001	Ig kappa chain V-region
AB035174	47.7	341.9	7.17	0.001304	GalNAc alpha 2,6-sialyltransferase
AF099973	31.3	191	6.10	0.000285	Schlafen2
AJ007971	24.4	147.4	6.04	0.000001	IIGP
X56602	54	310.4	5.75	0.000002	ISG15
X67809	177.7	1001.7	5.64	0.000001	Peptidylprolyl isomerase C-associated protein
X16202	215.8	976.7	4.53	0.000001	MHCI Q4
M69069	351.3	1271	3.62	0.000002	MHCI D region locus 1
X01838	827.7	2918.6	3.53	0.000001	Beta-2 microglobulin
V00746	490.5	1603.2	3.27	0.000001	MHCI H-2K
U43085	24.8	78.1	3.15	0.000007	GARG-39
U51992	157.5	494.2	3.14	0.000001	IRF9
U60020	58.3	175.7	3.01	0.000004	Transporter 1, ABC
AJ007972	86.7	204.6	2.36	0.001767	GTPI
U19119	72.7	162.6	2.24	0.000021	LRG-47
U66918	113.1	25.3	-4.47	0.00021	Short stature homeobox 2
AF035684	238.5	27.3	-8.74	0.00002	Musmusculusbeta chemokine TCA4
