GI No.	Definition	No. p53 DNA binding sequence a	Cluster name b	Fold Change c 4 h PI d	Fold Change c 8 h PI d	Fold Change c 12 h PI d	Fold Change c 16 h PI d	Fold Change c 20 h PI d	Fold Change c 24 h PI d
23897	CD73 ANTIGEN	1	B	e	e	-3.9	e	e	e
32581	interleukin-6 receptor alpha	2	B	e	e	-2.5	e	e	e
35210	tumor suppressor p53	8	A	-3.5	-3.4	-3.7	-3.9	-3.6	-3.5
36065	ribonucleotide reductase large chain	2	B	e	e	e	e	-3.3	e
37424	cytoskeletal tropomyosin	1	A	e	-4.1	-5	-6.2	-3.5	-4.4
37654	vitamin D3 receptor	1	B	e	e	-3	e	e	e
68775	cystatin c precursor	8	NA	e	e	e	e	-2.9	e
105567	catechol o-methyltransferase	4	NA	e	-3	e	e	e	e
105872	gadd45 alpha	1	NA	-4.2	-2.9	e	e	e	e
105982	adrenodoxin reductase precursor species 2	3	NA	-2.9	-2.5	-3	e	e	e
120050	fibroblast growth factor receptor 3	4	A	e	-4	-4	e	e	e
180378	collagen (type XIII) alpha-1	2	A	e	e	e	-5.1	-2.5	-2.5
306457	monoamine-sulfating phenol sulfotransferase	2	NA	e	e	e	-3.4	e	e
493132	creatine transporter	5	A	e	-3.4	-2.5	-5.4	-4.3	-4.7
495126	ribosomal protein l11	1	B	e	e	e	e	-3.2	e
603560	lutheran blood group glycoprotein precursor	2	A	e	e	e	-3.6	e	e
1209671	MAP kinase kinase 6	1	B	e	e	e	e	-3	e
1246763	tyrosine kinase activator protein 1	19	A	e	e	e	-2.6	e	e
1262811	c-c chemokine receptor type 5	2	NA	e	e	e	e	-2.5	e
1518042	exostosin-2	1	B	e	e	e	e	-3.2	e
1613771	putative G-protein-coupled receptor	3	B	e	e	-2.7	-2.5	-3.5	e
1685102	NIFU-like protein	2	B	e	-2.8	-4	e	e	e
1730587	polycystin precursor	7	A	e	e	e	-4	e	e
1778215	FEZ1	3	NA	e	e	e	-2.5	e	e
1946349	pyridoxine kinase	4	A	e	e	e	e	e	-2.5
2160390	glutathione peroxidase	4	NA	e	e	e	-2.7	e	e
2213813	podocalyxin-like protein	2	B	e	e	-8.2	e	e	e
2370126	zinc finger protein 185	3	A	e	e	e	-4.5	-4.7	-3.8
2465531	voltage-gated potassium channel protein KQT-like 1	1	A	e	e	-2.6	-4.8	-3.1	-4.2
2501157	transcriptional enhancer factor TEF-5	1	B	e	e	-2.8	-2.7	-2.9	e
2599385	interferon regulatory factor 6	3	NA	e	e	e	e	-2.8	e
2605947	HJAG2.del-E6	1	A	e	-7.1	-5	-6	-3.5	-3.6
2665834	cell division control-related protein 2	1	NA	e	-2.5	e	e	e	e
2695737	syntaxin 6	2	NA	e	-2.6	e	e	e	e
2697005	cell cycle protein p38-2g4 homolog	2	B	e	e	e	e	-2.5	e
3075509	serine/threonine-protein kinase SNK	2	NA	-2.7	e	e	e	e	e
3290016	regulator of G-protein signalling 12	1	A	e	e	e	-2.8	-2.6	-3
3378097	stannin (AG8_1)	1	A	e	-2.6	-2.8	-2.5	-2.6	e
3387977	ABC transporter	2	A	e	-2.7	e	e	e	e
3510234	R31237_1	1	B	e	e	e	e	-2.5	e
3746533	ACAT related gene product 1	3	B	e	e	-2.7	-2.6	-3.4	e
3929917	BAI-associated protein 3	1	A	e	e	e	-2.6	e	e
4062852	p25 alpha	1	A	e	e	e	e	e	-2.7
4153876	similar to mouse homeodomain-interacting protein kinase 2	1	A	e	e	e	-2.6	e	e
4240155	KIAA0833 protein	1	NA	e	e	e	e	-2.5	e
4314433	similar to smoothelin	2	A	e	e	-3.3	-3.2	-4.7	-3
4314433	similar to smoothelin	2	A	e	e	-2.8	-2.9	-2.6	-3.3
4581055	early growth response 2	2	NA	e	e	e	e	-2.5	e
4758912	pig3	2	A	-3	-13.4	-7.5	-10.8	-6.8	-7
4887168	sarcosine dehydrogenase	1	A	e	e	e	-3.8	e	e
5106478	splice variant AKAP350	14	B	e	e	e	e	-2.5	e
5326766	brain-specific STE20-like protein kinase 3	3	B	e	e	e	e	-2.5	e
5714696	alpha 2 delta calcium channel subunit	2	A	e	e	e	-3.4	e	e
6118539	membrane-associated aspartic protease 2	1	B	e	e	-2.9	e	e	e
6230372	CSR1	2	A	e	e	e	-2.6	e	e
6330136	KIAA1158 protein	2	A	e	-4.9	-5	-5	-2.8	-3.2
6330487	KIAA1206 protein	2	A	e	-2.9	e	e	e	e
6572156	DJ1014d13.3	1	A	e	-3.5	-4.1	-2.5	-2.9	e
6690179	PRO0195	3	B	e	e	e	e	-3	e
6807940	hypothetical protein	3	A	e	e	e	-3.3	-2.8	e
6912300	hypothetical protein cgi-02	1	B	e	e	e	e	-3	e
6959304	Myb-binding protein 1A	2	NA	-2.6	NA	e	e	e	e
7019337	chromosome 16 open reading frame 5	4	B	e	e	e	e	-2.6	e
7638813	hypothetical protein	2	NA	e	e	-2.6	e	e	e
8745315	putative GTP-binding protein	1	NA	e	e	-2.8	e	e	e
8850245	activated p21cdc42hs kinase	1	A	e	e	e	-2.9	e	e
10241527	DJ899c14.1	1	A	e	-2.7	-2.6	e	e	e
11421267	cell cycle progression 2 protein	1	B	e	e	e	e	-2.5	e
