Gene ID#	Systemic_name	Gene name/ symbol	Average	Upper	Lower
10855	D43950	KIAA0098	-0.004	0.027	-0.035
19769	U96131	TRIP13	-0.039	-0.001	-0.077
14841	NM_014865	KIAA0159	-0.007	0.029	-0.044
15318	Contig55725_RC		-0.219	-0.15	-0.289
12548	AF047002	ALY	-0.04	-0.008	-0.072
3342	NM_004111	FEN1	-0.028	0.003	-0.058
3493	NM_004153	ORC1L	0.037	0.057	0.017
8204	NM_004631	LRP8	0.038	0.067	0.009
3838	NM_002794	PSMB2	-0.024	0.004	-0.051
3938	Contig55771_RC		-0.047	-0.005	-0.088
6615	NM_004496	HNF3A	-0.216	-0.12	-0.312
8786	NM_006113	VAV3	-0.17	-0.107	-0.232
18817	AL161983		-0.015	0.007	-0.037
17540	NM_016613	LOC51313	-0.002	0.022	-0.026
1723	AL133074		-0.078	-0.033	-0.123
23117	Contig14284_RC		-0.324	-0.209	-0.44
57	Contig56678_RC		-0.205	-0.135	-0.274
18904	NM_000125	ESR1	-0.312	-0.215	-0.409
6709	Contig57480_RC	LOC51028	-0.021	0.009	-0.051
6105	NM_005113	GOLGA5	-0.046	-0.024	-0.067
