Gene Sym.	GenBank Acc.	Partek Alt Splice P-Value	FIRMA Alt Splice P-Value
ASTN2	NM_198186	,0.0001#	0.0002
BBC3	NM_001127240	,0.0001#	,0.0001#
C1orf183	NM_019099	,0.0001#	,0.0001#
CDKN1A	NM_078467	0.0007	,0.0001#
FBXO22	NM_147188	0.0001#	,0.0001#
FBXW7	NM_033632	0.0013	,0.0001
FDXR	NM_024417	,0.0001#	,0.0001
FHL2	NM_201555	,0.0001#	0.0003
IGFBP4	NM_001552	0.0003	,0.0001
MDM2	NM_002392	,0.0001#	,0.0001#
PHLDA3	NM_012396	,0.0001#	,0.0001#
PLK2	NM_006622	,0.0001#	,0.0001#
PLK3	NM_004073	0.0007	0.001
PPM1D	NM_003620	,0.0001#	,0.0001#
RGL1	NM_015149	,0.0001#	,0.0001
SESN1	NM_014454	,0.0001#	,0.0001#
SESN2	NM_031459	,0.0001#	,0.0001#
TNC	NM_002160	0.0334	0.0006
TNFRSF10D	NM_003840	0.0172	,0.0001
TSGA10	NM_182911	0.0058	,0.0001#
VWCE	NM_152718	,0.0001#	,0.0001#
XPC	NM_004628	,0.0001#	,0.001#
ANLN	NM_018685	,0.0001#	0.0004
AURKA	NM_198433	,0.0001#	,0.0001
BUB1B	NM_001211	,0.0001#	,0.0001
CCNB1	NM_031966	,0.0001#	,0.0001#
CDC25B	NM_021873	0.0001#	0.0002
CDCA2	NM_152562	,0.0001#	,0.0001
CENPA	NM_001809	,0.0001#	,0.0001#
CENPE	NM_001813	,0.0001#	,0.0001#
FAM65B	NM_014722	,0.0001#	,0.0001
FAM72A	BC035696	,0.0001#	,0.0001#
FAM83D	NM_030919	,0.0001#	,0.0001#
GTSE1	NM_016426	,0.0001#	,0.0001
IL16	NM_172217	,0.0001#	,0.0001
INCENP	NM_001040694	,0.0001#	,0.0001#
KIF14	NM_014875	,0.0001#	,0.0001
KIF20A	NM_005733	,0.0001#	,0.0001#
KIF23	NM_138555	,0.0001#	,0.0001#
NEK2	NM_002497	,0.0001#	,0.0001#
PLK1	NM_005030	,0.0001#	,0.0001#
PSRC1	NM_001032290	,0.0001#	,0.0001#
SGOL2	NM_152524	,0.0001#	,0.0001#
SH2D3C	NM_170600	,0.0001#	,0.001
TPX2	NM_012112	,0.0001#	,0.001#
TROAP	NM_005480	,0.0001#	,0.001
UBE2C	NM_181802	,0.0001#	,0.001#
