# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_013292|NM_013292	hgnc_symbol|MYLPF|MYLPF
refseq_dna|NM_016139|NM_016139
refseq_dna|NM_006411|NM_006411	hgnc_symbol|AGPAT1|AGPAT1
refseq_dna|NM_001724|NM_001724	hgnc_symbol|BPGM|BPGM
refseq_dna|NM_001359|NM_001359	hgnc_symbol|DECR1|DECR1
refseq_dna|NM_006187|NM_006187	hgnc_symbol|OAS3|OAS3
refseq_dna|NM_003733|NM_003733	hgnc_symbol|OASL|OASL
refseq_dna|NM_018447|NM_018447
refseq_dna|NM_000859|NM_000859	hgnc_symbol|HMGCR|HMGCR
refseq_dna|NM_014362|NM_014362	hgnc_symbol|HIBCH|HIBCH
refseq_dna|NM_005443|NM_005443	hgnc_symbol|PAPSS1|PAPSS1
refseq_dna|NM_004670|NM_004670	hgnc_symbol|PAPSS2|PAPSS2
refseq_dna|NM_002613|NM_002613	hgnc_symbol|PDPK1|PDPK1
refseq_dna|NM_000663|NM_000663	hgnc_symbol|ABAT|ABAT
refseq_dna|NM_002150|NM_002150	hgnc_symbol|HPD|HPD
refseq_dna|NM_000864|NM_000864	hgnc_symbol|HTR1D|HTR1D
refseq_dna|NM_000621|NM_000621	hgnc_symbol|HTR2A|HTR2A
refseq_dna|NM_000867|NM_000867	hgnc_symbol|HTR2B|HTR2B
refseq_dna|NM_000870|NM_000870	hgnc_symbol|HTR4|HTR4
refseq_dna|NM_000254|NM_000254	hgnc_symbol|MTR|MTR
refseq_dna|NM_002526|NM_002526	hgnc_symbol|NT5E|NT5E
refseq_dna|NM_006212|NM_006212	hgnc_symbol|PFKFB2|PFKFB2
refseq_dna|NM_004566|NM_004566	hgnc_symbol|PFKFB3|PFKFB3
refseq_dna|NM_000317|NM_000317	hgnc_symbol|PTS|PTS
refseq_dna|NM_003815|NM_003815	hgnc_symbol|ADAM15|ADAM15
refseq_dna|NM_003183|NM_003183	hgnc_symbol|ADAM17|ADAM17
refseq_dna|NM_003813|NM_003813	hgnc_symbol|ADAM21|ADAM21
refseq_dna|NM_006988|NM_006988	hgnc_symbol|ADAMTS1|ADAMTS1
refseq_dna|NM_030957|NM_030957	hgnc_symbol|ADAMTS10|ADAMTS10
refseq_dna|NM_030955|NM_030955	hgnc_symbol|ADAMTS12|ADAMTS12
refseq_dna|NM_139025|NM_139025	hgnc_symbol|ADAMTS13|ADAMTS13
refseq_dna|NM_014244|NM_014244	hgnc_symbol|ADAMTS2|ADAMTS2
refseq_dna|NM_005099|NM_005099	hgnc_symbol|ADAMTS4|ADAMTS4
refseq_dna|NM_007038|NM_007038	hgnc_symbol|ADAMTS5|ADAMTS5
refseq_dna|NM_014273|NM_014273	hgnc_symbol|ADAMTS6|ADAMTS6
refseq_dna|NM_014272|NM_014272	hgnc_symbol|ADAMTS7|ADAMTS7
refseq_dna|NM_007037|NM_007037	hgnc_symbol|ADAMTS8|ADAMTS8
refseq_dna|NM_020249|NM_020249	hgnc_symbol|ADAMTS9|ADAMTS9
refseq_dna|NM_005100|NM_005100	hgnc_symbol|AKAP12|AKAP12
refseq_dna|NM_003488|NM_003488	hgnc_symbol|AKAP1|AKAP1
refseq_dna|NM_007203|NM_007203	hgnc_symbol|AKAP2|AKAP2
refseq_dna|NM_004274|NM_004274	hgnc_symbol|AKAP6|AKAP6
refseq_dna|NM_005858|NM_005858	hgnc_symbol|AKAP8|AKAP8
refseq_dna|NM_005745|NM_005745	hgnc_symbol|BCAP31|BCAP31
refseq_dna|NM_000019|NM_000019	hgnc_symbol|ACAT1|ACAT1
refseq_dna|NM_001607|NM_001607	hgnc_symbol|ACAA1|ACAA1
refseq_dna|NM_006111|NM_006111	hgnc_symbol|ACAA2|ACAA2
refseq_dna|NM_005170|NM_005170	hgnc_symbol|ASCL2|ASCL2
refseq_dna|NM_016630|NM_016630	hgnc_symbol|SPG21|SPG21
refseq_dna|NM_033068|NM_033068	hgnc_symbol|ACPT|ACPT
refseq_dna|NM_006305|NM_006305	hgnc_symbol|ANP32A|ANP32A
refseq_dna|NM_001098|NM_001098	hgnc_symbol|ACO2|ACO2
refseq_dna|NM_005720|NM_005720	hgnc_symbol|ARPC1B|ARPC1B
refseq_dna|NG_002363|NG_002363	hgnc_symbol|ARPC3P1|ARPC3P1
refseq_dna|NM_005717|NM_005717	hgnc_symbol|ARPC5|ARPC5
