Probe name	Gene name	logFC	AveExpr	t	p.value	adj.p.value	B
A_23_P100653	ZBTB4	-1.031	1.14E+01	-9.328	1.53E-11	2.86E-06	16.08
A_23_P169587	THC1942991	-1.113	7.53E+00	-8.747	8.67E-11	6.77E-06	14.448
A_23_P71270	AZGP1	-1.388	8.699	-8.59	1.40E-10	6.77E-06	13.998
A_23_P117599	AHSA1	-1.312	8.259	-8.547	1.59E-10	6.77E-06	13.875
A_23_P67708	M65214	1.254	9.42E+00	8.504	1.81E-10	6.77E-06	13.75
A_23_P216325	BC016828	-1.421	8.122	-8.296	3.42E-10	7.91E-06	13.15
A_23_P207125	NLGN2	-0.746	9.49	-8.295	3.43E-10	7.91E-06	13.147
A_23_P119943	IGFBP2	3.839	11.245	8.262	3.80E-10	7.91E-06	13.051
A_23_P60640	NM_017921	-1.03	8.07	-8.255	3.89E-10	7.91E-06	13.028
A_23_P155695	GAK	-1.002	7.464	-8.227	4.24E-10	7.91E-06	12.947
A_23_P145297	NFKBIL1	-1.07	7.88E+00	-8.151	5.35E-10	8.20E-06	12.726
A_23_P114144	NM_014008	-0.788	7.688	-8.145	5.44E-10	8.20E-06	12.71
A_23_P131899	SDCBP2	-0.95	8.064	-8.13	5.71E-10	8.20E-06	12.664
A_23_P120182	NDUFA10	-1.055	8.80E+00	-7.945	1.01E-09	1.28E-05	12.121
A_23_P77066	SNURF	-1.802	7.976	-7.94	1.03E-09	1.28E-05	12.106
A_23_P114185	TM4SF2	-1.931	8.81	-7.912	1.12E-09	1.31E-05	12.025
A_23_P156568	KLHDC3	-0.828	8.059	-7.8	1.59E-09	1.73E-05	11.693
A_23_P3574	NM_030819	-0.893	8.613	-7.785	1.67E-09	1.73E-05	11.646
A_23_P162640	GABARAPL1	-1.708	9.221	-7.761	1.80E-09	1.74E-05	11.576
A_23_P1307	AKR1C1	-1.404	7.134	-7.748	1.87E-09	1.74E-05	11.539
A_23_P38497	SLC25A11	-0.739	7.773	-7.721	2.03E-09	1.81E-05	11.458
A_23_P149195	CDC20	1.803	8.81E+00	7.695	2.21E-09	1.84E-05	11.381
A_23_P166609	DHX30	-1.086	8.64E+00	-7.676	2.34E-09	1.84E-05	11.324
A_23_P72807	SHC3	-1.283	7.54E+00	-7.673	2.36E-09	1.84E-05	11.315
A_23_P39024	NM_032332	-0.677	8.49E+00	-7.602	2.96E-09	2.13E-05	11.103
A_23_P134914	LY6H	-2.266	8.19E+00	-7.599	2.99E-09	2.13E-05	11.093
A_23_P79251	EHD3	-1.05	7.326	-7.589	3.08E-09	2.13E-05	11.063
A_23_P112397	FBXW5	-1.379	8.55E+00	-7.553	3.45E-09	2.30E-05	10.956
A_23_P76983	C14orf45	0.537	7.522	7.521	3.81E-09	2.45E-05	10.861
A_23_P210400	KCNQ2	-1.121	8.191	-7.447	4.81E-09	2.99E-05	10.639
A_23_P98037	NM_020123	-1.095	1.07E+01	-7.434	5.01E-09	3.02E-05	10.6
A_23_P36647	NM_177441	-0.542	8.39E+00	-7.371	6.12E-09	3.57E-05	10.41
A_23_P106778	SULT1A2	-0.798	8.06E+00	-7.333	6.90E-09	3.90E-05	10.296
A_23_P149470	NDUFS2	-2.35	8.42E+00	-7.318	7.23E-09	3.93E-05	10.251
A_23_P102517	PDE6D	-0.989	8.37E+00	-7.309	7.45E-09	3.93E-05	10.223
A_23_P256282	BX537520	-0.413	7.38E+00	-7.303	7.59E-09	3.93E-05	10.206
A_23_P26640	BC033681	-1.269	7.077	-7.291	7.88E-09	3.97E-05	10.17
A_23_P211247	HRMT1L1	-0.965	8.24E+00	-7.272	8.36E-09	4.10E-05	10.114
A_23_P158265	AF410455	0.687	10.525	7.257	8.77E-09	4.20E-05	10.067
A_23_P53211	PLEKHB1	-1.09	7.073	-7.213	1.01E-08	4.61E-05	9.936
A_23_P259166	NM_024863	-0.872	12.476	-7.212	1.01E-08	4.61E-05	9.931
A_23_P28233	AF037332	-0.968	7.269	-7.195	1.07E-08	4.75E-05	9.88
A_23_P157545	NKX3–1	0.356	8.371	7.173	1.14E-08	4.97E-05	9.814
A_23_P144563	GRIA2	-1.047	7.889	-7.137	1.28E-08	5.44E-05	9.705
A_23_P70045	H2AFY	0.689	11.036	7.117	1.37E-08	5.67E-05	9.645
A_23_P133232	HARS	-0.773	7.806	-7.09	1.49E-08	6.05E-05	9.562
A_23_P218412	SPAG7	-1.324	7.836	-7.061	1.63E-08	6.49E-05	9.475
A_23_P140876	ABCA3	-1.365	9.112	-7.041	1.74E-08	6.77E-05	9.414
A_23_P91902	SMC4L1	0.752	9.701	7.017	1.88E-08	7.16E-05	9.34
A_23_P143569	DGCR6L	-1.156	8.578	-7.006	1.95E-08	7.28E-05	9.306
