Curated Gene Symbol	Rank	GenBank	Name	Symbol	Rank	HepG2	Hep3B
EHMT2	1	NM_006709	HLA-B associated transcript 8	BAT8	27.52	14.1	0.51
AMFR	2	AF124145	Autocrine motility factor receptor	AMFR	21.08	13.76	0.65
RAB5B	3	NM_002868	RAB5B, member RAS oncogene family	RAB5B	10.74	12.2	1.14
IL13RA1	4	NM_001560	Interleukin 13 receptor, · 1	IL13RA1	6.92	10.32	1.49
MAP3K3	5	BC010464	Mitogen-activated protein kinase kinase kinase 3	MAP3K3	5.17	2.09	0.4
HMGA1	6	NM_002131	High mobility group AT-hook 1	HMGA1	5.09	7.7	1.51
	7	AF204231	Golgin-67	GOLGIN67	4.63	4.29	0.93
NMUR2	8	NM_020167	Neuromedin U receptor 2	NMU2R	3.76	3.56	0.95
LRP6	9	NM_002336	Low density lipoprotein receptor-related protein 6	LRP6	3.73	1.91	0.51
ACTR8	10	BF967508	ARP8 actin-related protein 8 homolog (yeast)	ACTR8	3.52	4.47	1.27
S100P	11	NM_005980	S100 calcium binding protein P	S100P	3.51	2.05	0.59
GIPC1	12	NM_005716	Regulator of G-protein signalling 19 interacting protein 1	RGS19IP1	3.37	3.33	0.99
DYNC1LI2	13	AK024863	Dynein, cytoplasmic, light intermediate polypeptide 2	DNCLI2	3.34	2.59	0.78
REPIN1	14	NM_013400	Replication initiator 1	REPIN1	3.1	2.01	0.65
DIO2	15	NM_013989	Deiodinase, iodothyronine, type II	DIO2	3.09	2.04	0.66
PAIP1	16	NM_006451	Poly(A) binding protein interacting protein 1	PAIP1	3.05	3.17	1.04
COMMD3	17	NM_005180	COMM domain containing 3	COMMD3	0.33	0.48	1.46
TRNT1	18	NM_016000	tRNA nucleotidyl transferase, CCA-adding, 1	TRNT1	0.33	0.5	1.52
GOLGA5	19	NM_005113	Golgi autoantigen, golgin subfamily a, 5	GOLGA5	0.33	0.54	1.63
HNRNPR	20	NM_005826	Heterogeneous nuclear ribonucleoprotein R	HNRPR	0.33	0.43	1.3
ABCE1	21	NM_002940	ATP-binding cassette, sub-family E 1	ABCE1	0.33	0.48	1.46
DNAJA2	22	NM_005880	DnaJ (Hsp40) homolog, subfamily A, member 2	DNAJA2	0.33	0.49	1.51
ZNF473	23	AB032967	Zinc finger protein 473	ZNF473	0.33	0.45	1.38
RAB18	24	AK001555	RAB18, member RAS oncogene family	RAB18	0.33	0.51	1.57
TAF1B	25	L39061	TATA box binding protein (TBP)-associated factor	TAF1B	0.32	0.26	0.82
AP3B1	26	NM_003664	Adaptor-related protein complex 3, ß 1 subunit	AP3B1	0.32	0.43	1.33
TCEA1	27	NM_006756	Transcription elongation factor A (SII), 1	TCEA1	0.32	0.41	1.29
LRPPRC	28	BI094140	Leucine-rich PPR-motif containing	LRPPRC	0.32	0.54	1.71
SMARCD1	29	NM_003076	SWI/SNF related, subfamily d, member 1	SMARCD1	0.31	0.44	1.39
TUBA1C	30	NM_032704	Tubulin · 6	TUBA6	0.31	0.33	1.08
ELMO2	31	BC000143	Engulfment and cell motility 2	ELMO2	0.31	0.5	1.61
MRPL10	32	AL545781	Mitochondrial ribosomal protein L10	MRPL10	0.3	0.31	1.02
CSE1L	33	NM_001316	CSE1 chromosome segregation 1-like (yeast)	CSE1L	0.3	0.41	1.34
CCNG1	34	NM_004060	Cyclin G1	CCNG1	0.3	0.54	1.8
USO1	35	NM_003715	Vesicle docking protein p115	VDP	0.29	0.38	1.32
NARS	36	NM_004539	Asparaginyl-tRNA synthetase	NARS	0.29	0.34	1.17
CUL4A	37	NM_003589	Cullin 4A	CUL4A	0.29	0.44	1.54
SP3	38	X68560	Sp3 transcription factor	SP3	0.27	0.46	1.72
TTK	39	NM_003318	TTK protein kinase	TTK	0.27	0.51	1.9
HSP90B1	40	NM_003299	Tumor rejection antigen (gp96) 1	TRA1	0.26	0.37	1.39
DLGAP5	41	NM_014750	Discs, large homolog 7 (Drosophila)	DLG7	0.26	0.41	1.56
HMMR	42	NM_012484	Hyaluronan-mediated motility receptor (RHAMM)	HMMR	0.26	0.4	1.52
MYO5B	43	AB032945	Myosin VB	MYO5B	0.26	0.49	1.87
PLK1	44	NM_005030	Polo-like kinase 1 (Drosophila)	PLK1	0.25	0.38	1.5
AKAP10	45	NM_007202	A kinase (PRKA) anchor protein 10	AKAP10	0.25	0.47	1.85
KIF20A	46	NM_005733	Kinesin family member 20A	KIF20A	0.25	0.53	2.14
SNX6	47	NM_021249	Sorting nexin 6	SNX6	0.24	0.35	1.45
KIF18A	48	NM_031217	Kinesin family member 18A	DKFZP434G2226	0.24	0.48	2.02
NOP56	49	NM_006392	Nucleolar protein 5A (56 kDa with KKE/D repeat)	NOL5A	0.23	0.21	0.91
SRP54	50	NM_003136	Signal recognition particle, 54 kDa	SRP54	0.23	0.42	1.84
NAE1	51	NM_003905	Amyloid ß precursor protein binding protein 1	APPBP1	0.23	0.5	2.22
PBK	52	NM_018492	T-LAK cell-originated protein kinase	TOPK	0.22	0.41	1.82
COPB2	53	NM_004766	Coatomer protein complex, subunit ß 2	COPB2	0.22	0.44	2
WNT5A	54	NM_003392	Wingless-type MMTV integration site family 5A	WNT5A	0.22	0.19	0.88
HSP90AB1	55	NM_007355	Heat shock 90-kDa protein 1, ß	HSPCB	0.19	0.22	1.12
CENPF	56	NM_016343	Centromere protein F, 350/400ka (mitosin)	CENPF	0.19	0.43	2.3
SNUPN	57	NM_005701	RNA, U transporter 1	RNUT1	0.18	0.28	1.56
TOP2A	58	NM_001067	Topoisomerase (DNA) II ·, 170 kDa	TOP2A	0.13	0.34	2.63
