Gene Symbol	Rank	Gene Name	P-Value	Q-Value
MCM7	1	3063685_MCM7	5.34531E-07	0.000217391
SEH1L	2	3779756_SEH1L	5.34531E-07	0.000217391
TP53I3	3	2544201_TP53I3	5.34531E-07	0.000217391
TM7SF3	4	3448481_TM7SF3	5.34531E-07	0.000217391
NADSYN1	5	3338968_NADSYN1	5.34531E-07	0.000217391
CDC45L	6	3936913_CDC45L	5.34531E-07	0.000217391
PAPLN	7	3543539_PAPLN	5.34531E-07	0.000217391
HNRNPAB	8	2843619_HNRNPAB	5.34531E-07	0.000217391
ZWINT	9	3290210_ZWINT	5.34531E-07	0.000217391
TRIP13	10	2798915_TRIP13	5.34531E-07	0.000217391
PDCD1LG2	11	3161113_PDCD1LG2	5.34531E-07	0.000217391
LIG1	12	3866898_LIG1	5.34531E-07	0.000217391
KIAA0101	13	3629103_KIAA0101	5.34531E-07	0.000217391
GLS2	14	3457891_GLS2	5.34531E-07	0.000217391
CTNNAL1	15	3219621_CTNNAL1	5.34531E-07	0.000217391
GNL3	16	2624074_GNL3	5.34531E-07	0.000217391
DCP1B	17	3440192_DCP1B	5.34531E-07	0.000217391
DNASE1	18	3646000_DNASE1	5.34531E-07	0.000217391
FEN1	19	3333226_FEN1	5.34531E-07	0.000217391
LAMP3	20	2707876_LAMP3	5.34531E-07	0.000217391
E2F8	21	3365776_E2F8	5.34531E-07	0.000217391
HIST2H2AB	22	2434129_HIST2H2AB	5.34531E-07	0.000217391
UNG	23	3430926_UNG	5.34531E-07	0.000217391
PARC	24	2907754_PARC	5.34531E-07	0.000217391
PPM1D	25	3729528_PPM1D	5.34531E-07	0.000217391
NASP	26	2334404_NASP	5.34531E-07	0.000217391
CTPS	27	2332144_CTPS	5.34531E-07	0.000217391
CDKN1A	28	2905169_CDKN1A	5.34531E-07	0.000217391
UBE2T	29	2451200_UBE2T	5.34531E-07	0.000217391
HIST1H2BM	30	2900059_HIST1H2BM	5.34531E-07	0.000217391
SFPQ	31	2406064_SFPQ	5.34531E-07	0.000217391
GDF15	32	3824993_GDF15	5.34531E-07	0.000217391
HNRPDL	33	2775562_HNRPDL	5.34531E-07	0.000217391
PCNA	34	3896200_PCNA	5.34531E-07	0.000217391
MAP3K12	35	3456212_MAP3K12	5.34531E-07	0.000217391
MSH6	36	2481142_MSH6	5.34531E-07	0.000217391
UHRF1	37	3817698_UHRF1	5.34531E-07	0.000217391
HMG1L1	38	2613804_HMG1L1	5.34531E-07	0.000217391
STMN1	39	2402459_STMN1	5.34531E-07	0.000217391
SFRS10	40	2709062_SFRS10	5.34531E-07	0.000217391
YWHAH	41	3943207_YWHAH	5.34531E-07	0.000217391
