Gene Symbol	Gene Description
AADAC	arylacetamide deacetylase (esterase)
ABCA1	ATP-binding cassette, sub-family A (ABC
ACRC	acidic repeat containing
ADAMTSL4	ADAMTS-like 4
AG2	hypothetical protein LOC387763
ALDH1A3	aldehyde dehydrogenase 1 family, member
ALPP	alkaline phosphatase, placental (Regan
ANKRD30B	ankyrin repeat domain 30B
ANXA10	annexin A10
AQP3	aquaporin 3 (Gill blood group)
ARMC9	armadillo repeat containing 9
ASPHD2	aspartate beta-hydroxylase domain conta
ASS1	argininosuccinate synthetase 1
ATP10A	ATPase, class V, type 10A
Ablim3	actin binding LIM protein family, membe
Acot4	acyl-CoA thioesterase 4
Acpl2	acid phosphatase-like 2
Actg2	actin, gamma 2, smooth muscle, enteric
Adamts3	ADAM metallopeptidase with thrombospond
Adora2a	adenosine A2a receptor
Akr1c1	aldo-keto reductase family 1, member C1
Apoc1	apolipoprotein C-I
BICC1	bicaudal C homolog 1 (Drosophila)
BIK	BCL2-interacting killer (apoptosis-indu
BIRC3	baculoviral IAP repeat-containing 3
BMP4	bone morphogenetic protein 4
BST2	bone marrow stromal cell antigen 2
C10orf10	chromosome 10 open reading frame 10
C10orf116	chromosome 10 open reading frame 116
C15orf48	chromosome 15 open reading frame 48
C1orf110	chromosome 1 open reading frame 110
C20orf56	chromosome 20 open reading frame 56
C21orf63	chromosome 21 open reading frame 63
C21orf7	chromosome 21 open reading frame 7
C3	complement component 3
C4BPA	complement component 4 binding protein,
C4BPB	complement component 4 binding protein,
C4orf19	chromosome 4 open reading frame 19
C4orf26	chromosome 4 open reading frame 26
C5orf4	chromosome 5 open reading frame 4
C6orf105	chromosome 6 open reading frame 105
C6orf99	similar to Putative uncharacterized pro
C7orf58	chromosome 7 open reading frame 58
C9orf16	chromosome 9 open reading frame 16
CCDC125	coiled-coil domain containing 125
CCDC3	coiled-coil domain containing 3
CCL20	chemokine (C-C motif) ligand 20
CCL26	chemokine (C-C motif) ligand 26
CD14	CD14 molecule
CD82	CD82 molecule
CDH4	cadherin 4, type 1, R-cadherin (retinal
CDKN1A	cyclin-dependent kinase inhibitor 1A (p
CFB	complement factor B
CFP	complement factor properdin
CH25H	cholesterol 25-hydroxylase
CHKB	carnitine palmitoyltransferase 1B (musc
CLDN1	claudin 1
CLDN2	claudin 2
CLEC2B	C-type lectin domain family 2, member B
CNKSR3	CNKSR family member 3
COL1A1	collagen, type I, alpha 1
COX7B2	cytochrome c oxidase subunit VIIb2
CSF3	colony stimulating factor 3 (granulocyt
CST1	cystatin SN
CST2	cystatin SA
CST4	cystatin S
CST6	cystatin E/M
CTHRC1	collagen triple helix repeat containing
CTSS	cathepsin S
CXCL1	chemokine (C-X-C motif) ligand 1 (melan
CXCL2	chemokine (C-X-C motif) ligand 2
CXCR4	chemokine (C-X-C motif) receptor 4
CYFIP2	cytoplasmic FMR1 interacting protein 2
CYP1B1	cytochrome P450, family 1, subfamily B,
Cabyr	calcium binding tyrosine-(Y)-phosphoryl
Cd8a	CD8a molecule
Celsr3	cadherin, EGF LAG seven-pass G-type rec
Chst9	carbohydrate (N-acetylgalactosamine 4-0
Col6a3	collagen, type VI, alpha 3
Csf2	colony stimulating factor 2 (granulocyt
Cxcl3	chemokine (C-X-C motif) ligand 3
Cyp24a1	cytochrome P450, family 24, subfamily A
DCAF12L1	WD repeat domain 40B
DCAF4L1	WD repeat domain 21B
DENND2A	DENN/MADD domain containing 2A
DEPDC7	DEP domain containing 7
DHCR7	7-dehydrocholesterol reductase
DKK3	dickkopf homolog 3 (Xenopus laevis)
DMBT1	deleted in malignant brain tumors 1
Ddx60	DEAD (Asp-Glu-Ala-Asp) box polypeptide
Dhrs2	dehydrogenase/reductase (SDR family) me
Dhrs3	dehydrogenase/reductase (SDR family) me
Dner	delta/notch-like EGF repeat containing
EFEMP2	EGF-containing fibulin-like extracellul
EID3	EP300 interacting inhibitor of differen
ENG	endoglin
ESRP2	epithelial splicing regulatory protein
EYA4	eyes absent homolog 4 (Drosophila)
Ehf	ets homologous factor
Evi2a	ecotropic viral integration site 2A
FADS2	fatty acid desaturase 2
FAM122C	family with sequence similarity 122C
FAM133A	family with sequence similarity 133, me
