Probeset_ID	Distance	Symbol	Description
227404_s_at	0	EGR1	early growth response 1
201694_s_at	2.033501123	EGR1	early growth response 1
209969_s_at	6.633095928	STAT1	signal transducer and activator of transcription 1, 91kDa
201631_s_at	6.79760678	IER3	immediate early response 3
207339_s_at	7.14674036	LTB	lymphotoxin beta (TNF superfamily, member 3)
202688_at	8.036794484	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10
204035_at	8.056500818	SCG2	secretogranin II (chromogranin C)
205249_at	8.28710171	EGR2	early growth response 2 (Krox-20 homolog, Drosophila)
202687_s_at	8.515727179	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10
209457_at	8.676612227	DUSP5	dual specificity phosphatase 5
204794_at	8.799380763	DUSP2	dual specificity phosphatase 2
201739_at	9.002402919	SGK1	serum/glucocorticoid regulated kinase 1
229625_at	9.023984464	GBP5	guanylate binding protein 5
238581_at	9.043961835	GBP5	guanylate binding protein 5
205681_at	9.159210894	BCL2A1	BCL2-related protein A1
206632_s_at	9.548047617	APOBEC3B	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B
211269_s_at	10.19926449	IL2RA	interleukin 2 receptor, alpha
214329_x_at	10.29844342	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10
209795_at	10.49011564	CD69	CD69 molecule
202270_at	10.79023563	GBP1	guanylate binding protein 1, interferon-inducible, 67kDa
202269_x_at	10.79198825	GBP1	guanylate binding protein 1, interferon-inducible, 67kDa
206341_at	10.82611645	IL2RA	interleukin 2 receptor, alpha
226103_at	10.97857786	NEXN	nexilin (F actin binding protein)
231577_s_at	11.04477477	GBP1	guanylate binding protein 1, interferon-inducible, 67kDa
237753_at	11.20726876	NA	NA
232375_at	11.24903918	NA	NA
200887_s_at	11.26201688	STAT1	signal transducer and activator of transcription 1, 91kDa
204198_s_at	11.40200473	RUNX3	runt-related transcription factor 3
223220_s_at	11.55776143	PARP9	poly (ADP-ribose) polymerase family, member 9
217996_at	11.79334079	PHLDA1	pleckstrin homology-like domain, family A, member 1
229450_at	11.83532777	IFIT3	interferon-induced protein with tetratricopeptide repeats 3
204197_s_at	11.87917357	RUNX3	runt-related transcription factor 3
224917_at	12.00191443	TMEM49	transmembrane protein 49
202340_x_at	12.10733563	NR4A1	nuclear receptor subfamily 4, group A, member 1
202307_s_at	12.23160388	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)
201693_s_at	12.23448585	EGR1	early growth response 1
1552309_a_at	12.25645609	NEXN	nexilin (F actin binding protein)
206914_at	12.30490522	CRTAM	cytotoxic and regulatory T cell molecule
210538_s_at	12.32808599	BIRC3	baculoviral IAP repeat-containing 3
221563_at	12.35877359	DUSP10	dual specificity phosphatase 10
221658_s_at	12.42395021	IL21R	interleukin 21 receptor
227458_at	12.50220274	NA	NA
203140_at	12.64147065	BCL6	B-cell CLL/lymphoma 6
211962_s_at	12.72794648	ZFP36L1	zinc finger protein 36, C3H type-like 1
201502_s_at	12.73683429	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha
230499_at	12.88357505	NA	NA
238725_at	12.89197754	IRF1	interferon regulatory factor 1
200905_x_at	12.8933202	HLA-E	major histocompatibility complex, class I, E
205184_at	12.9515879	GNG4	guanine nucleotide binding protein (G protein), gamma 4
202643_s_at	12.97674038	TNFAIP3	tumor necrosis factor, alpha-induced protein 3
219716_at	13.00398895	APOL6	apolipoprotein L, 6
202748_at	13.03740831	GBP2	guanylate binding protein 2, interferon-inducible
217997_at	13.03815296	PHLDA1	pleckstrin homology-like domain, family A, member 1
1569003_at	13.16609005	TMEM49	transmembrane protein 49
242907_at	13.28146598	NA	NA
214228_x_at	13.3109951	TNFRSF4	tumor necrosis factor receptor superfamily, member 4
201565_s_at	13.34168193	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
241869_at	13.38079209	APOL6	apolipoprotein L, 6
203904_x_at	13.408806	CD82	CD82 molecule
228910_at	13.4634814	NA	NA
226056_at	13.59480016	CDGAP	Cdc42 GTPase-activating protein
203882_at	13.68351059	IRF9	interferon regulatory factor 9
1555765_a_at	13.71098384	GNG4	guanine nucleotide binding protein (G protein), gamma 4
227677_at	13.7807118	JAK3	Janus kinase 3 (a protein tyrosine kinase, leukocyte)
200904_at	13.79733216	HLA-E	major histocompatibility complex, class I, E
202644_s_at	13.81898998	TNFAIP3	tumor necrosis factor, alpha-induced protein 3
227609_at	13.82169327	EPSTI1	epithelial stromal interaction 1 (breast)
202531_at	13.85728946	IRF1	interferon regulatory factor 1
207351_s_at	13.87535577	SH2D2A	SH2 domain protein 2A
225842_at	13.98527771	PHLDA1	pleckstrin homology-like domain, family A, member 1
206036_s_at	13.99102759	REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)
215037_s_at	14.14429694	BCL2L1	BCL2-like 1
211965_at	14.15127141	ZFP36L1	zinc finger protein 36, C3H type-like 1
215501_s_at	14.20398743	DUSP10	dual specificity phosphatase 10
203349_s_at	14.22801752	ETV5	ets variant 5
213931_at	14.2418525	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
202284_s_at	14.25110125	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)
200629_at	14.25314375	WARS	tryptophanyl-tRNA synthetase
226101_at	14.32761329	PRKCE	protein kinase C, epsilon
202241_at	14.33373474	TRIB1	tribbles homolog 1 (Drosophila)
41577_at	14.37559455	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B
1557236_at	14.38233908	APOL6	apolipoprotein L, 6
210354_at	14.38299702	IFNG	interferon, gamma
200628_s_at	14.44070161	WARS	tryptophanyl-tRNA synthetase
236471_at	14.44385819	NFE2L3	nuclear factor (erythroid-derived 2)-like 3
235242_at	14.46080525	NA	NA
209959_at	14.59360162	NR4A3	nuclear receptor subfamily 4, group A, member 3
223434_at	14.60440026	GBP3	guanylate binding protein 3
235122_at	14.624932	HIVEP3	human immunodeficiency virus type I enhancer binding protein 3
226474_at	14.64840253	NLRC5	NLR family, CARD domain containing 5
203471_s_at	14.65521042	PLEK	pleckstrin
242873_at	14.66926499	NA	NA
217456_x_at	14.67184155	HLA-E	major histocompatibility complex, class I, E
210001_s_at	14.67345254	SOCS1	suppressor of cytokine signaling 1
212750_at	14.7759854	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B
206115_at	14.77765958	EGR3	early growth response 3
205599_at	14.85382974	TRAF1	TNF receptor-associated factor 1
224701_at	14.87543198	PARP14	poly (ADP-ribose) polymerase family, member 14
230102_at	14.88943709	ETV5	ets variant 5
200920_s_at	14.88986444	BTG1	B-cell translocation gene 1, anti-proliferative
235688_s_at	15.00920259	TRAF4	TNF receptor-associated factor 4
203045_at	15.01617338	NINJ1	ninjurin 1
203233_at	15.02024282	IL4R	interleukin 4 receptor
209827_s_at	15.02859958	IL16	interleukin 16 (lymphocyte chemoattractant factor)
213293_s_at	15.08911242	TRIM22	tripartite motif-containing 22
204702_s_at	15.13147546	NFE2L3	nuclear factor (erythroid-derived 2)-like 3
225524_at	15.15802111	ANTXR2	anthrax toxin receptor 2
212312_at	15.15987768	BCL2L1	BCL2-like 1
221234_s_at	15.2590305	BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2
201059_at	15.3404957	CTTN	cortactin
201649_at	15.34571429	UBE2L6	ubiquitin-conjugating enzyme E2L 6
1557116_at	15.39205449	APOL6	apolipoprotein L, 6
227173_s_at	15.43887339	BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2
201170_s_at	15.49639696	BHLHE40	basic helix-loop-helix family, member e40
239486_at	15.50630035	NA	NA
228812_at	15.53132979	NA	NA
203518_at	15.57579405	LYST	lysosomal trafficking regulator
224799_at	15.63593271	NDFIP2	Nedd4 family interacting protein 2
200878_at	15.72958021	EPAS1	endothelial PAS domain protein 1
207978_s_at	15.75656862	NR4A3	nuclear receptor subfamily 4, group A, member 3
209140_x_at	15.78197295	HLA-B	major histocompatibility complex, class I, B
218810_at	15.79436036	ZC3H12A	zinc finger CCCH-type containing 12A
235670_at	15.79784758	STX11	syntaxin 11
200921_s_at	15.81137722	BTG1	B-cell translocation gene 1, anti-proliferative
235735_at	15.81148654	NA	NA
201566_x_at	15.85260626	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
207315_at	15.87140492	CD226	CD226 molecule
220358_at	15.88195028	BATF3	basic leucine zipper transcription factor, ATF-like 3
204440_at	15.8939884	CD83	CD83 molecule
222483_at	15.91388305	EFHD2	EF-hand domain family, member D2
1568592_at	15.92365865	TRIM69	tripartite motif-containing 69
229972_at	15.94103874	NA	NA
232504_at	15.97194215	LOC285628	hypothetical protein LOC285628
209239_at	16.02508263	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1
200632_s_at	16.05709826	NDRG1	N-myc downstream regulated 1
228617_at	16.08037156	XAF1	XIAP associated factor 1
204698_at	16.11714616	ISG20	interferon stimulated exonuclease gene 20kDa
209446_s_at	16.1367736	C7orf44	chromosome 7 open reading frame 44
205066_s_at	16.16247848	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1
210164_at	16.1815932	GZMB	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)
209732_at	16.21469858	CLEC2B	C-type lectin domain family 2, member B
208992_s_at	16.23800397	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)
204806_x_at	16.25712816	HLA-F	major histocompatibility complex, class I, F
202497_x_at	16.26689383	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3
210563_x_at	16.27298831	CFLAR	CASP8 and FADD-like apoptosis regulator
215313_x_at	16.34705058	HLA-A	major histocompatibility complex, class I, A
234964_at	16.36912867	TRA@	T cell receptor alpha locus
213618_at	16.38137657	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2
219209_at	16.39144487	IFIH1	interferon induced with helicase C domain 1
218400_at	16.39390895	OAS3	2-5-oligoadenylate synthetase 3, 100kDa
208991_at	16.42753325	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)
212590_at	16.46910969	RRAS2	related RAS viral (r-ras) oncogene homolog 2
208456_s_at	16.50778449	RRAS2	related RAS viral (r-ras) oncogene homolog 2
225800_at	16.508685	JAZF1	JAZF zinc finger 1
209939_x_at	16.59013186	CFLAR	CASP8 and FADD-like apoptosis regulator
