Agilent Probe name	Gene Name	GB Accession	Unigene cluster (build 221)
A_23_P33613	DCTPP1	NM_024096	Hs.632191
A_23_P19333	TREM1	NM_018643	Hs.283022
A_23_P22433	RP2	NM_006915	Hs.44766
A_24_P514678		DB728175	Hs.645207
A_24_P346339	SESN1	NM_014454	Hs.591336
A_23_P35082	SESN2	NM_031459	Hs.469543
A_23_P429184	GNPNAT1	NM_198066	Hs.478025
A_23_P170491	TRAIP	NM_005879	Hs.517972
A_23_P58604	C5orf45	NM_016175	Hs.310781
A_23_P139895	MGC5370	BC006795	Hs.484551
A_24_P348989	LILRA1	NM_006863	Hs.667388
A_24_P314179	ETS2	NM_005239	Hs.693588
A_32_P140501
A_23_P30254	PLK2	NM_006622	Hs.398157
A_32_P7502	CD96	NM_198196	Hs.142023
A_23_P411296	CEBPB	NM_005194	Hs.693759
A_23_P91095	CD28	NM_006139	Hs.591629
A_23_P31584	RABL5	NM_022777	Hs.389104
A_24_P562242
A_23_P41280	PAICS	NM_001079525	Hs.518774
A_24_P73178	PRR13	NM_001005354	Hs.426359
A_23_P34915	ATF3	NM_001040619	Hs.460
A_24_P927090		AF116678
A_24_P389994	NADK	NM_023018	Hs.654792
A_23_P114299	CXCR3	NM_001504	Hs.198252
A_23_P204850	RB1	NM_000321	Hs.408528
A_23_P37535	RAB8B	NM_016530	Hs.389733
A_23_P24948	KCNE3	NM_005472	Hs.523899
A_23_P58132	RHOH	NM_004310	Hs.654594
A_24_P592871		BE735175	Hs.624661
A_23_P37484	CHSY1	NM_014918	Hs.110488
A_24_P126181	NR2C2AP	NM_176880	Hs.656791
A_23_P110802	CENPH	NM_022909	Hs.631967
A_32_P30434
A_32_P178537		AI910722	Hs.654964
A_23_P45294	CXorf39	NM_207318	Hs.592223
A_23_P502750	MDM2	NM_002392	Hs.567303
A_24_P917549
A_32_P185229	ATP8B2	NM_020452	Hs.435700
A_24_P184031	PHPT1	NM_014172	Hs.409834
A_23_P107206	STAT3	NM_213662	Hs.463059
A_23_P424080	YIPF4	NM_032312	Hs.468099
A_23_P31177	TMEM140	NM_018295	Hs.658637
A_23_P377982	FLJ36031	NM_175884	Hs.29692
A_23_P366216	HIST1H2BH	NM_003524	Hs.247815
A_24_P270814	CRK	NM_016823	Hs.638121
A_23_P58606	CCNG1	NM_004060	Hs.79101
A_24_P101402	NOP56	NM_006392	Hs.376064
A_24_P220786	RGS12	NM_198229	Hs.527061
A_23_P38154	FDXR	NM_004110	Hs.69745
A_23_P137196	IL13RA1	NM_001560	Hs.496646
A_23_P4561	SERPINB8	NM_198833	Hs.368077
A_23_P165355	FARSB	NM_005687	Hs.471452
A_23_P304991	HLCS	NM_000411	Hs.371350
A_24_P52921	BCAT1	NM_005504	Hs.438993
A_23_P165333	BIN1	NM_139346	Hs.193163
A_23_P93562	SESN1	NM_014454	Hs.591336
A_23_P113283	ZMAT3	NM_022470	Hs.386299
A_24_P146211	HIST1H2BD	NM_021063	Hs.591797
A_24_P252785	PTEN	NM_000314	Hs.500466
A_23_P204048	DYRK2	NM_006482	Hs.173135
A_23_P406616	FLJ36031	NM_175884	Hs.29692
A_23_P330561	C19orf59	NM_174918	Hs.432413
A_23_P162589	VDR	NM_001017535	Hs.524368
A_23_P420873	NR1D1	NM_021724	Hs.592130
A_23_P111041	HIST1H2BI	NM_003525	Hs.553506
A_24_P765784	GTF2I	AK057670	Hs.647041
A_23_P25019	PRIM1	NM_000946	Hs.534339
A_23_P332992	HIST3H2BB	NM_175055	Hs.376691
A_23_P113825	NACC2	NM_144653	Hs.112895
A_32_P224094	ZNF143	U09850
A_24_P88921	XPC	NM_004628	Hs.475538
A_23_P219045	HIST1H3D	NM_003530	Hs.532144
A_23_P147404
A_23_P55649	FPR2	NM_001462	Hs.99855
A_24_P921660		AK057152	Hs.518727
A_23_P29248	TST	NM_003312	Hs.474783
A_23_P17655	KCNJ15	NM_170736	Hs.411299
A_32_P48054
A_23_P214222	MARCKS	NM_002356	Hs.519909
A_24_P910325		BM471507	Hs.436973
A_24_P544661		BC068044	Hs.595570
A_32_P85405
A_23_P32793		DQ926472	Hs.525652
A_23_P66694	EVI2B	NM_006495	Hs.5509
A_23_P89062	C16orf67	NR_024034
A_24_P258073	C10orf2	NM_021830	Hs.22678
A_23_P160449	PPP1R15B	NM_032833	Hs.304376
A_23_P46618	PLXNA2	NM_025179	Hs.497626
A_23_P128447	LRRK2	NM_198578	Hs.187636
A_23_P58132	RHOH	NM_004310	Hs.654594
A_24_P66027	APOBEC3B	NM_004900	Hs.226307
A_23_P146077	ZNF395	NM_018660	Hs.435535
A_23_P251387	REPS2	NM_004726	Hs.186810
A_24_P116805	STAT3	NM_213662	Hs.463059
A_23_P206077	AEN	NM_022767	Hs.436102
A_24_P282597	CD46	NM_002389	Hs.510402
A_32_P129894	MEGF9	NM_001080497	Hs.494977
A_23_P99163	DRAM	NM_018370	Hs.525634
A_23_P157495	PPP3CC	NM_005605	Hs.655661
A_23_P406385	FBXL16	NM_153350	Hs.513244
A_24_P158946	FGD4	NM_139241	Hs.117835
A_23_P431939	MR1	NM_001531	Hs.101840
A_23_P25019	PRIM1	NM_000946	Hs.534339
A_23_P79518	IL1B	NM_000576	Hs.126256
A_23_P62188	ZC4H2	NM_018684	Hs.28249
A_32_P144710	NR2C2AP	NM_176880	Hs.656791
A_23_P119202	CD70	NM_001252	Hs.501497
A_23_P256342	SNX13	NM_015132	Hs.585343
A_23_P215956	MYC	NM_002467	Hs.202453
A_23_P69109	PLSCR1	NM_021105	Hs.130759
A_24_P161764		L04336	Hs.510635
A_23_P86330	IER5	NM_016545	Hs.15725
A_32_P150030	PPM1D	NM_003620	Hs.591184
A_24_P127462			Hs.648307
A_32_P224040
A_23_P8013	HIST1H2BL	NM_003519	Hs.137594
A_24_P78531	CLEC4E	NM_014358	Hs.236516
A_24_P218265	TNFRSF10B	NM_003842	Hs.521456
A_23_P150281	TP53I11	NM_001076787	Hs.554791
A_23_P367899	EPOR	NM_000121	Hs.631624
A_23_P58132	RHOH	NM_004310	Hs.654594
A_32_P28939	ALKBH2	NM_001001655	Hs.374458
A_23_P167711	MFAP3	NM_005927	Hs.432818
A_23_P50638	LRG1	NM_052972	Hs.655559
A_23_P153562	C5AR1	NM_001736	Hs.2161
A_24_P128001	ZNF395	NM_018660	Hs.435535
A_23_P58132	RHOH	NM_004310	Hs.654594
A_23_P209995	IL1RN	NM_173842	Hs.81134
A_23_P25515	MTMR6	NM_004685	Hs.643702
A_32_P30898		AA593970	Hs.608251
A_32_P347617	APOBEC3H	NM_181773	Hs.440515
A_32_P17484		BX647685	Hs.586834
A_23_P310421	CHST12	NM_018641	Hs.213088
A_23_P23221	GADD45A	NM_001924	Hs.80409
A_24_P854492	MIAT	NR_003491	Hs.517502
A_23_P352861	TRBV5-4	BC028083	Hs.654496
A_23_P415021	METTL7A	NM_014033	Hs.655369
A_23_P404481	S1PR1	NM_001400	Hs.154210
A_24_P379765	MOBKL1B	NM_018221	Hs.196437
A_23_P251002
A_23_P14734	RPS27L	NM_015920	Hs.108957
A_32_P48615	LOC100128108	XR_041114
A_24_P750164	LOC151438	AK055877	Hs.516245
A_23_P24507	LOC643733	AL833655	Hs.660145
A_23_P3169	GMPR2	NM_001002000	Hs.368855
A_24_P160969	TP53I11	NM_001076787	Hs.554791
A_23_P216257	TPD52	NM_001025252	Hs.368433
A_23_P47790	METTL1	NM_005371	Hs.42957
A_23_P41697	FEM1C	NM_020177	Hs.47367
A_23_P343671		BX647822	Hs.220971
A_24_P6725	ANKRD36B	NM_025190	Hs.532921
A_32_P194563
A_32_P179807
A_24_P188377	CD55	NM_000574	Hs.527653
A_32_P123629	TTC39C	NM_001135993	Hs.653395
A_23_P382775	BBC3	NM_014417	Hs.467020
