# Generate Mapping Tables Script: Version 4 11:08 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:08 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_023735|NM_023735	mgi_symbol|Actr3|Actr3
refseq_dna|NM_031185|NM_031185	mgi_symbol|Akap12|Akap12
refseq_dna|NM_001035532|NM_001035532	mgi_symbol|Akap2|Akap2
refseq_dna|NM_028390|NM_028390	mgi_symbol|Anln|Anln
refseq_dna|NM_029270|NM_029270	mgi_symbol|Arhgap24|Arhgap24
refseq_dna|NM_009707|NM_009707	mgi_symbol|Arhgap6|Arhgap6
refseq_dna|NM_028809|NM_028809	mgi_symbol|Arpc5l|Arpc5l
refseq_dna|NM_007598|NM_007598	mgi_symbol|Cap1+|Cap1+
refseq_dna|NM_026772|NM_026772	mgi_symbol|Cdc42ep2|Cdc42ep2
refseq_dna|NM_026514|NM_026514	mgi_symbol|Cdc42ep3|Cdc42ep3
refseq_dna|NM_021454|NM_021454	mgi_symbol|Cdc42ep5|Cdc42ep5
refseq_dna|NM_007725|NM_007725	mgi_symbol|Cnn2|Cnn2
refseq_dna|NM_011778|NM_011778	mgi_symbol|Coro1b|Coro1b
refseq_dna|NM_011779|NM_011779	mgi_symbol|Coro1c|Coro1c
refseq_dna|NM_007791|NM_007791	mgi_symbol|Csrp1|Csrp1
refseq_dna|NM_019813|NM_019813	mgi_symbol|Dbn1|Dbn1
refseq_dna|NM_019670|NM_019670	mgi_symbol|Diap3|Diap3
refseq_dna|NM_153068|NM_153068	mgi_symbol|Ehd2|Ehd2
refseq_dna|NM_007930|NM_007930	mgi_symbol|Enc1|Enc1
refseq_dna|NM_013510|NM_013510	mgi_symbol|Epb4.1l1|Epb4.1l1
refseq_dna|NM_013512|NM_013512	mgi_symbol|Epb4.1l4a|Epb4.1l4a
refseq_dna|NM_007965|NM_007965	mgi_symbol|Evl|Evl
refseq_dna|NM_010230|NM_010230	mgi_symbol|Fmn1|Fmn1
refseq_dna|NM_001122893|NM_001122893	mgi_symbol|Fyn|Fyn
refseq_dna|NM_134080|NM_134080	mgi_symbol|Flnb+|Flnb+
refseq_dna|NM_007984|NM_007984	mgi_symbol|Fscn1|Fscn1
refseq_dna|NM_146120|NM_146120	mgi_symbol|Gsn|Gsn
refseq_dna|NM_027711|NM_027711	mgi_symbol|IQGAP2|IQGAP2
refseq_dna|NM_178229|NM_178229	mgi_symbol|IQGAP3|IQGAP3
refseq_dna|NM_001039511|NM_001039511	mgi_symbol|Ivns1abp|Ivns1abp
refseq_dna|XM_001481029|XM_001481029	mgi_symbol|Kalrn|Kalrn
refseq_dna|NM_021284|NM_021284	mgi_symbol|Kras|Kras
refseq_dna|NM_201529|NM_201529	mgi_symbol|Lmo7+|Lmo7+
refseq_dna|NM_008927|NM_008927	mgi_symbol|Map2k1|Map2k1
refseq_dna|NM_011840|NM_011840	mgi_symbol|Map2k5|Map2k5
refseq_dna|NM_011945|NM_011945	mgi_symbol|Map3k1|Map3k1
refseq_dna|NM_008538|NM_008538	mgi_symbol|Marcks|Marcks
refseq_dna|NM_010833|NM_010833	mgi_symbol|Msn|Msn
refseq_dna|NM_144800|NM_144800	mgi_symbol|Mtss1|Mtss1
refseq_dna|NM_175260|NM_175260	mgi_symbol|Myh10|Myh10
refseq_dna|NM_022410|NM_022410	mgi_symbol|Myh9|Myh9
refseq_dna|NM_153789|NM_153789	mgi_symbol|Mylip|Mylip
refseq_dna|NM_011586|NM_011586	mgi_symbol|Myo18a|Myo18a
refseq_dna|NM_001080775|NM_001080775	mgi_symbol|Myo1c|Myo1c
refseq_dna|NM_177390|NM_177390	mgi_symbol|Myo1d|Myo1d
refseq_dna|NM_001081390|NM_001081390	mgi_symbol|Palld|Palld
refseq_dna|NM_016861|NM_016861	mgi_symbol|Pdlim1|Pdlim1
refseq_dna|NM_019808|NM_019808	mgi_symbol|Pdlim5|Pdlim5
refseq_dna|NM_001114088|NM_001114088	mgi_symbol|Pdlim7|Pdlim7
refseq_dna|NM_019677|NM_019677	mgi_symbol|Plcb1|Plcb1
refseq_dna|NM_013829|NM_013829	mgi_symbol|Plcb4|Plcb4
refseq_dna|NM_011117|NM_011117	mgi_symbol|Plec1|Plec1
refseq_dna|NM_145629|NM_145629	mgi_symbol|Pls3|Pls3
refseq_dna|NM_011204|NM_011204	mgi_symbol|Ptpn13|Ptpn13
refseq_dna|NM_030690|NM_030690	mgi_symbol|Rai14|Rai14
refseq_dna|NM_018750|NM_018750	mgi_symbol|Rassf5|Rassf5
refseq_dna|NM_023275|NM_023275	mgi_symbol|Rhoj|Rhoj
refseq_dna|NM_133955|NM_133955	mgi_symbol|Rhou|Rhou
refseq_dna|NM_009097|NM_009097	mgi_symbol|Rps6ka1|Rps6ka1
refseq_dna|NM_011519|NM_011519	mgi_symbol|Sdc1|Sdc1
refseq_dna|NM_001009818|NM_001009818	mgi_symbol|41528|41528
refseq_dna|NM_001130188|NM_001130188	mgi_symbol|Sgce|Sgce
refseq_dna|NM_001135727|NM_001135727	mgi_symbol|Sh3kbp1|Sh3kbp1
refseq_dna|NM_009166|NM_009166	mgi_symbol|Sorbs1|Sorbs1
refseq_dna|NM_176832|NM_176832	mgi_symbol|Spire1|Spire1
refseq_dna|NM_011897|NM_011897	mgi_symbol|Spry2|Spry2
refseq_dna|NM_001005510|NM_001005510	mgi_symbol|Syne2|Syne2
refseq_dna|NM_009416|NM_009416	mgi_symbol|Tpm2|Tpm2
refseq_dna|NM_022314|NM_022314	mgi_symbol|Tpm3|Tpm3
refseq_dna|NM_001001491|NM_001001491	mgi_symbol|Tpm4|Tpm4
refseq_dna|NM_028459|NM_028459	mgi_symbol|Wasl|Wasl
