Function	Accession No.	Gene	2 log (T/N)	Frequency
Cell cycle regulator	D79995	KIAA0173 gene product	-1.16	7
Cell cycle regulator	NM_012330	Histone acetyltransferase	-1.3	6
Cell cycle regulator	NM_11722	Deoxynucleotidyltransferase	-2.17	6
Cell cycle regulator	D14678	Kinesin-like 2	4.81	7
Cell cycle regulator	X66365	Cyclin-dependent kinase 6	2.74	7
Cell cycle regulator	U76248	Seven in absentia (Drosophila) homolog2	2.64	7
Cell cycle regulator	AF086947	Dynectin 1	2.76	6
Cell cycle regulator	U40705	Telomerin repeat binding factor	2.72	6
Cell cycle regulator	AB017430	Kinesin-like 4	2.67	6
Cell cycle regulator	NM_018667	Neutral sphingomyelinase II	2.32	6
Cell cycle regulator	AF095289	Pituitary tumor-transforming 3	1.8	6
Cell cycle regulator	X14850	H2A histone family, member X	1.48	6
Transcription	NM_016331	Zinc finger protein ANC-2H01	2.24	9
Transcription	U09412	Zinc finger protein 134	2.59	8
Transcription	NM_013242	Similar to mouse Glt3	2.4	8
Oncogene/tumor suppressor gene	AJ250014	KIAA0849 protein	-1.6	7
Oncogene/tumor suppressor gene	K02276	Translocated t(8;14) c-myc oncogene	-1.07	6
Oncogene/tumor suppressor gene	Y09160	Rho guanine nucleotide exchange factor 1	2.74	7
Oncogene/tumor suppressor gene	AF009674	Axin	1.53	7
Metabolism	NM_015831	Acetylcholinesterase	-1.48	6
Metabolism	Z25535	Nucleoporin 153 kDa	-1.67	6
Metabolism	S69232	Electron-transferring-ubiquinone oxidoreductase	-2.55	6
Metabolism	X59960	Sphingomyelin phosphodiesterase 1	3.26	7
Metabolism	M91211	Advanced glycosylation end product	2.92	7
Metabolism	X69433	Isocitrate dehydrogenase 2	2.21	7
Metabolism	AF069250	Acid-inducible phosphoprotein	2.33	6
Metabolism	AF064254	VLCS-H1 protein	11.5	6
Cell structure/Motility	U61234	Tubulin-specific chaperone c	-2.6	7
Cell structure/Motility	X06825	Tropomyosin 2 (beta)	-1.18	6
Cell structure/Motility	M60922	Flotillin 2	-1.97	6
Cell structure/Motility	AB006780	Lectin	3.34	8
Cell structure/Motility	X14420	Collagen, type III, alpha 1	4.61	7
Cell structure/Motility	U80184	Flightless I (Drosophila) homolog	3.32	7
Cell structure/Motility	U33931	Erythrocyte membrane protein band 7.2	2.69	7
Cell structure/Motility	AF006087	Actin related protein 2/3 complex, subunit 4	1.93	6
Signal transduction	L28824	c-src tyrosine kinase	-1.43	7
Signal transduction	AF078103	Develpomentally regulated GTP binding protein	-1.81	7
Signal transduction	AF263541	Dual-specificity tyrosine-(Y)-phophatase	-2.46	7
Signal transduction	M35878	Insulin-like growth factor binding protein	-1.2	6
Signal transduction	AF189009	Ubiquilin 2	-1.83	6
Signal transduction	AF070599	Protein phosphatase 1	3.98	7
Signal transduction	NM_004409	Dystrophia myotonica-protein kinase	3.28	7
Signal transduction	U10099	POM-ZP3 mRNA	2.98	7
Signal transduction	AF114012	Tumor necrosis factor (ligand) superfamily	2.61	7
Signal transduction	U02680	Protein tyrosine kinase 9	3.03	6
Signal transduction	AB014561	95kDa retinoblastoma protein binding protein	3.02	6
Signal transduction	X78947	Connective tissue growth factor	1.37	6
Gene/protein expression	U46571	Tetratricopeptide repeat domain 2	-2.06	8
Gene/protein expression	NM_020365	Eukaryotic translation initiation factor	-1.51	7
Gene/protein expression	X70944	Splicing factor proline/glutamine rich	-2.97	7
Gene/protein expression	X76013	Glutamyl-tRNA synthetase	-2.08	6
Gene/protein expression	AB014546	Ring finger protein 8	4.34	7
Gene/protein expression	NM_014018	Mitochondrial ribosomal protein	4.36	6
Gene/protein expression	D13641	KIAA0016	3.76	6
DNA repair	NM_016042	CGI-102 protein	3.56	8
DNA repair	M74905	N-methylpurine-DNA glycosylase	2.39	7
DNA repair	J04973	Human cytochrome bc-1 complex core protein II	2.33	7
DNA repair	U12134	RAD52 (S. cerevisiae) homolog	2.4	6
Angiogenesis	AF035121	Kinase insert domain receptor	-2	6
Angiogenesis	U03644	CBF1 interacting corepressor	2.46	7
Immunology	X14723	Clusterin	-1.9	8
Immunology	X53961	Lactotransferrin	-2.19	7
Immunology	AF110908	TNF receptor-associated factor 3	2.81	6
Immunology	U12255	Fc fragment of IgG, receptor, transporter	2.3	6
Immunology	X57809	Immunoglobulin lambda locus	1.73	6
Immunology	J03909	Interferon, gamma-inducible protein 30	1.42	6
