ID	Serial no.	Average (TSA)	Average (DMSO)	p-value	logFC
hsa-miR-215	990	498.33	323.67	0.001	1.46
hsa-miR-657	725	206.33	573.67	0.002	-1.13
hsa-miR-139	524	886.33	783.67	0.003	0.88
hsa-miR-155	544	192.67	176.33	0.005	0.73
hsa-miR-146b	1501	182.67	178	0.005	0.66
hsa-miR-645	1681	181.33	519.67	0.006	-1.27
hsa-miR-544	127	374.67	305.67	0.006	1.01
hsa-miR-194	1541	362.67	319.67	0.007	0.95
hsa-miR-628	696	190.67	371.67	0.007	-0.6
hsa-miR-144	1498	148	115.33	0.008	0.94
hsa-miR-144	530	154.67	110.67	0.008	1.1
hsa-miR-559	1112	128.67	111.67	0.008	0.74
hsa-miR-128b	511	868	905	0.009	0.62
hsa-miR-143	529	204.67	143.67	0.009	1.13
hsa-miR-568	1121	145.67	130.33	0.009	0.74
hsa-miR-769-5p	744	230.33	502.33	0.01	-0.69
hsa-miR-1	1461	226	130.33	0.01	1.48
hsa-miR-497	645	296.67	639.67	0.011	-0.66
hsa-miR-632	1668	217.33	603	0.012	-1.12
hsa-miR-767-5p	1708	178	392.67	0.012	-0.73
hsa-miR-512-3p	660	155.33	362.67	0.013	-0.82
hsa-miR-191	1537	206.67	138.33	0.014	1.25
hsa-miR-191	569	285.33	155.33	0.015	1.65
hsa-miR-155	1512	163.67	150.67	0.015	0.7
hsa-miR-613	1649	246	624.33	0.016	-0.93
hsa-miR-202	977	479.33	378	0.016	1.05
hsa-miR-636	704	226.67	705.33	0.018	-1.2
hsa-miR-486	1600	192	129.67	0.019	1.21
hsa-miR-622	1658	181.33	401.67	0.019	-0.79
hsa-miR-215	22	469	289	0.02	1.61
hsa-miR-22	27	1007.33	568.33	0.021	1.82
hsa-miR-875-5p	903	139.67	103.33	0.024	0.99
hsa-miR-620	1656	210	127.33	0.024	1.36
hsa-miR-370	581	1265.67	1152.67	0.026	0.88
hsa-miR-200c	7	272.67	278	0.026	0.6
hsa-miR-638	706	1096.67	1021	0.026	0.85
hsa-miR-630	1666	140.33	129	0.028	0.71
hsa-miR-208	14	191.33	168.67	0.028	0.74
hsa-miR-526c	121	321.33	215.33	0.028	1.27
hsa-miR-643	711	138.33	268.33	0.029	-0.61
hsa-miR-651	719	142.33	332.67	0.029	-0.84
hsa-miR-149	537	733.67	711	0.031	0.71
hsa-miR-589	1880	150.67	137	0.032	0.77
hsa-miR-768-3p	1709	994.33	1006	0.033	0.79
hsa-miR-22	995	935.67	635	0.035	1.65
hsa-miR-627	1663	133.67	102	0.035	0.96
hsa-miR-450	1588	270.67	571.33	0.036	-0.63
hsa-miR-620	688	198.33	136.67	0.036	1.17
hsa-miR-211	987	618.67	578.33	0.037	0.83
hsa-miR-346	84	625.33	604.67	0.041	0.77
hsa-miR-1	493	256	184.67	0.041	1.11
hsa-miR-607	191	171.33	155.33	0.041	0.7
hsa-miR-153	1509	145.67	124	0.041	0.85
hsa-miR-621	1657	277	196	0.042	1.1
hsa-miR-668	1700	233.33	538.67	0.043	-0.74
hsa-miR-607	1159	105.33	254	0.043	-1.04
hsa-miR-129	1480	533.33	495	0.045	0.82
hsa-miR-335	76	175.67	134	0.045	0.96
hsa-miR-640	1676	188.67	447	0.047	-0.8
hsa-miR-524	116	256	243	0.048	0.61
hsa-miR-663	731	681.33	757.67	0.049	0.6
