Probeset	ExpressionafterBAFF/APRILinhibition	Ratio	P-value	GenBank	Gene	Description
204999_s_at	Decreased	1.38	0.000307	BF515750	ATF5	activating transcription factor 5
218144_s_at	Decreased	1.74	0.002032	BE561596	MTA1	metastasis associated 1
204470_at	Decreased	2.36	0.00002	NM_001511.1	CXCL1	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)
203510_at	Decreased	1.38	0.001077	BG170541	MET	met proto-oncogene (hepatocyte growth factor receptor)
210845_s_at	Decreased	1.13	0.00003	U08839.1	PLAUR	plasminogen activator, urokinase receptor
205863_at	Decreased	1.18	0.00004	NM_005621.1	S100A12	S100 calcium binding protein A12 (calgranulin C)
206026_s_at	Decreased	1.98	0.000035	NM_007115.1	TNFAIP6	tumor necrosis factor, alpha-induced protein 6
203864_s_at	Decreased	2.56	0.00003	AA780381	MAP2K3	mitogen-activated protein kinase kinase 3
215811_at	Increased	4.16	0.001201	M18728.1	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)
211207_s_at	Increased	1.85	0.001201	NM_012118.1	CCRN4L	CCR4 carbon catabolite repression 4-like (S. cerevisiae)
1557828_a_at	Increased	1.78	0.000273	NM_022483.1	FLJ21657	hypothetical protein FLJ21657
213605_s_at	Increased	1.53	0.00225	AL049987.1		Homo sapiens mRNA; cDNA DKFZp564F112 (from clone DKFZp564F112)
1556078_at	Increased	4.57	0.001336	N74662	MRPL43	mitochondrial ribosomal protein L43
208694_at	Increased	1.42	0.002032	U47077.5	PRKDC	protein kinase, DNA-activated, catalytic polypeptide
216595_at	Increased	2.04	0.000692	NM_014626.1	GPR58	G protein-coupled receptor 58
