GWAS region (nearest gene)	SNP	chrom	NCBI location Build 36	ADJ_T2D general P	non-ADJ general P	ADJ_T2D family P	non-ADJ family P	PROBE_ID	cdsm location Build 36	Transcript Symbol
PKN2	rs6698181	chr01	88915893	0.0207	0.027	0.0152	0.0151	ILMN_1701114	89523977	GBP1
VEGFA	rs9472138	chr06	43919740	0.0419	0.0414	0.0019	0.0017	ILMN_1727073	42980879	MEA1
				0.0654	0.0671	0.0157	0.0183	ILMN_1789001	44223795	SLC35B2
				0.1146	0.1164	0.0002	0.0004	ILMN_1717313	44230228	NFKBIE
GCK	rs730497	chr07	44190246	0.0552	0.0614	0.008	0.0075	ILMN_1796900	44477904	NUDCD3
				0.0031	0.002	0.0553	0.0592	ILMN_1804148	44620441	TMED4
CDKN2A	rs10811661	chr09	22124094	2.70E-08	2.27E-08	0.0583	0.0571	ILMN_1664466	21333931	KLHL9
				0.0433	0.043	0.0095	0.0092	ILMN_1744295	21982666	CDKN2A
EXT2	rs11037909	chr11	44212190	0.0326	0.0346	0.0497	0.0452	ILMN_1815051	43348841	API5
				0.0589	0.0587	0.003	0.0029	ILMN_2392274	44628444	CD82
DCD	rs1153188	chr12	53385263	0.0008	0.001	0.0763	0.0671	ILMN_1804642	54576802	SMUG1
