Probeset	Chip	Ratio25-25	Ratio15-15	Ratio10-10	GenBank	Gene	Localization	Description	Function
220989_s_at	U133A	2.2	3	3.3	NM_030943.1	AMN	14q32.3	amnionless homolog (mouse)	Intercellular communication signals
231561_s_at	U133B	1.6	2	2.2	AV653766	APOC2	19q13.2	apolipoprotein C-II	Intercellular communication signals
207395_at	U133A	1.8	2.5	2.6	NM_001732.1	BTN1A1	6p22.1	butyrophilin, subfamily 1, member A1	Intercellular communication signals
217207_s_at	U133A	1.5	1.8	1.9	AK025267.1	BTNL3	5q35	butyrophilin-like 3	Intercellular communication signals
209906_at	U133A	1.8	2.7	2.4	U62027.1	C3AR1	12p13.31	complement component 3a receptor 1	Intercellular communication signals
206983_at	U133A	2.7	3.3	2.2	NM_004367.1	CCR6	6q27	chemokine (C-C motif) receptor 6	Intercellular communication signals
207995_s_at	U133A	1.6	2.1	2.5	NM_014257.1	CD209L	19p13	CD209 antigen-like	Intercellular communication signals
38521_at	U133A	1.6	2.1	2.1	X59350	CD22	19q13.1	CD22 antigen	Intercellular communication signals
207176_s_at	U133A	1.6	1.7	1.8	NM_005191.1	CD80	3q13.3-q21	CD80 antigen (CD28 antigen ligand 1, B7-1 antigen)	Intercellular communication signals
211883_x_at	U133A	1.7	2.3	2.6	M76742.1	CEACAM1	19q13.2	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	Intercellular communication signals
201884_at	U133A	1.7	2.4	2.3	NM_004363.1	CEACAM5	19q13.1-q13.2	carcinoembryonic antigen-related cell adhesion molecule 5	Intercellular communication signals
211657_at	U133A	1.6	1.9	2.3	M18728.1	CEACAM6	19q13.2	carcinoembryonic antigen-related cell adhesion molecule 6	Intercellular communication signals
205328_at	U133A	1.6	2.1	2.1	NM_006984.1	CLDN10	13q31-q34	claudin 10	Intercellular communication signals
217484_at	U133A	1.6	1.8	1.9	X14362.1	CR1	1q32	complement component (3b/4b) receptor 1, including Knops blood group system	Intercellular communication signals
205575_at	U133A	1.8	2.2	2.4	NM_006688.1	CRF	17q21	C1q-related factor	Intercellular communication signals
236724_at	U133B	1.5	2	2.1	AA757630	CRYPTIC	2q21.1	cryptic gene	Intercellular communication signals
204470_at	U133A	1.9	2.1	2.1	NM_001511.1	CXCL1		chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	Intercellular communication signals
208779_x_at	U133A	1.8	2	2.1	L20817.1	DDR1	6p21.3	discoidin domain receptor family, member 1	Intercellular communication signals
200606_at	U133A	2.1	1.7	2.3	NM_004415.1	DSP	6p24	desmoplakin (DPI, DPII)	Intercellular communication signals
204038_s_at	U133A	1.6	1.9	1.8	NM_001401.1	EDG2	9q32	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	Intercellular communication signals
211551_at	U133A	1.9	2.5	3	BC004264.1	EPHB4	7q22	EphB4	Intercellular communication signals
216680_s_at	U133A	1.6	1.8	1.9	NM_004445.1	EPHB6	7q33-q35	EphB6	Intercellular communication signals
204718_at	U133A	1.5	2	1.8	K03193.1	EGFR	7p12	epidermal growth factor receptor	Intercellular communication signals
204358_s_at	U133A	1.9	1.9	2.4	AF169676.1	FLRT2	14q24-q32	fibronectin leucine rich transmembrane protein 2	Intercellular communication signals
202709_at	U133A	1.8	2	2	NM_002023.2	FMOD	1q32	fibromodulin	Intercellular communication signals
564_at	U133A	1.6	1.8	1.8	M69013	GNA11	19p13.3	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)	Intercellular communication signals
205349_at	U133A	1.7	2.2	2.3	NM_002068.1	GNA15	19p13.3	guanine nucleotide binding protein (G protein), alpha 15 (Gq class)	Intercellular communication signals
224964_s_at	U133B	1.6	1.9	3.3	AU118419	GNG2	14q21	guanine nucleotide binding protein (G protein), gamma 2	Intercellular communication signals
205184_at	U133A	1.9	2.3	2.3	NM_004485.1	GNG4	1q42.3	guanine nucleotide binding protein (G protein), gamma 4	Intercellular communication signals
207389_at	U133A	1.7	1.9	2	NM_000173.1	GP1BA	17pter-p12	glycoprotein Ib (platelet), alpha polypeptide	Intercellular communication signals
214558_at	U133A	1.7	1.9	2	NM_005288.1	GPR12	13q12	G protein-coupled receptor 12	Intercellular communication signals
221306_at	U133A	1.8	2.1	2.1	NM_018971.1	GPR27	3p21-p14	G protein-coupled receptor 27	Intercellular communication signals
221394_at	U133A	1.7	2	2.1	NM_014626.1	GPR58	6q24	G protein-coupled receptor 58	Intercellular communication signals
210164_at	U133A	1.8	1.9	4	J03189.1	GZMB	14q11.2	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	Intercellular communication signals
207602_at	U133A	1.6	2	2.2	NM_004262.1	HAT	4q13.2	airway trypsin-like protease	Intercellular communication signals
203932_at	U133A	2.1	2.7	2.4	NM_002118.1	HLA-DMB	6p21.3	major histocompatibility complex, class II, DM beta	Intercellular communication signals
220056_at	U133A	1.7	1.8	1.8	NM_021258.1	IL22RA1	1p36.11	interleukin 22 receptor, alpha 1	Intercellular communication signals
206493_at	U133A	1.8	2.2	2.1	NM_000419.2	ITGA2B	17q21.32	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41B)	Intercellular communication signals
217315_s_at	U133A	1.7	2.1	1.9	AL050220.1	KLK13	19q13.3-q13.4	kallikrein 13	Intercellular communication signals
207509_s_at	U133A	1.6	1.6	1.6	NM_002288.2	LAIR2	19q13.4	leukocyte-associated Ig-like receptor 2	Intercellular communication signals
206309_at	U133A	1.6	2.2	2.1	NM_007015.1	LECT1	13q14-q21	leukocyte cell derived chemotaxin 1	Intercellular communication signals
210731_s_at	U133A	1.7	2.1	2.3	AL136105	LGALS8	1q42-q43	lectin, galactoside-binding, soluble, 8 (galectin 8)	Intercellular communication signals
160020_at	U133A	1.5	1.9	1.9	Z48481	MMP14	14q11-q12	matrix metalloproteinase 14 (membrane-inserted)	Intercellular communication signals
209280_at	U133A	1.6	2	2.1	U58856.1	MRC2	17q23.3	mannose receptor, C type 2	Intercellular communication signals
217054_at	U133A	1.8	2.1	2.5	AF007194.1	MUC3A	7q22	mucin 3A, intestinal	Intercellular communication signals
217117_x_at	U133A	1.7	2	2.1	AF007194.1	MUC3B	7q22	mucin 3B	Intercellular communication signals
207860_at	U133A	2	2.5	2.6	NM_004829.1	NCR1	19q13.42	natural cytotoxicity triggering receptor 1	Intercellular communication signals
217045_x_at	U133A	1.7	2.1	2.4	AL136967	NCR2	6p21.1	natural cytotoxicity triggering receptor 2	Intercellular communication signals
208231_at	U133A	1.7	1.9	2.3	NM_013960.1	NRG1	8p21-p12	neuregulin 1	Intercellular communication signals
214632_at	U133A	1.5	1.8	1.7	AA295257	NRP2	2q34	neuropilin 2	Intercellular communication signals
217033_x_at	U133A	1.7	2.1	2.2	S76475.1	NTRK3	15q25	neurotrophic tyrosine kinase, receptor, type 3	Intercellular communication signals
221402_at	U133A	1.5	1.8	1.8	NM_012360.1	OR1F1	16p13.3	olfactory receptor, family 1, subfamily F, member 1	Intercellular communication signals
221460_at	U133A	1.6	1.8	1.9	NM_012368.1	OR2C1	16p13.3	olfactory receptor, family 2, subfamily C, member 1	Intercellular communication signals
221466_at	U133A	1.5	1.8	1.7	NM_002565.1	P2RY4	Xq13	pyrimidinergic receptor P2Y, G-protein coupled, 4	Intercellular communication signals
215277_at	U133A	1.7	2	2.3	AA481656	PCDH1	5q32-q33	protocadherin 1 (cadherin-like 1)	Intercellular communication signals
208366_at	U133A	1.8	2.1	2.2	NM_014522.1	PCDH11X	Xq21.3	protocadherin 11 X-linked	Intercellular communication signals
216061_x_at	U133A	1.7	1.9	2.1	AK022920.1	PDGFB	22q13.1	platelet-derived growth factor beta polypeptide (simian sarcoma viral oncogene homolog)	Intercellular communication signals
210845_s_at	U133A	1.7	2.1	2.1	U08839.1	PLAUR	19q13	plasminogen activator, urokinase receptor	Intercellular communication signals
203149_at	U133A	1.6	1.8	2.2	NM_002856.1	PVRL2	19q13.2-q13.4	poliovirus receptor-related 2 (herpesvirus entry mediator B)	Intercellular communication signals
220758_s_at	U133A	1.7	2	2.2	NM_019055.1	ROBO4	11q24.2	roundabout homolog 4, magic roundabout (Drosophila)	Intercellular communication signals
217455_s_at	U133A	1.9	2.5	3.3	AF184174	SSTR2	17q24	somatostatin receptor 2	Intercellular communication signals
208048_at	U133A	1.7	2.2	2.6	NM_015727.1	TACR1	2p12	tachykinin receptor 1	Intercellular communication signals
204519_s_at	U133A	1.5	1.9	1.8	NM_015993.1	TM4SF11	16q13	transmembrane 4 superfamily member 11 (plasmolipin)	Intercellular communication signals
207113_s_at	U133A	2.3	3.3	2.6	NM_000594.1	TNF	6p21.3	tumor necrosis factor (TNF superfamily, member 2)	Intercellular communication signals
