Symbol	Description	CL	AAG-AA (U133Av2) FC	AAG-AA (U133Av2) p-value	CAG-CA (U95Av2) FC	CAG-CA (U95Av2) p-value
ABCA8	ATP-binding cassette, sub-family A, member 8	17q24	2.34	0.0291	2.53	9.43E-05
C5orf30	Chromosome 5 open reading frame 30	5q21.1	1.57	0.0028	1.48	0.0042
CASK	Calcium/calmodulin-dependent serine protein kinase	Xp11.4	1.99	0.0064	1.31	0.002
CASP4	Caspase 4, apoptosis-related cysteine peptidase	11q22.2-q22.3	1.59	0.0007	1.9	0.0026
GSTA4	Glutathione S-transferase A4	6p12.1	1.25	0.005	1.85	5.21E-05
GULP1	GULP, engulfment adaptor PTB domain containing 1	2q32.3-q33	1.89	0.0023	1.38	0.0075
HEPH	Hephaestin	Xq11-q12	4.15	0.0021	1.88	0.0021
HOXB2	Homeobox B2	17q21-q22	1.59	0.0133	1.86	0.0014
KCNK2	Potassium channel, subfamily K, member 2	1q41	1.55	0.0489	1.52	0.0024
KIAA1199	KIAA1199	15q24	1.68	0.0152	1.94	0.0026
LMO4	LIM domain only 4	1p22.3	1.7	0.0034	1.83	0.0052
MYH10	Myosin, heavy polypeptide 10, non-muscle	17p13	1.64	0.0012	1.57	0.0017
PYGL	Phosphorylase, glycogen; liver	14q21-q22	1.47	0.0141	2.2	0.0025
RBP1	Retinol binding protein 1, cellular	3q23	2.2	0.0007	2.32	0.00073
SERPING1	Serpin peptidase inhibitor, clade G, member 1	11q12-q13.1	2.3	0.0064	1.86	0.0014
SH3BP5	SH3-domain binding protein 5	3p24.3	1.65	0.0407	2.74	4.87E-05
SLIT2	Slit homolog 2	4p15.2	1.6	0.0077	1.42	0.0027
TINP1	TGF beta-inducible nuclear protein 1	5q13.3	1.53	7.93E-05	1.36	0.0055
