ENSEMBL ID	GENESYMBOL	CYTOBAND	FOLD-CHANGE	P-VALUE
ENSG00000114315	HES1	3q28-q29	5.291316322	7.65E-07
ENSG00000213538		NA	2.648661234	9.86E-06
ENSG00000114529	C3orf52	3q13.2	2.913516875	1.50E-05
ENSG00000107282	APBA1	9q13-q21.1	2.302359841	2.66E-05
ENSG00000179097	HTR1F	3p12	2.531682816	3.47E-05
ENSG00000179094	PER1	17p13.1-p12	2.413934728	5.16E-05
ENSG00000071859	FAM50A	Xq28	2.201413259	5.31E-05
ENSG00000200485		NA	3.03870158	6.14E-05
ENSG00000144834	TAGLN3	3q13.2	2.235893803	6.88E-05
ENSG00000201691		NA	3.069641128	7.41E-05
ENSG00000154102	C16orf74	16q24.1	2.43858625	8.39E-05
ENSG00000180287	PLD5	1q43	9.17247881	0.00010445
ENSG00000185262	FAM100B	17q25.1	2.11207832	0.00013233
ENSG00000201367	U6	NA	8.885101969	0.000133635
ENSG00000207786		NA	3.126839136	0.000142694
ENSG00000100823	APEX1	14q11.2-q12	2.257717534	0.000165442
ENSG00000183684	THOC4	17q25.3	2.865281069	0.000171066
ENSG00000134516	DOCK2	5q35.1	2.330266569	0.000185701
ENSG00000121904	CSMD2	1p35.1-p34.3	2.357983026	0.000203699
ENSG00000151812	SLC35F4	14q22.2	2.563772652	0.000214224
ENSG00000202017	U6	NA	2.772428011	0.00022017
ENSG00000054654	SYNE2	14q23.2	3.110421292	0.000239206
ENSG00000076356	PLXNA2	1q32.2	4.773585611	0.000254489
ENSG00000211740		NA	3.471016765	0.000292718
ENSG00000134824	FADS2	11q12-q13.1	3.436567587	0.000320378
ENSG00000100941	PNN	14q21.1	3.609923672	0.000335133
ENSG00000151136	BTBD11	12q23.3	3.021004501	0.000366156
ENSG00000167723	TRPV3	17p13.3	2.16481939	0.000409864
ENSG00000125351	UPF3B	Xq25-q26	2.030736894	0.00044283
ENSG00000100302	RASD2	22q13.1	4.718145795	0.000466764
ENSG00000166396	SERPINB7	18q21.33	4.066581891	0.000484002
ENSG00000200838	U1	NA	2.607426647	0.000516494
ENSG00000101665	SMAD7	18q21.1	2.1665482	0.000589574
ENSG00000102385	DRP2	Xq22	2.163089461	0.000604112
ENSG00000081059	TCF7	5q31.1	2.050117597	0.00061734
ENSG00000167670	CHAF1A	19p13.3	2.084502834	0.000658641
ENSG00000125848	FLRT3	20p11	3.340166454	0.000667838
ENSG00000125247	TMTC4	13q32.3	2.10314988	0.000671844
ENSG00000208185		NA	3.355136976	0.000675566
ENSG00000147231	CXorf57	Xq22.3	2.174790855	0.000715609
ENSG00000202318		NA	2.662331095	0.000717619
ENSG00000128567	PODXL	7q32-q33	8.147928573	0.000718401
ENSG00000168528	SERINC2	1p35.1	2.690799695	0.000735407
ENSG00000064655	EYA2	20q13.1	2.421103912	0.000744548
ENSG00000209039		NA	3.133568795	0.000763113
ENSG00000149289	ZC3H12C	11q22.3	2.303695443	0.000779789
ENSG00000120217	CD274	9p24	4.373823489	0.000948372
ENSG00000162551	ALPL	1p36.12	-3.094064631	3.33E-05
ENSG00000209702	SNORD41	NA	-4.517073326	6.85E-05
ENSG00000199631	SNORD33	NA	-2.719868057	8.46E-05
ENSG00000011465	DCN	12q21.33	-3.671509501	0.000108966
ENSG00000115380	EFEMP1	2p16	-7.047712143	0.000119945
ENSG00000115109	EPB41L5	2q14.2	-2.75120441	0.000121022
ENSG00000210038		NA	-2.513930908	0.000143413
ENSG00000142156	COL6A1	21q22.3	-2.14341816	0.000184248
ENSG00000138061	CYP1B1	2p21	-8.497990122	0.00021095
ENSG00000092607	TBX15	1p11.1	-2.026928221	0.000280254
ENSG00000112769	LAMA4	6q21	-10.21250585	0.000289877
ENSG00000168967	PMCHL1	NA	-2.525723423	0.000314517
ENSG00000122884	P4HA1	10q21.3-q23.1	-2.566632369	0.000386057
ENSG00000200867	7SK	NA	-2.146510654	0.000386885
ENSG00000214139	NA	NA	-3.162071522	0.000439448
ENSG00000106546	AHR	7p15	-2.909884049	0.000450739
ENSG00000120885	CLU	8p21-p12	-3.237185414	0.000554771
ENSG00000168542	COL3A1	2q31	-3.871430295	0.000692074
ENSG00000172164	SNTB1	8q23-q24	-3.772689409	0.000743015
ENSG00000212667	NA	NA	-8.600029846	0.000922409
ENSG00000113083	LOX	5q23.2	-2.49165329	0.000972717
ENSG00000186019	ZNF224	19q13.2	-2.039647724	0.000982154
ENSG00000134013	LOXL2	8p21.3-p21.2	-3.667897526	0.001018033
