Probeset Id	Gene Name	Adjusted P-value	Fold Change
203923_s_at	cytochrome b-245, beta polypeptide	0.037	-3.149
226219_at	Rho GTPase activating protein 30	0.037	-2.808
242521_at		0.037	-2.311
212041_at	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1	0.037	-2.826
208885_at	lymphocyte cytosolic protein 1 (L-plastin)	0.037	-2.853
209514_s_at	RAB27A, member RAS oncogene family	0.037	-2.136
204118_at	CD48 molecule	0.037	-2.406
215127_s_at	RNA binding motif, single stranded interacting protein 1	0.037	-2.048
207238_s_at	protein tyrosine phosphatase, receptor type, C	0.037	-2.874
208018_s_at	hemopoietic cell kinase	0.037	-2.883
206200_s_at	annexin A11	0.039	-2.159
229101_at	Hypothetical protein LOC150166	0.039	-2.271
221731_x_at	Versican	0.039	-3.978
212429_s_at	general transcription factor IIIC, polypeptide 2, beta 110kDa	0.039	-2.005
201743_at	CD14 molecule	0.039	-3.686
208637_x_at	actinin, alpha 1	0.039	-2.149
203028_s_at	cytochrome b-245, alpha polypeptide	0.039	-2.307
232629_at	prokineticin 2	0.039	-4.181
210140_at	cystatin F (leukocystatin)	0.039	-2.72
202957_at	hematopoietic cell-specific Lyn substrate 1	0.039	-3.099
229295_at	hypothetical protein LOC150166	0.039	-3.633
201040_at	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	0.039	-2.261
209458_x_at	hemoglobin, alpha 1 /// hemoglobin, alpha 2	0.039	-3.788
229770_at	glycosyltransferase 1 domain containing 1	0.039	-2.744
223014_at	ubiquitin-conjugating enzyme E2R 2	0.039	-2.112
203175_at	ras homolog gene family, member G (rho G)	0.039	-3.065
211661_x_at	platelet-activating factor receptor	0.039	-2.088
217763_s_at	RAB31, member RAS oncogene family	0.039	-2.099
204446_s_at	arachidonate 5-lipoxygenase	0.039	-5.796
215706_x_at	Zyxin	0.039	-2.011
238429_at	transmembrane protein 71	0.039	-2.53
202205_at	vasodilator-stimulated phosphoprotein	0.039	-2.166
235964_x_at		0.039	-2.194
209179_s_at	membrane bound O-acyltransferase domain containing 7	0.039	-2.467
213241_at	plexin C1	0.039	-2.939
214414_x_at	hemoglobin, alpha 1 /// hemoglobin, alpha 2	0.039	-4.648
201720_s_at	lysosomal protein transmembrane 5	0.039	-2.971
204018_x_at	hemoglobin, alpha 1 /// hemoglobin, alpha 2	0.039	-3.92
202388_at	regulator of G-protein signaling 2, 24kDa	0.039	-4.028
204620_s_at	Versican	0.039	-3.746
211074_at	folate receptor 1 (adult)	0.039	-2.266
210582_s_at	LIM domain kinase 2	0.039	-2.052
224451_x_at	Rho GTPase activating protein 9	0.039	-4.458
