probe set	Gene	Gene	Accession	EntrezGene	CEF NY72-4P/CEF NY72-4NP	t statistic	P value
Gga.1171.1.S1_at	LY6E	lymphocyte antigen 6 complex, locus E	NM_204775.1	395550	1.72	11.648	0.007273
Gga.3551.1.S1_at	LOC395210	osteopontin	NM_204535.2	395210	1.45	8.79	0.004052
Gga.1132.1.S1_at	ME1	malic enzyme 1, NADP(+)-dependent, cytosolic	NM_204303.1	374189	-1.1	-4.402	0.011787
Gga.759.1.S1_at	IGFBP2	insulin-like growth factor binding protein 2, 36kDa	NM_205359.1	396315	-1.14	-5.037	0.007363
Gga.871.1.S1_at	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	NM_205511.1	396517	1.27	10.613	0.008177
Gga.4168.1.S1_at	SERPINH1	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	NM_205291.1	396228	-1.53	-8.031	0.004731
Gga.1809.1.S1_at	HSPB1	heat shock 27kDa protein 1	NM_205290.1	396227	-1.2	-27.166	0.000088
Gga.3125.1.S2_at	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	NM_205002.1	395852	1.38	9.2	0.000817
Gga.3125.1.S1_at	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	AF049135.1	395852	1.09	13.819	0.000165
Gga.837.1.S1_a_at	NPY	neuropeptide Y	NM_205473.1	396464	-1.95	-20.494	0.001253
Gga.3908.1.S1_at	TAGLN	transgelin	NM_205494.1	396490	-1.31	-9.577	0.000995
Gga.5735.1.S1_at	RFTN1	raftlin, lipid raft linker 1	NM_204458.1	395109	-1.21	-11.7	0.003698
Gga.4051.1.S1_at	CTGF	connective tissue growth factor	NM_204274.1	374135	-1.24	-5.724	0.026847
Gga.2184.1.S1_at		P311 POU	NM_205391.1	396353	-1.09	-20.014	0.000552
Gga.5031.1.S1_s_at	NT5C3	5-nucleotidase, cytosolic III	NM_204436.1	395080	1.36	8.741	0.009077
Gga.817.1.S1_at	PLAU	plasminogen activator, urokinase	NM_205443.1	396424	3.29	23.476	0.000184
Gga.2839.1.S1_at	COL2A1	collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)	NM_204426.1	395069	-1.1	-5.595	0.029855
Gga.2155.1.S1_at	ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	NM_205521.1	396530	1.07	4.468	0.039187
Gga.4916.1.S1_s_at	PDCD4	programmed cell death 4	NM_204304.1	374191	-1.38	-12.004	0.004969
Gga.8515.1.S1_at	LHFPL5	lipoma HMGIC fusion partner-like 5	NM_204398.1	378916	-1.55	-11.997	0.000639
Gga.862.1.S1_at	GJA7	gap junction protein, alpha 7, 45kDa	NM_205503.1	396501	1.07	5.668	0.027889
Gga.3972.1.S1_at	SEMA3D	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	NM_205373.1	396332	-2.06	-16.198	0.000442
Gga.3972.1.S2_at	SEMA3D	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	BU407384	396332	-1.56	-21.514	0.00093
Gga.2476.1.S1_at	HAT1	histone acetyltransferase 1	NM_204207.1	374037	1.03	6.089	0.025217
Gga.3950.1.S1_at	BMP2	bone morphogenetic protein 2	NM_204358.1	378779	1.91	10.07	0.002231
Gga.3950.1.S2_at	BMP2	bone morphogenetic protein 2	BU480603	378779	1.12	13.377	0.001089
Gga.5058.1.S1_s_at	CST3	cystatin C	NM_205500.1	396497	1.12	8.305	0.003719
GgaAffx.21581.1.S1_s_at	CXCL14	chemokine (C-X-C motif) ligand 14	CR523034.1	395451	-1.12	-6.035	0.015571
Gga.3573.2.S1_a_at	DKK3	dickkopf homolog 3 (Xenopus laevis)	CR354079.1	396023	-1.65	-3.839	0.018483
Gga.665.1.S1_at	CSRP2	cysteine and glycine-rich protein 2	NM_205208.1	396128	-1.7	-5.964	0.02483
Gga.2587.1.S1_at	NOV	nephroblastoma overexpressed gene	NM_205268.1	396204	-2.58	-4.502	0.020093
Gga.2582.1.S1_at	TGFBI	transforming growth factor, beta-induced, 68kDa	NM_205036.1	395897	-2.15	-27.324	0.000033
Gga.3745.1.S2_at			BU357254		-1.22	-8.969	0.011662
Gga.3332.1.S1_at	MXRA8	matrix-remodelling associated 8	NM_204636.1	395347	-1.56	-14.317	0.000161
Gga.1819.1.S1_at	DIO2	deiodinase, iodothyronine, type II	NM_204114.1	373903	-2.53	-15.219	0.00016
Gga.2679.1.S1_at	FBLN1	fibulin 1	NM_204165.1	373979	-1.01	-5.174	0.015306
Gga.20.1.S2_at			BU248748		-1.65	-7.196	0.012516
Gga.3060.1.S1_at	BARX2	BarH-like homeobox 2	NM_204896.1	395714	1.03	9.031	0.005956
Gga.1899.1.S1_a_at	NES	nestin	NM_205033.1	395890	1.32	6.446	0.01995
Gga.918.1.S1_at	KCNMB1	potassium large conductance calcium-activated channel, subfamily M, beta member 1	AF077369.1	395301	-1.88	-13.829	0.000912
Gga.8508.1.S2_s_at	RCJMB04_35e14	Src-like-adaptor	BU463693	378908	-1.02	-3.614	0.030876
Gga.2098.1.S1_at	MMP16	matrix metallopeptidase 16 (membrane-inserted)	NM_205197.1	396116	-1.16	-3.112	0.038014
Gga.329.1.S1_at	HAS2	hyaluronan synthase 2	NM_204806.1	395594	2.06	6.465	0.00446
Gga.10763.1.S1_at	SLC6A4	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	NM_213572.1	404747	2.22	37.124	0.000509
Gga.3973.1.S1_at	LOC395491	cTwist	NM_204739.1	395491	1.02	5.821	0.004348
Gga.385.1.S1_at	DUSP4	dual specificity phosphatase 4	NM_204838.1	395642	1.55	5.114	0.007293
Gga.892.1.S1_at	ID1	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	NM_204590.1	395282	2.3	17.442	0.000063
Gga.666.1.S1_a_at	VIP	vasoactive intestinal peptide	NM_205366.1	396323	3.06	13.471	0.000851
GgaAffx.20784.1.S1_at	WWC3	WWC family member 3	CR524137.1	418649	1.05	7.447	0.017431
GgaAffx.11293.1.S1_s_at	WWC3	WWC family member 3	ENSGALT00000026810.1	418649	1.15	4.177	0.037691
Gga.4724.1.S2_at	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	CK607301	374163	-1.61	-10.523	0.003979
Gga.4129.1.S1_at	CCNA2	cyclin A2	NM_205244.1	396172	1.09	13.905	0.002697
Gga.4091.1.S2_a_at	MYLK	myosin, light chain kinase	NM_205459.1	396445	-1.91	-11.501	0.004875
Gga.4965.1.S1_a_at	COL12A1	collagen, type XII, alpha 1	D00824.1	395875	-1.27	-8.091	0.007504
Gga.4965.1.S1_at	COL12A1	collagen, type XII, alpha 1	D00824.1	395875	-1.01	-9.751	0.008699
Gga.13515.1.S1_at	RCJMB04_11a8	lamin B receptor	NM_205342.1	396285	1.34	11.338	0.001654
Gga.2967.1.S1_at	ITGA6	integrin, alpha 6	NM_205289.1	396226	1.71	18.201	0.000093
Gga.2967.1.S2_at	ITGA6	integrin, alpha 6	BU139443	396226	1.69	13.562	0.00173
Gga.3316.1.S1_s_at	HHEX	hematopoietically expressed homeobox	NM_205252.1	396182	1.22	6.229	0.024579
Gga.1784.1.S1_at	ITGA8	integrin, alpha 8	NM_205288.1	396225	-1.88	-9.599	0.006632
Gga.1784.1.S2_at	ITGA8	integrin, alpha 8	BU392003	396225	-2.31	-9.37	0.004561
Gga.2769.1.S1_at	IL6	interleukin 6 (interferon, beta 2)	NM_204628.1	395337	-1.09	-8.806	0.002145
Gga.712.1.S1_at	LOC396216	mature cMGF	NM_205279.1	396216	1.08	15.701	0.000096
GgaAffx.21822.1.S1_s_at	THBS2	thrombospondin 2	NM_001001755.1	414837	-2.15	-9.142	0.011647
GgaAffx.21844.1.S1_s_at	CDH2	cadherin 2, type 1, N-cadherin (neuronal)	NM_001001615.1	414745	1.14	3.707	0.026878
GgaAffx.20104.1.S1_s_at	POSTN	periostin, osteoblast specific factor	AY657005.1	395429	-2.08	-6.946	0.00356
GgaAffx.20739.1.S1_at			CR523876.1		-1.43	-12.616	0.004183
GgaAffx.21171.1.S1_s_at	BTG2	BTG family, member 2	CR523444.1	419932	-1.05	-17.772	0.000132
GgaAffx.21206.1.S1_s_at		Finished cDNA, clone ChEST690k14	CR523409.1	0	1.04	16.873	0.000367
GgaAffx.20419.1.S1_at		Finished cDNA, clone ChEST761a8	CR524196.1	0	1.01	4.463	0.02973
GgaAffx.20459.1.S1_at	LOC421377	hypothetical LOC421377	CR524156.1	421377	1.45	3.825	0.035694
GgaAffx.21342.1.S1_at		Finished cDNA, clone ChEST609n12	CR523273.1	0	-1.02	-12.737	0.000221
GgaAffx.20689.1.S1_at	SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	CR523926.1	395879	2.51	7.254	0.017461
GgaAffx.20829.1.S1_at		Finished cDNA, clone ChEST559j8	CR523786.1	0	-1.03	-8.417	0.004697
GgaAffx.21011.1.S1_at		Finished cDNA, clone ChEST331j10	CR523604.1	0	-1.45	-6.305	0.004484
GgaAffx.20308.1.S1_at		Finished cDNA, clone ChEST814a15	CR524307.1	0	1.03	3.26	0.039078
GgaAffx.20849.1.S1_at	LOC417139	Similar to pancreatitis-induced protein 49	CR523766.1	417139	1.02	3.382	0.042455
GgaAffx.21046.1.S1_at	RCJMB04_5d7	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)	CR523569.1	417565	1.23	11.487	0.000439
Gga.11702.2.S1_s_at	SDAD1	SDA1 domain containing 1	BX930307.1	422642	1.29	4.25	0.014906
GgaAffx.21089.1.S1_s_at	LMO7	LIM domain 7	CR523526.1	418815	-1.68	-6.567	0.008527
Gga.826.1.S1_s_at	IL8	interleukin 8	M16199.1	396495	2.89	12.588	0.001532
GgaAffx.20732.1.S1_s_at		Finished cDNA, clone ChEST945f5	CR523883.1	0	-1.35	-7.754	0.001761
GgaAffx.21357.1.S1_at		Finished cDNA, clone ChEST964j17	CR523258.1	0	-1.25	-12.227	0.000582
GgaAffx.21413.1.S1_s_at		Finished cDNA, clone ChEST629c13	CR523202.1	0	-2.06	-16.642	0.002698
GgaAffx.21792.1.S1_s_at	SCX	class II bHLH protein scleraxis	NM_204253.1	374101	-1.36	-6.877	0.009654
