Probe ID	Gene Symbol	mu1	mu2	sigma	EM Low	EM High	MS Low	MS High	2-tailed p-value
204712_at	WIF1	3.39202	9.813963	0.706245	13	6	227	6	< 0.0001
205278_at	GAD1	3.367256	8.834884	0.655206	13	7	225	5	< 0.0001
229554_at		5.197654	8.114646	0.71973	20	0	146	99	< 0.0001
218469_at	GREM1	3.849319	7.588578	0.896164	20	0	152	90	0.0003
218468_s_at	GREM1	3.591101	7.15389	0.810209	20	0	157	82	0.0006
1555778_a_at	POSTN	4.750116	9.511336	1.202197	16	4	107	139	0.0019
206439_at	EPYC	3.642079	8.525885	1.034331	18	1	149	93	0.0023
204913_s_at	SOX11	3.804496	8.292664	1.019005	19	0	169	69	0.0025
203980_at	FABP4	4.16114	9.930265	1.006271	19	0	165	66	0.0047
229271_x_at	COL11A1	3.002156	6.143855	0.595722	20	0	167	63	0.0051
209644_x_at	CDKN2A	6.900257	9.711157	0.688614	13	7	78	166	0.0056
207039_at	CDKN2A	4.679138	8.04951	0.830128	13	7	80	165	0.0061
229479_at		3.823951	7.632194	0.767332	18	2	143	92	0.0078
238877_at	EYA4	4.857591	8.492361	0.93379	17	3	133	113	0.0086
221690_s_at	NLRP2	4.874242	8.577236	0.666395	15	5	103	134	0.0089
204915_s_at	SOX11	4.68271	8.463908	0.776869	20	0	181	48	0.0169
203824_at	TSPAN8	4.373541	8.727002	1.131876	5	15	133	113	0.0181
219564_at	KCNJ16	3.840843	7.457538	0.751221	19	1	165	66	0.0185
227566_at	NTM	4.525595	7.934914	0.890182	16	4	130	116	0.02
214571_at	FGF3	4.228916	7.51927	0.345643	15	3	229	7	0.0263
220179_at	DPEP3	4.564373	8.813631	0.617544	20	0	185	45	0.0294
232056_at	SCEL	3.265607	6.041533	0.589144	19	1	174	66	0.0307
229331_at	SPATA18	3.881399	7.405706	0.637456	14	6	207	28	0.0347
215108_x_at	TOX3	3.121095	6.997836	0.628813	14	6	202	29	0.0426
214651_s_at	HOXA9	3.481195	8.15796	0.856942	14	6	203	30	0.0468
