Symbol	Synonym(s)	Entrez Gene Name	Affymetrix
APP	A beta 25–35,A-BETA 40,A-BETA 42,AAA,ABETA,ABPP,AD1,Adap,AL024401,AMYLOID BETA,AMYLOID BETA 40,AMYLOID BETA 40 HUMAN,AMYLOID BETA 42,Amyloid beta A4,AMYLOID BETA PEPTIDE 40,Amyloid precursor,Amyloidogenic glycoprotein,App alpha,APPI,appican,BETAAPP,CTFgamma,CVAP,E030013M08RIK,Nexin II,P3,PN2,PreA4,PROTEASE NEXIN2	amyloid beta (A4) precursor protein	214953_s_at
CCDC28A	1700009P13Rik,AI480677,C6ORF80,CCRL1AP,DKFZP586D0623,MGC116395,MGC131913,MGC19351,RGD1310326	coiled-coil domain containing 28A	209479_at
CEACAM1	bb-1,BGP,BGP1,BGPA,Bgpd,BGPI,BGPR,C-CAM,C-CAM1,CCAM105,CD66,CD66A,Cea-1,Cea-7,CEACAM1-4L,ECTO ATPASE,HV2,mCEA1,Mhv-1,MHVR,MHVR1,mmCGM1,mmCGM1a,mmCGM2,Pp120	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	211883_x_at
CHRNB4	Acrb-4,NACHR BETA4	cholinergic receptor, nicotinic, beta 4	207516_at
CXCL9	BB139920,CMK,crg-10,Humig,MGC105312,MIG,SCYB9	chemokine (C-X-C motif) ligand 9	203915_at
EIF1	A121,EIF1A,ISO1,MGC101938,MGC6503,SUI1,SUI1-RS1	eukaryotic translation initiation factor 1	212130_x_at
EMP1	CL-20,ENP1MR,EPITHELIAL MEMBRANE PROTEIN 1,MGC93627,TMP	epithelial membrane protein 1	201325_s_at
EPOR	EP-R,ERYTHROPOIETIN RECEPTOR,MGC108723,MGC138358	erythropoietin receptor	215054_at
ETV5	1110005E01Rik,8430401F14Rik,ERM	ets variant 5	203349_s_at
FBLN1	FBLN,FIBULIN 1	fibulin 1	207834_at
FBXL7	AL023057,D230018M15Rik,FBL6,FBL7,FBP7,MGC102204	F-box and leucine-rich repeat protein 7	213249_at
GHR	AA986417,GHBP,GHR/BP,GROWTH HORMONE RECEPTOR,MGC124963,MGC156665	growth hormone receptor	205498_at
GPC3	DGSX,Glypican 3,GTR2-2,MGC93606,OCI-5,SDYS,SGB,SGBS,SGBS1	glypican 3	209220_at
GPS2	AI505953,AMF-1,MGC104294,MGC119287,MGC119288,MGC119289	G protein pathway suppressor 2	209350_s_at
IGF2BP3	2610101N11Rik,AA522010,Ab2-255,AL022933,AU045931,DKFZp686F1078,IMP-3,KOC1,Koc13,mimp3,Neilsen,RGD1306512,VICKZ3	insulin-like growth factor 2 mRNA binding protein 3	203820_s_at
ING4	D6Wsu147e,D6Xrf92,MGC12557,MGC156688,my036,p29ING4,p33ING1 ISOLOG	inhibitor of growth family, member 4	218234_at
ITGB4	AA407042,C230078O20,CD104,INTEGRIN-BETA 4	integrin, beta 4	204989_s_at
KLF5	4930520J07Rik,BTEB2,CKLF,IKLF,Kruppel-like factor 5,mBTEB2	Kruppel-like factor 5 (intestinal)	209211_at
MFAP3L	4933428A15RIK,5430405D20Rik,AI461995,AW125052,KIAA0626,mKIAA0626,NYD-sp9	microfibrillar-associated protein 3-like	210493_s_at
NCOR1	5730405M06RIK,A230020K14RIK,hCIT529I10,hN-CoR,KIAA1047,MGC104216,MGC116328,mKIAA1047,N-COR,RIP13,Rxrip13,TRAC1	nuclear receptor co-repressor 1	200854_at
PA2G4	38kDa,AA672939,EBP1,HG4-1,Itaf45,MGC94070,p38-2G4,Plfap,PROLIFERATION ASSOCIATED 2G4,Proliveration-associated protein 1	proliferation-associated 2G4, 38kDa	214794_at
PCNA	MGC8367,Pcna/cyclin,PCNAR	proliferating cell nuclear antigen	217400_at
PLD1	AA536939,C85393,Pc-Plc,Phospholipase D1,PLD1A,PLD1B,Plda,Pldb	phospholipase D1, phosphatidylcholine-specific	215723_s_at
RPL13A	1810026N22Rik,23-KD HIGHLY BASIC,MGC107571,Ribol13a,Ribosomal protein l13a,Tstap198-7,tum-antigen	ribosomal protein L13a	211942_x_at
SCGB1D2	BU101,LIPB,LIPOPHILIN B,LPHB	secretoglobin, family 1D, member 2	206799_at
SEL1L	AW493766,IBD2,KIAA4137,mKIAA4137,PRO1063,SEL1,SEL1-LIKE,SEL1H	sel-1 suppressor of lin-12-like (C. elegans)	202063_s_at
SERPINA6	AI265318,AV104445,CBG,MGC112780	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6	206325_at
SMA4	b55C20.2,FLJ36702,MGC22265,MGC60382,SMA3	glucuronidase, beta pseudogene	214850_at
SMC4	2500002A22Rik,C79747,CAP-C,DKFZP434F205,HCAP-C,MGC125078,SMC4L1	structural maintenance of chromosomes 4	215623_x_at
SOS1	9630010N06,AI449023,GF1,GGF1,GINGF,HGF,MSOS1,NS4,Sos	son of sevenless homolog 1 (Drosophila)	212780_at
TNFRSF11A	CD265,FEO,LOH18CR1,Ly109,MGC112793,mRANK,ODAR,ODFR,OFE,OPGL receptor,OPTB7,OSTS,PDB2,RANK,RGD1563614,TRANCE-R	tumor necrosis factor receptor superfamily, member 11a, NFKB activator	207037_at
TNFSF12	APO3L,DR3L,DR3LG,MGC129581,MGC20669,TWEAK	tumor necrosis factor (ligand) superfamily, member 12	205611_at
TRPV6	ABP/ZF,Cac,CAT,CAT-L,CAT1,Crac,ECAC2,HSA277909,LP6728,Otrpc3,ZFAB	transient receptor potential cation channel, subfamily V, member 6	206827_s_at
USP7	2210010O09Rik,AA409944,AA617399,AU019296,AW548146,C80752,HAUSP,TEF1	ubiquitin specific peptidase 7 (herpes virus-associated)	222032_s_at
