Affy ID	Gene Symbol	Gene Name	p	P	Correlation
209946_at	VEGFC	Vascular endothelial growth factor C	0.5817	2.08E-06	Positive
218717_s_at	LEPREL1	Leprecan-like 1	0.5763	2.72E-06	Positive
218088_s_at	RRAGC	Ras-related GTP binding C	0.575	2.89E-06	Positive
204140_at	TPST1	Tyrosylprotein sulfotransferase 1	0.5549	7.48E-06	Positive
226656_at	CRTAP	Cartilage-associated protein	0.5501	9.31E-06	Positive
235086_at	THBS1	Thrombospondin 1	0.546	1.12E-05	Positive
212464_s_at	FN1	Fibronectin 1	0.5428	1.29E-05	Positive
220092_s_at	ANTXR1	Hypothetical protein FLJ10601	0.5425	1.30E-05	Positive
201426_s_at	VIM	Vimentin	0.5377	1.61E-05	Positive
202859_x_at	IL8	Interleukin 8	0.5349	1.82E-05	Positive
201172_x_at	ATP6V0E	ATPase, H+ transporting, lysosomal 9 kDa, V0 subunit E	0.5341	1.88E-05	Positive
211719_x_at	FN1	Fibronectin 1	0.5331	1.96E-05	Positive
210495_x_at	FN1	Fibronectin 1	0.533	1.97E-05	Positive
201828_x_at	CXX1	CAAX BOX 1	0.5306	2.18E-05	Positive
201380_at	CRTAP	Cartilage-associated protein	0.5301	2.22E-05	Positive
237444_at		Unknown	0.5288	2.36E-05	Positive
205743_at	STAC	SH3 and cysteine-rich domain	0.5265	2.60E-05	Positive
201105_at	LGALS1	Lectin, galactoside-binding, soluble, 1 (galectin 1)	0.5257	2.67E-05	Positive
200096_s_at	ATP6V0E	ATPase, H+ transporting, lysosomal 9 kDa, V0 subunit E	0.5257	2.68E-05	Positive
204214_s_at	RAB32	RAB32, member ras oncogene family	0.5248	2.78E-05	Positive
200885_at	RHOC	Ras homolog gene family, member C	0.5242	2.85E-05	Positive
231907_at	ABL2	V-abl Abelson murine leukemia viral oncogene homolog 2 (ARG, Abelson-related gene)	0.5225	3.05E-05	Positive
226955_at	FLJ36748	Hypothetical protein FLJ36748	0.5195	3.46E-05	Positive
216442_x_at	FN1	Fibronectin 1	0.5172	3.79E-05	Positive
212509_s_at	MXRA7	FLJ46603 protein	0.5144	4.26E-05	Positive
222834_s_at	GNG12	Guanine nucleotide binding protein (G protein), gamma 12	0.513	4.50E-05	Positive
224560_at	TIMP2	TIMP metallopeptidase inhibitor 2	0.5127	4.56E-05	Positive
211612_s_at	IL13RA1	Interleukin 13 receptor, alpha 1	0.5114	4.80E-05	Positive
226939_at	CPEB2	Cytoplasmic polyadenylation element binding protein 2	0.511	4.88E-05	Positive
202378_s_at	LEPROT	Leptin receptor overlapping transcript	0.5107	4.93E-05	Positive
235072_s_at		Unknown	0.5104	4.99E-05	Positive
209226_s_at	TNPO1	Transportin 1	0.5086	5.36E-05	Positive
202733_at	P4HA2	Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II	0.5083	5.43E-05	Positive
220407_s_at	TGFB2	Transforming growth factor, beta 2	0.5074	5.62E-05	Positive
212294_at	GNG12	Guanine nucleotide binding protein (G protein), gamma 12	0.5073	5.64E-05	Positive
202377_at	LEPR	Leptin receptor	0.5064	5.85E-05	Positive
209278_s_at	TFPI2	Tissue factor pathway inhibitor 2	0.5056	6.02E-05	Positive
201887_at	IL13RA1	Interleukin 13 receptor, alpha 1	0.5048	6.23E-05	Positive
209225_x_at	TNPO1	Transportin 1	0.5047	6.23E-05	Positive
208924_at	RNF11	Ring finger protein 11	0.5044	6.31E-05	Positive
212658_at	LHFPL2	Lipoma HMGIC fusion partner-like 2	0.5044	6.31E-05	Positive
213696_s_at	MED8	Mediator of RNA polymerase II transcription, subunit 8 homolog (yeast)	0.5043	6.33E-05	Positive
229465_s_at	PTPRD	Protein tyrosine phosphatase, receptor type, D	0.5043	6.34E-05	Positive
203262_s_at	FAM50A	Family with sequence similarity 50, member A	0.5037	6.48E-05	Positive
209013_x_at	TRIO	Triple functional domain (PTPRF interacting)	0.5034	6.56E-05	Positive
207657_x_at	TNPO1	Transportin 1	0.5026	6.78E-05	Positive
231579_s_at	TIMP2	TIMP metallopeptidase inhibitor 2	0.5013	7.12E-05	Positive
200998_s_at	CKAP4	Cytoskeleton-associated protein 4	0.5009	7.22E-05	Positive
229307_at	ANKRD28	Ankyrin repeat domain 28	0.5001	7.45E-05	Positive
226893_at	ABL2	V-abl Abelson murine leukemia viral oncogene homolog 2 (ARG, Abelson-related gene)	0.5	7.48E-05	Positive
226148_at	BTBD15	BTB (POZ) domain containing 15	-0.6236	2.20E-07	Negative
212316_at	NUP210	Nucleoporin 210 kDa	-0.604	6.56E-07	Negative
224784_at	MLLT6	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6	-0.5733	3.15E-06	Negative
200069_at	SART3	Squamous cell carcinoma antigen recognized by T cells 3	-0.5686	3.94E-06	Negative
212315_s_at	NUP210	Nucleoporin 210 kDa	-0.5666	4.35E-06	Negative
226482_s_at	F11R	F11 receptor	-0.562	5.38E-06	Negative
206687_s_at	PTPN6	Protein tyrosine phosphatase, non-receptor type 6	-0.5518	8.60E-06	Negative
213947_s_at	NUP210	Nucleoporin 210 kDa	-0.5473	1.06E-05	Negative
212482_at	FLJ13910	Hypothetical protein FLJ13910	-0.5423	1.32E-05	Negative
227134_at	SYTL1	Synaptotagmin-like 1	-0.5405	1.42E-05	Negative
204142_at	ENOSF1	Enolase superfamily member 1	-0.5376	1.62E-05	Negative
224428_s_at	CDCA7	Cell division cycle-associated 7	-0.5354	1.78E-05	Negative
201969_at	NASP	Nuclear autoantigenic sperm protein (histone-binding)	-0.5354	1.78E-05	Negative
225887_at		Chromosome 13 open reading frame 23	-0.5305	2.19E-05	Negative
218491_s_at	THYN1	Thymocyte nuclear protein 1	-0.53	2.24E-05	Negative
227560_at	SFXN2	Sideroflexin 2	-0.5288	2.35E-05	Negative
204798_at	MYB	V-myb myeloblastosis viral oncogene homolog (avian)	-0.525	2.76E-05	Negative
212978_at	LRRC8B	Leucine-rich repeat containing 8 family, member B	-0.5218	3.15E-05	Negative
212446_s_at	LASS6	LAG1 longevity assurance homolog 6 (Saccharomyces cerevisiae)	-0.5215	3.18E-05	Negative
202107_s_at	MCM2	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	-0.5202	3.36E-05	Negative
212873_at	HMHA1	Histocompatibility (minor) HA-1	-0.5197	3.43E-05	Negative
227378_x_at	MGC13114	Hypothetical protein MGC13114	-0.5192	3.49E-05	Negative
213149_at	DLAT	Dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	-0.5189	3.55E-05	Negative
227586_at	LOC124491	LOC124491	-0.5188	3.55E-05	Negative
204767_s_at	FEN1	Flap structure-specific endonuclease 1	-0.517	3.83E-05	Negative
201038_s_at	ANP32A	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	-0.5166	3.90E-05	Negative
208901_s_at	TOP1	Topoisomerase (DNA) I	-0.5163	3.94E-05	Negative
219378_at	NARG1L	NMDA receptor-regulated 1-like	-0.5155	4.07E-05	Negative
225179_at	HIP2	Huntingtin interacting protein 2	-0.5151	4.13E-05	Negative
225716_at	BRI3BP	BRI3 binding protein	-0.5139	4.34E-05	Negative
217980_s_at	MRPL16	Mitochondrial ribosomal protein L16	-0.5125	4.59E-05	Negative
225845_at	BTBD15	BTB (POZ) domain containing 15	-0.5116	4.75E-05	Negative
213251_at	LOC441046	Hypothetical LOC 441046	-0.5101	5.04E-05	Negative
220035_at	NUP210	Nucleoporin 210 kDa	-0.5091	5.26E-05	Negative
223268_at	C11ORF54	Chromosome 11 open reading frame 54	-0.5091	5.26E-05	Negative
210206_s_at	DDX11	Dead/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)	-0.5079	5.52E-05	Negative
202778_s_at	ZNF198	Zinc finger protein 198	-0.5058	5.99E-05	Negative
201202_at	PCNA	Proliferating cell nuclear antigen	-0.5053	6.09E-05	Negative
212943_at	KIAA0528	KIAA0528	-0.5048	6.21E-05	Negative
219067_s_at	C10ORF86	Chromosome 10 open reading frame 86	-0.5044	6.31E-05	Negative
219188_s_at	LRP16	LRP16 protein	-0.502	6.94E-05	Negative
201401_s_at	ADRBK1	Adrenergic, beta, receptor kinase 1	-0.5014	7.10E-05	Negative
203375_s_at	TPP2	Tripeptidyl peptidase II	-0.4994	7.65E-05	Negative
200091_s_at	RPS25	Ribosomal protein S25	-0.4992	7.72E-05	Negative
224944_at	TMPO	Thymopoietin	-0.4982	8.01E-05	Negative
228992_at	MED28	Mediator of RNA polymerase II transcription, subunit 28 homolog (yeast)	-0.497	8.39E-05	Negative
213626_at	CBR4	Carbonic reductase 4	-0.4966	8.54E-05	Negative
231887_s_at	KIAA1274	KIAA1274	-0.4926	9.91E-05	Negative
202163_s_at	CNOT8	CCR4-NOT transcription complex, subunit 8	-0.4906	1.07E-04	Negative
202163_s_at	CNOT8	CCR4-NOT transcription complex, subunit 8	-0.4906	1.07E-04	Negative
