Description	UG cluster	Gene symbol	Parametric P value	Ratio M/B
Recombination activating gene 2	Hs.159376	RAG2	1.32E-05	0.41
Citrate lyase ?-like, transcript variant 1	Hs.130690	CLYBL	1.43E-05	0.44
Nebulin	Hs.588655	NEB	0.0002811	0.53
Tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	Hs.81791	TNFRSF11B	4.50E-06	0.54
Guanine nucleotide binding protein (G protein), ? inhibiting activity polypeptide 1	Hs.134587	GNAI1	4.33E-05	0.55
Angiotensin II receptor, type 1, transcript variant 5	Hs.477887	AGTR1	4.28E-05	0.56
Hepatic leukemia factor	Hs.196952	HLF	1.40E-06	0.57
Solute carrier family 26, member 4	Hs.571246	SLC26A4	1.00E-07	0.58
Metallothionein 1A (functional)	Hs.643532	MT1A	0.0004668	0.59
Fatty acid binding protein 4, adipocyte	Hs.391561	FABP4	4.38E-05	0.6
Low density lipoprotein-related protein 1B (deleted in tumors)	Hs.470117	LRP1B	0.0003571	0.6
Solute carrier family 4, sodium bicarbonate cotransporter, member 4	Hs.5462	SLC4A4	0.0002522	0.61
PREDICTED: similar to programmed cell death 6 interacting protein, transcript variant 2	Hs.597835	LOC646278	0.0001965	0.61
Mannosidase, a, class 1C, member 1	Hs.197043	MAN1C1	9.46E-05	0.61
Kv channel interacting protein 3, calsenilin, transcript variant 2	Hs.437376	KCNIP3	1.12E-05	0.62
DnaJ (Hsp40) homologue, subfamily B, member 9	Hs.6790	DNAJB9	5.10E-06	0.62
Ubiquitin protein ligase E3 component n-recognin 1	Hs.591121	UBR1	0.000166	0.62
Hydroxysteroid (17-?) dehydrogenase 6	Hs.524513	HSD17B6	0.0002557	0.62
Solute carrier family 33 (acetyl-CoA transporter), member 1	Hs.478031	SLC33A1	2.49E-05	0.63
Cadherin 16, KSP-cadherin	Hs.513660	CDH16	0.0007068	0.63
TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1	Hs.176503	TBC1D1	8.00E-07	0.63
Solute carrier family 26, member 7, transcript variant 1	Hs.354013	SLC26A7	2.18E-05	0.63
Chromosome 11 open reading frame 74	Hs.406726	C11orf74	1.40E-06	0.63
Phospholipase A2 receptor 1, 180 kDa	Hs.410477	PLA2R1	0.0001771	0.64
Pituitary tumor-transforming 3 on chromosome 8.		PTTG3	5.00E-07	0.64
EGF-containing fibulin-like extracellular matrix protein 1, transcript variant 3	Hs.76224	EFEMP1	1.17E-05	0.64
Zinc finger, matrin type 4	Hs.591850	ZMAT4	7.03E-05	0.64
STEAP family member 3	Hs.642719	STEAP3	0.0002097	0.64
Deiodinase, iodothyronine, type I, transcript variant 4	Hs.251415	DIO1	0.0007362	0.64
v-Kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homologue	Hs.479754	KIT	8.16E-05	0.65
Thyroid peroxidase, transcript variant 5	Hs.467554	TPO	9.70E-06	0.65
Pituitary tumor-transforming 1	Hs.350966	PTTG1	6.00E-07	0.65
Leucine-rich repeat LGI family, member 3	Hs.33470	LGI3	4.00E-05	0.65
Transmembrane protein 38B	Hs.411925	TMEM38B	0.0001833	0.65
SLIT and NTRK-like family, member 4	Hs.272284	SLITRK4	7.75E-05	0.65
Von Hippel-Lindau binding protein 1	Hs.436803	VBP1	7.04E-05	0.65
Collagen, type IX, ? 3	Hs.126248	COL9A3	0.0009987	0.65
Insulin receptor substrate 1	Hs.471508	IRS1	6.00E-06	0.66
START domain containing 13, transcript variant ?	Hs.507704	STARD13	0.0001052	0.66
PREDICTED: similar to glycine cleavage system H protein, mitochondrial precursor, variant 1		LOC654085	9.60E-06	0.66
Ribosomal protein S3A	Hs.356572	RPS3A	0.0004627	0.66
SPARC-like 1 (mast9, hevin)	Hs.62886	SPARCL1	7.61E-05	0.66
