Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Primary Sequence Name_new anno	Accession _new anno	Gene Name	GO Annotation	ADME or ADME-related	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)	Corresponding Mouse gene is sex-biased	Corresponding Rat gene is sex-biased
A_24_P52597	chr10:104590302-104590361	CYP17A1	NM_000102	Cytochrome P450, family 17, subfamily A, polypeptide 1	molecular function|electron carrier activity|IEA|GO:0009055|GOA|na//molecular function|heme binding|IEA|GO:0020037|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|monooxygenase activity|IEA|GO:0004497|GOA|na//molecular function|oxygen binding|TAS|GO:0019825|GOA|2808364//molecular function|steroid 17-alpha-monooxygenase activity|EXP|GO:0004508|GOA|10406467//biological process|glucocorticoid biosynthetic process|IEA|GO:0006704|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|response to toxin|IEA|GO:0009636|GOA|na//biological process|sex differentiation|TAS|GO:0007548|GOA|9326943//biological process|steroid biosynthetic process|EXP|GO:0006694|GOA|15583024//cellular component|axon|IEA|GO:0030424|GOA|na//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|EXP|GO:0005789|GOA|10406467//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|mitochondrion|IEA|GO:0005739|GOA|na//cellular component|neuronal cell body|IEA|GO:0043025|GOA|na	ADME	F	16	0.784	-1.2755	4.8628E-15	261.4294	204.2796	1	1
A_24_P736006	chr1:171168486-171168545	FMO2	NM_001460	Flavin containing monooxygenase 2 (non-functional)	molecular function|FAD binding|IEA|GO:0050660|GOA|na//molecular function|NADP or NADPH binding|IEA|GO:0050661|GOA|na//molecular function|flavin-containing monooxygenase activity|IDA|GO:0004499|GOA|11744609//molecular function|monooxygenase activity|EXP|GO:0004497|GOA|11744609//biological process|NADP metabolic process|IDA|GO:0006739|GOA|11744609//biological process|drug metabolic process|IDA|GO:0017144|GOA|11744609//biological process|organic acid metabolic process|IDA|GO:0006082|GOA|11744609//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|oxygen and reactive oxygen species metabolic process|IEA|GO:0006800|GOA|na//biological process|toxin metabolic process|IDA|GO:0009404|GOA|11744609//biological process|xenobiotic metabolic process|IDA|GO:0006805|GOA|11744609//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|EXP|GO:0005789|GOA|11744609//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|intrinsic to endoplasmic reticulum membrane|IEA|GO:0031227|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|microsome|IDA|GO:0005792|GOA|11744609	ADME	F	15	0.6671	-1.499	2.2864E-09	42.4317	27.805	1	1
A_23_P146198	chr8:59403414-59403473	CYP7A1	NM_000780	Cytochrome P450, family 7, subfamily A, polypeptide 1	molecular function|cholesterol 7-alpha-monooxygenase activity|EXP|GO:0008123|GOA|2384150//molecular function|cholesterol 7-alpha-monooxygenase activity|ISS|GO:0008123|GOA|na//molecular function|electron carrier activity|IEA|GO:0009055|GOA|na//molecular function|heme binding|IEA|GO:0020037|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|monooxygenase activity|IEA|GO:0004497|GOA|na//biological process|bile acid biosynthetic process|IDA|GO:0006699|GOA|19965590//biological process|bile acid biosynthetic process|ISS|GO:0006699|GOA|na//biological process|cellular response to cholesterol|ISS|GO:0071397|GOA|na//biological process|cellular response to glucose stimulus|IDA|GO:0071333|GOA|19965590//biological process|cholesterol catabolic process|ISS|GO:0006707|GOA|na//biological process|cholesterol homeostasis|ISS|GO:0042632|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|regulation of bile acid biosynthetic process|IDA|GO:0070857|GOA|19965590//biological process|regulation of bile acid biosynthetic process|ISS|GO:0070857|GOA|na//biological process|steroid metabolic process|IEA|GO:0008202|GOA|na//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|EXP|GO:0005789|GOA|2384150//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|microsome|ISS|GO:0005792|GOA|na	ADME	F	14	0.7179	-1.3929	0.000098919	1789.001	1270.5597	1	1
A_23_P206113	chr15:75043624-75044138	CYP1A2	NM_000761	Cytochrome P450, family 1, subfamily A, polypeptide 2	molecular function|aromatase activity|IEA|GO:0070330|GOA|na//molecular function|caffeine oxidase activity|IDA|GO:0034875|GOA|18619574//molecular function|demethylase activity|IDA|GO:0032451|GOA|2813353//molecular function|electron carrier activity|TAS|GO:0009055|GOA|2813353//molecular function|enzyme binding|IPI|GO:0019899|GOA|15680923//molecular function|heme binding|IDA|GO:0020037|GOA|17311915//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|monooxygenase activity|IDA|GO:0004497|GOA|ARRAY(0x1561744)//molecular function|oxidoreductase activity|IDA|GO:0016491|GOA|ARRAY(0xfb3aa4)//molecular function|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen|IMP|GO:0016712|GOA|2813353//molecular function|oxygen binding|EXP|GO:0019825|GOA|8553685//biological process|alkaloid metabolic process|IDA|GO:0009820|GOA|11511187//biological process|cellular aromatic compound metabolic process|IEA|GO:0006725|GOA|na//biological process|cellular respiration|IEA|GO:0045333|GOA|na//biological process|dibenzo-p-dioxin metabolic process|IEA|GO:0018894|GOA|na//biological process|drug catabolic process|IMP|GO:0042737|GOA|18356043//biological process|drug metabolic process|IDA|GO:0017144|GOA|ARRAY(0xb08924)//biological process|exogenous drug catabolic process|IDA|GO:0042738|GOA|18619574//biological process|heterocycle metabolic process|IDA|GO:0046483|GOA|15327587//biological process|hydrogen peroxide biosynthetic process|IEA|GO:0050665|GOA|na//biological process|lung development|IEA|GO:0030324|GOA|na//biological process|monocarboxylic acid metabolic process|IDA|GO:0032787|GOA|19651758//biological process|monoterpenoid metabolic process|IDA|GO:0016098|GOA|16401082//biological process|oxidation reduction|IDA|GO:0055114|GOA|ARRAY(0x19dcf14)//biological process|oxidative demethylation|IDA|GO:0070989|GOA|18619574//biological process|porphyrin metabolic process|IEA|GO:0006778|GOA|na//biological process|post-embryonic development|IEA|GO:0009791|GOA|na//biological process|regulation of gene expression|IEA|GO:0010468|GOA|na//biological process|steroid catabolic process|IMP|GO:0006706|GOA|18356043//biological process|toxin biosynthetic process|IDA|GO:0009403|GOA|11511187//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|EXP|GO:0005789|GOA|8553685//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|microsome|IDA|GO:0005792|GOA|ARRAY(0x12e5370)	ADME	F	14	0.85388621	-1.1711	0.0018	3246.1978	2770.5159	1	1
A_24_P923353	chr6:24535617-24535676	ALDH5A1	NM_170740	Aldehyde dehydrogenase 5 family, member A1	molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|protein homodimerization activity|IC|GO:0042803|GOA|16199352//molecular function|succinate-semialdehyde dehydrogenase activity|IDA|GO:0004777|GOA|9683595//molecular function|succinate-semialdehyde dehydrogenase activity|ISS|GO:0004777|GOA|7814412//biological process|acetate metabolic process|ISS|GO:0006083|GOA|na//biological process|central nervous system development|IMP|GO:0007417|GOA|9683595//biological process|galactosylceramide metabolic process|ISS|GO:0006681|GOA|na//biological process|gamma-aminobutyric acid catabolic process|IDA|GO:0009450|GOA|9683595//biological process|gamma-aminobutyric acid catabolic process|IMP|GO:0009450|GOA|15037717//biological process|glucose metabolic process|ISS|GO:0006006|GOA|na//biological process|glutamate metabolic process|ISS|GO:0006536|GOA|na//biological process|glutamine metabolic process|ISS|GO:0006541|GOA|na//biological process|glutathione metabolic process|ISS|GO:0006749|GOA|na//biological process|glycerophospholipid metabolic process|ISS|GO:0006650|GOA|na//biological process|neurotransmitter catabolic process|ISS|GO:0042135|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|protein homotetramerization|IDA|GO:0051289|GOA|16199352//biological process|respiratory electron transport chain|ISS|GO:0022904|GOA|na//biological process|short-chain fatty acid metabolic process|ISS|GO:0046459|GOA|na//biological process|succinate metabolic process|ISS|GO:0006105|GOA|na//cellular component|mitochondrion|ISS|GO:0005739|GOA|na//cellular component|soluble fraction|IDA|GO:0005625|GOA|16199352	ADME	F	14	0.8622	-1.1598	2.1279E-06	2580.7979	2218.3975	1	1
A_23_P82523	chr7:87135313-87135359	ABCB1	NM_000927	ATP-binding cassette, sub-family B (MDR/TAP), member 1	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|ATPase activity|IEA|GO:0016887|GOA|na//molecular function|ATPase activity, coupled to transmembrane movement of substances|TAS|GO:0042626|GOA|3022150//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17088979//molecular function|transporter activity|TAS|GO:0005215|GOA|3022150//molecular function|xenobiotic-transporting ATPase activity|IEA|GO:0008559|GOA|na//biological process|response to drug|TAS|GO:0042493|GOA|3022150//biological process|transmembrane transport|IEA|GO:0055085|GOA|na//biological process|transport|TAS|GO:0006810|GOA|3022150//cellular component|cell surface|IDA|GO:0009986|GOA|12493773//cellular component|focal adhesion|IDA|GO:0005925|GOA|18029348//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane fraction|TAS|GO:0005624|GOA|3022150//cellular component|nucleus|IDA|GO:0005634|GOA|18029348//cellular component|plasma membrane|IDA|GO:0005886|GOA|18029348	ADME	M	15	1.2304	1.2304	6.6415E-14	3351.9297	4137.4727	1	1
A_24_P331560	chrX:7271727-7271786	STS	NM_000351	Steroid sulfatase (microsomal), isozyme S	molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|steryl-sulfatase activity|IEA|GO:0004773|GOA|na//molecular function|sulfuric ester hydrolase activity|IDA|GO:0008484|GOA|15962010//biological process|epidermis development|TAS|GO:0008544|GOA|9252398//biological process|female pregnancy|IEA|GO:0007565|GOA|na//biological process|learning or memory|IEA|GO:0007611|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|positive regulation of cell proliferation|IEA|GO:0008284|GOA|na//biological process|response to estrogen stimulus|IEA|GO:0043627|GOA|na//biological process|response to organic cyclic substance|IEA|GO:0014070|GOA|na//biological process|response to pH|IEA|GO:0009268|GOA|na//biological process|response to peptide hormone stimulus|IEA|GO:0043434|GOA|na//biological process|skin development|IEA|GO:0043588|GOA|na//biological process|steroid catabolic process|TAS|GO:0006706|GOA|6957717//cellular component|Golgi apparatus|TAS|GO:0005794|GOA|2668275//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|IEA|GO:0005789|GOA|na//cellular component|endosome|TAS|GO:0005768|GOA|2668275//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|integral to membrane of membrane fraction|IEA|GO:0000299|GOA|na//cellular component|lysosome|TAS|GO:0005764|GOA|2668275//cellular component|membrane fraction|TAS|GO:0005624|GOA|2668275//cellular component|microsome|TAS|GO:0005792|GOA|6957717//cellular component|nuclear envelope|IEA|GO:0005635|GOA|na//cellular component|plasma membrane|TAS|GO:0005886|GOA|2668275	ADME related	F	16	0.6523	-1.5331	0	394.6025	256.6819	1	1
A_32_P69802	chr12:21418442-21418501	SLCO1A2	NM_134431	Solute carrier organic anion transporter family, member 1A2	molecular function|bile acid transmembrane transporter activity|EXP|GO:0015125|GOA|7557095//molecular function|organic anion transmembrane transporter activity|TAS|GO:0008514|GOA|9007731//molecular function|transporter activity|IEA|GO:0005215|GOA|na//biological process|ion transport|IEA|GO:0006811|GOA|na//biological process|organic anion transport|TAS|GO:0015711|GOA|9007731//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|plasma membrane|EXP|GO:0005886|GOA|7557095	ADME	F	16	0.7121	-1.4044	0.0001	155.3275	104.8286	1	0
A_32_P332320	chr12:117648139-117648198	NOS1	BC010126	Nitric oxide synthase 1 (neuronal)	molecular function|FAD binding|ISS|GO:0050660|GOA|na//molecular function|FMN binding|ISS|GO:0010181|GOA|na//molecular function|NADP or NADPH binding|ISS|GO:0050661|GOA|na//molecular function|arginine binding|TAS|GO:0034618|GOA|17029414//molecular function|cadmium ion binding|ISS|GO:0046870|GOA|na//molecular function|calmodulin binding|IEA|GO:0005516|GOA|na//molecular function|heme binding|ISS|GO:0020037|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nitric-oxide synthase activity|ISS|GO:0004517|GOA|7545544//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|11149895//molecular function|tetrahydrobiopterin binding|NAS|GO:0034617|GOA|7488039//biological process|arginine catabolic process|IC|GO:0006527|GOA|7545544//biological process|multicellular organismal response to stress|IMP|GO:0033555|GOA|18391107//biological process|myoblast fusion|TAS|GO:0007520|GOA|7545544//biological process|negative regulation of calcium ion transport into cytosol|TAS|GO:0010523|GOA|17568574//biological process|neurotransmitter biosynthetic process|TAS|GO:0042136|GOA|7545544//biological process|nitric oxide biosynthetic process|ISS|GO:0006809|GOA|7545544//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|positive regulation of vasodilation|IDA|GO:0045909|GOA|18048451//biological process|positive regulation of vasodilation|IMP|GO:0045909|GOA|18391107//biological process|regulation of cardiac muscle contraction|TAS|GO:0055117|GOA|9892689//biological process|response to heat|IDA|GO:0009408|GOA|18048451//biological process|response to hypoxia|IEP|GO:0001666|GOA|16276418//cellular component|cell projection|IEA|GO:0042995|GOA|na//cellular component|cytoplasm|TAS|GO:0005737|GOA|17892502//cellular component|cytoskeleton|ISS|GO:0005856|GOA|7545544//cellular component|dendritic spine|IEA|GO:0043197|GOA|na//cellular component|perinuclear region of cytoplasm|ISS|GO:0048471|GOA|17027776//cellular component|photoreceptor inner segment|ISS|GO:0001917|GOA|17027776//cellular component|sarcolemma|IDA|GO:0042383|GOA|7545544//cellular component|sarcoplasmic reticulum|IDA|GO:0016529|GOA|9892689	ADME	F	16	0.7959	-1.2564	0.0004	13.8727	11.061	1	0
A_24_P389251	chr7:99355787-99355846	CYP3A4	NM_017460	Cytochrome P450, family 3, subfamily A, polypeptide 4	molecular function|albendazole monooxygenase activity|IEA|GO:0047638|GOA|na//molecular function|caffeine oxidase activity|IDA|GO:0034875|GOA|18619574//molecular function|electron carrier activity|IEA|GO:0009055|GOA|na//molecular function|enzyme binding|IPI|GO:0019899|GOA|15680923//molecular function|heme binding|IEA|GO:0020037|GOA|na//molecular function|iron ion binding|IDA|GO:0005506|GOA|15256616//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|monooxygenase activity|IDA|GO:0004497|GOA|15327587//molecular function|monooxygenase activity|ISS|GO:0004497|GOA|na//molecular function|oxidoreductase activity|IDA|GO:0016491|GOA|ARRAY(0xe44364)//molecular function|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen|IEA|GO:0016712|GOA|na//molecular function|oxygen binding|EXP|GO:0019825|GOA|15365656//molecular function|quinine 3-monooxygenase activity|IEA|GO:0050591|GOA|na//molecular function|steroid binding|IDA|GO:0005496|GOA|15256616//molecular function|steroid hydroxylase activity|IMP|GO:0008395|GOA|18356043//molecular function|taurochenodeoxycholate 6alpha-hydroxylase activity|IEA|GO:0033780|GOA|na//molecular function|testosterone 6-beta-hydroxylase activity|IMP|GO:0050649|GOA|3259858//molecular function|vitamin D 24-hydroxylase activity|IDA|GO:0070576|GOA|15546903//molecular function|vitamin D3 25-hydroxylase activity|IDA|GO:0030343|GOA|15546903//biological process|alkaloid catabolic process|IDA|GO:0009822|GOA|15039299//biological process|androgen metabolic process|TAS|GO:0008209|GOA|19651758//biological process|drug catabolic process|IDA|GO:0042737|GOA|15039299//biological process|drug catabolic process|IMP|GO:0042737|GOA|18356043//biological process|drug metabolic process|IDA|GO:0017144|GOA|ARRAY(0x1562bac)//biological process|exogenous drug catabolic process|IDA|GO:0042738|GOA|18619574//biological process|heterocycle metabolic process|IDA|GO:0046483|GOA|15327587//biological process|lipid metabolic process|TAS|GO:0006629|GOA|2492107//biological process|monoterpenoid metabolic process|IDA|GO:0016098|GOA|16401082//biological process|oxidation reduction|IDA|GO:0055114|GOA|ARRAY(0xf4bd7c)//biological process|oxidative demethylation|IDA|GO:0070989|GOA|ARRAY(0xb75b1c)//biological process|steroid catabolic process|IMP|GO:0006706|GOA|18356043//biological process|steroid metabolic process|IMP|GO:0008202|GOA|3259858//biological process|vitamin D metabolic process|IC|GO:0042359|GOA|15546903//cellular component|cell surface|IDA|GO:0009986|GOA|12493773//cellular component|cytoplasm|IDA|GO:0005737|GOA|18446064//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|EXP|GO:0005789|GOA|15365656//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|microsome|IDA|GO:0005792|GOA|ARRAY(0x1a81df4)	ADME	F	14	0.7748	-1.2907	1.902E-08	100981.8125	78340.3203	1	0
