Probeset ID	Gene	Description	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value (%)
AGI_MM_OLIGO_A_51_P392950	Sostdc1	sclerostin domain containing 1	9.22583256	7.723333333	0.837142153	198.80683	0.148059224
AGI_MM_OLIGO_A_51_P326826	Mela	melanoma antigen	6.904977644	5.116666667	0.74101133	36.65099	0.148059224
AGI_MM_OLIGO_A_51_P145453	Xist	inactive X specific transcripts	5.238794942	4.11	0.784531566	17.03168	0.148059224
AGI_MM_OLIGO_A_51_P511927	Slc47a1	Slc47a1 solute carrier family 47, member 1	3.792667753	3.476666667	0.916681052	10.26582	0.148059224
AGI_MM_OLIGO_A_51_P202033	Gpr177	G protein-coupled receptor 177	6.639556689	3.196666667	0.481457847	9.2113	0.148059224
AGI_MM_OLIGO_A_51_P379268	C130053K05Rik	RIKEN cDNA C130053K05 gene	4.958530086	3.113333333	0.627874245	8.53923	0.148059224
AGI_MM_OLIGO_A_51_P345775	Slc2a12	solute carrier family 2 (facilitated glucose transporter), member 12	5.148327317	3.04	0.590483047	8.3884	0.148059224
AGI_MM_OLIGO_A_51_P284665	Plcb1	phospholipase C, beta 1	3.545735135	2.83	0.798141963	7.49899	0.148059224
AGI_MM_OLIGO_A_51_P493234	Cp	ceruloplasmin	4.749462568	2.803333333	0.590242221	7.00864	0.148059224
AGI_MM_OLIGO_A_51_P484158	Steap1	six transmembrane epithelial antigen of the prostate 1	2.286810016	2.56	1.119463349	6.86179	0.203884833
AGI_MM_OLIGO_A_51_P126702	Ddit4l	DNA-damage-inducible transcript 4-like	2.769323393	2.526666667	0.912376891	6.41547	0.148059224
AGI_MM_OLIGO_A_51_P290921	Sytl2	synaptotagmin-like 2	2.292450526	2.446666667	1.067271306	6.18574	0.203884833
AGI_MM_OLIGO_A_51_P461665	Cxcl9	chemokine (C-X-C motif) ligand 9	1.635261449	2.21	1.351465847	6.09792	1.166338306
AGI_MM_OLIGO_A_51_P326191	Serpina3g	serine (or cysteine) peptidase inhibitor, clade A, member 3G	1.394897509	2.393333333	1.715777194	6.06346	3.336956959
AGI_MM_OLIGO_A_51_P408932	Ssbp2	single-stranded DNA binding protein 2	2.981303308	2.65	0.888872995	5.95625	0.148059224
AGI_MM_OLIGO_A_51_P333839	Pdgfc	platelet-derived growth factor, C polypeptide	3.02164271	2.49	0.824055072	5.67793	0.148059224
AGI_MM_OLIGO_A_51_P340255	Nbea	neurobeachin	5.3611868	2.493333333	0.465071154	5.64782	0.148059224
AGI_MM_OLIGO_A_51_P240614	Tm4sf1	transmembrane 4 superfamily member 1	2.982877428	2.513333333	0.842586862	5.64069	0.148059224
AGI_MM_OLIGO_A_51_P303160	Arg1	arginase 1, liver	2.735807304	2.506666667	0.916243868	5.54451	0.148059224
AGI_MM_OLIGO_A_51_P229325	Smyd3	SET and MYND domain containing 3	3.029877786	2.506666667	0.827316098	5.5445	0.148059224
AGI_MM_OLIGO_A_51_P516125			4.128458392	2.466666667	0.597478873	5.44987	0.148059224
AGI_MM_OLIGO_A_51_P186476	Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	2.166605184	2.273333333	1.049260544	5.37516	0.344106022
AGI_MM_OLIGO_A_51_P208922	Stc2	stanniocalcin 2	1.522556418	2.133333333	1.401152238	5.36372	1.605443519
AGI_MM_OLIGO_A_51_P207601	Aqp5	aquaporin 5	2.614878935	2.523333333	0.964990501	5.28278	0.148059224
AGI_MM_OLIGO_A_51_P184261	Rdh10	retinol dehydrogenase 10 (all-trans)	4.016263934	2.32	0.577651279	5.0618	0.148059224
AGI_MM_OLIGO_A_51_P215077	Mgst3	microsomal glutathione S-transferase 3	2.294633395	2.366666667	1.031392061	5.05917	0.203884833
AGI_MM_OLIGO_A_51_P444283	Slamf8	SLAM family member 8	1.367794497	2.053333333	1.501200171	4.99916	3.336956959
AGI_MM_OLIGO_A_51_P463912	Odz1	odd Oz/ten-m homolog 1 (Drosophila)	3.337732132	2.32	0.695082741	4.94827	0.148059224
