Functional classification	Gene description	Gene symbol	Fold Change	Gen Bank ID
Immune Response	CD45 antigen isoform 3 Fragment	CD45	38.62459	AK230523
Immune Response	Sus scrofa antibacterial protein	PMAP-23	21.70289	EW419136
Immune Response	Sus scrofa peptide antibiotic PR39	PR39	13.50724	NM_214450
Immune Response	Sus scrofa chemokine ligand 26-like mRNA	CCL26	8.645769	NM_001078665
Immune Response	Sus scrofa protegrin 4 NPG4, mRNA	NPG4	8.237142	NM_213863
Immune Response	Sus scrofa immunoglobulin kappa variable group	IGKV	6.440473	CB286369
Immune Response	Sus scrofa 2’-5’-oligoadenylate synthetase-like mRNA	OASL	5.803129	NM_001031790
Immune Response	Interferon-stimulated gene 20 kDa protein	ISG20	5.414398	NM_001005351.2
Immune Response	Sus scrofa chemokine C-X-C motif ligand 10 mRNA	CXCL10	5.329808	NM_001008691
Immune Response	Rep: IL-1 receptor 2-Bos taurus Bovine, partial 98%	IL1R2	5.321422	NM_001046210.1
Immune Response	Sus scrofa MHC class II histocompatibility antigen	SLA-DQA1	5.232868	AK230483
Immune Response	Sus scrofa cathepsin L1-like	CTSL1	4.814094	AK230898
Immune Response	Sus scrofa interferon regulatory factor 3 (IRF3), mRNA	IRF3	4.320395	NM_213770
Immune Response	Sus scrofa Fc fragment of IgG, low affinity IIb, receptor, mRNA	FCGR2B	3.622257	NM_001033013
Immune Response	Sus scrofa CD14 molecule, mRNA	CD14	3.544918	NM_001097445
Immune Response	Sus scrofa interferon stimulated gene 15 mRNA	ISG15	3.45	EU584557.1
Immune Response	Sus scrofa IgG heavy chain LOC396781, mRNA	IgG	3.438582	NM_213828
Immune Response	Sus scrofa interferon-induced protein with tetratricopeptide repeats 1	IFI56	3.386147	XM_001928724
Immune Response	Sus scrofa inducible T-cell co-stimulator ICOS, mRNA	ICOS	3.353116	NM_001044546
Immune Response	Sus scrofa interferon regulatory factor 7 IRF7, mRNA	IRF7	3.249327	NM_001097428
Immune Response	Sus scrofa myxovirus influenza virus resistance 1, interferon-inducible protein p78 MX1, mRNA	MX1	3.237013	NM_214061
Immune Response	Sus scrofa MHC class I antigen	SLA-2	3.187732	AK231553
Immune Response	Sus scrofa cytotoxic T-lymphocyte-associated protein 4 CTLA4, mRNA	CTLA4	3.184663	NM_214149
Immune Response	Sus scrofa DEAD Asp-Glu-Ala-Asp box polypeptide 58 DDX58, mRNA	DDX58	3.122048	NM_213804
Immune Response	Rep:Tumor necrosis factor receptor superfamily member 17-Homo sapiens	TNFRSF17	3.071191	NM_001192.2
Immune Response	Sus scrofa CD8a molecule CD8A, mRNA	CD8A	2.834259	NM_001001907
Immune Response	Similar to melanoma cell adhesion molecule	CD146	-2.819245	BX915975
Immune Response	similar to guanylate binding protein 4	GBP4	2.780124	AK239735
Immune Response	Sus scrofa guanylate binding protein 1, interferon-inducible, 67 kDa GBP1, mRNA	GBP1	2.765026	NM_001128473
Immune Response	Sus scrofa ubiquitin specific peptidase 18, mRNA	USP18	2.732302	NM_213826
Immune Response	Sus scrofa interferon-induced protein with tetratricopeptide repeats 2 mRNA	IFI54	2.729199	AK230663
Immune Response	mast cell immunoreceptor signal transducer-like	CLNK	2.704822	AK237804
Immune Response	Rep:CD274 molecule CD274, mRNA-Homo sapiens	CD274	2.648947	EW655654
Immune Response	Sus scrofa CD163 molecule CD163, mRNA	CD163	2.633336	NM_213976
Immune Response	Sus scrofa interferon-induced protein 44 mRNA	IFI44	2.629777	AK233687
Immune Response	Sus scrofa interleukin 12A natural killer cell stimulatory factor 1, IL12A, mRNA	IL12A	2.580563	NM_213993
Immune Response	Sus scrofa guanylate binding protein 2, interferon-inducible GBP2, mRNA	GBP2	2.561492	NM_001128474
Immune Response	Sus scrofa interferon-induced protein with tetratricopeptide repeats 3, mRNA	IFI60	2.465327	XM_001928703
Immune Response	Sus scrofa interferon-induced transmembrane protein 1	IFITM1	2.407903	AK237820
Immune Response	Sus scrofa chemokine C-C motif receptor 5, mRNA	CCR5	2.374719	NM_001001618
Immune Response	Sus scrofa chemokine C-C motif receptor 10, mRNA	CCR10	2.36215	NM_001044563
Immune Response	Sus scrofa chemokine C-C motif ligand 28, mRNA	CCL28	2.330211	NM_001024695
Immune Response	Sus scrofa chemokine C-X-C motif ligand 9 mRNA	CXCL9	2.312722	BP169836
Immune Response	Sus scrofa transporter 1, ATP-binding cassette, sub-family B MDR/TAP TAP1, mRNA	TAP1	2.15635	NM_001044581
Immune Response	Sus scrofa Fas ligand TNF superfamily, member 6, mRNA	FAS	2.098484	NM_213806
Immune Response	Sus scrofa immunoglobulin-associated alpha CD79A, mRNA	CD79A	2.086904	NM_001135962
Immune Response	Sus scrofa interferon induced with helicase C domain 1 IFIH1, mRNA	IFIH1	2.075703	NM_001100194
Immune Response	Sus scrofa aquaporin 9, mRNA	AQP9	2.067154	NM_001112684
Immune Response	Sus scrofa tumor necrosis factor superfamily member 18 mRNA, partial cds	TNFSF18	2.065184	DQ995649
Immune Response	Sus scrofa 2’-5’-oligoadenylate synthetase 2, 69/71kDa OAS2, mRNA	OAS2	2.054377	NM_001031796
Immune Response	similar to cystatin F	CST7	2.042642	CJ009409
Immune Response	Sus scrofa Ig gamma 2b chain constant region	IGG2B	2.017483	AK237225
Immune Response	Sus scrofa CD86 molecule CD86, mRNA	CD86	2.007655	NM_214222
Immune Response	Sus scrofa vitronectin VTN, mRNA	VTN	-2.006228	NM_214104
Immune Response	Sus scrofa chemokine ligand 26-like protein LOC780409, mRNA	CCL26	8.645769	NM_001078665
Immune Response	Sus scrofa Toll-like receptor 3	TLR3	7.331916	NM_001097444.1
Immune Response	Sus scrofa chemokine C-X-C motif ligand 10, mRNA	CXCL10	5.329808	NM_001008691
Immune Response	Sus scrofa selectin L (SELL), mRNA	SELL	4.497706	NM_001112678
