EntrezID	Symbol	Description	Location	Type	EnsemblID	log2 | Resting Teff RPKM	log2 | Activated Teff RPKM	log2 | Resting Treg RPKM	log2 | Activated Treg RPKM	LR rest | CD25 vs CD4	LR act | CD25 vs CD4	LR CD4 | act vs rest	LR CD25 | act vs rest
29968	PSAT1	phosphoserine aminotransferase 1	Cytoplasm	enzyme	ENSG00000135069	0	6.965220634	1.780331851	8.566914802	1.780331851	1.601694168	6.965220634	6.78658295
6319	SCD	stearoyl-CoA desaturase (delta-9-desaturase)	Cytoplasm	enzyme	ENSG00000099194	0	5.08121665	0	6.327622936	0	1.246406287	5.08121665	6.327622936
1396	CRIP1	cysteine-rich protein 1 (intestinal)	Cytoplasm	other	ENSG00000213145	6.286619457	1.971151693	5.863838045	0	-0.422781412	-1.971151693	-4.315467765	-5.863838045
1960	EGR3	early growth response 3	Nucleus	transcription regulator	ENSG00000179388	0	4.700180338	0	5.854918716	0	1.154738378	4.700180338	5.854918716
10100	TSPAN2	tetraspanin 2	unknown	other	ENSG00000134198	5.0378637	0	5.682060665	0	0.644196965	0	-5.0378637	-5.682060665
1154	CISH	cytokine inducible SH2-containing protein	Cytoplasm	other	ENSG00000114737	0.634343433	5.98948541	0.527360944	6.20657077	-0.106982488	0.217085361	5.355141977	5.679209826
1718	DHCR24	24-dehydrocholesterol reductase	Cytoplasm	enzyme	ENSG00000116133	0	5.145789413	0	5.598009649	0	0.452220237	5.145789413	5.598009649
1959	EGR2	early growth response 2	Nucleus	transcription regulator	ENSG00000122877	0.155899846	4.471749791	0.668572576	6.151837557	0.51267273	1.680087766	4.315849946	5.483264981
2615	LRRC32	leucine rich repeat containing 32	Plasma Membrane	other	ENSG00000137507	0	1.036452757	0	5.244830145	0	4.208377388	1.036452757	5.244830145
57326	PBXIP1	pre-B-cell leukemia homeobox interacting protein 1	Nucleus	transcription regulator	ENSG00000163346	7.417324999	4.544837087	7.354819265	2.140923601	-0.062505734	-2.403913487	-2.872487912	-5.213895664
10365	KLF2	Kruppel-like factor 2 (lung)	Nucleus	transcription regulator	ENSG00000127528	6.685850614	4.805155084	6.327732268	1.130663823	-0.358118346	-3.674491261	-1.88069553	-5.197068445
3627	CXCL10	chemokine (C-X-C motif) ligand 10	Extracellular Space	cytokine	ENSG00000169245	0	6.400900523	0	5.160962772	0	-1.239937752	6.400900523	5.160962772
1397	CRIP2	cysteine-rich protein 2	Plasma Membrane	other	ENSG00000182809	5.784820672	0.134886333	5.043610695	0	-0.741209977	-0.134886333	-5.649934339	-5.043610695
10235	RASGRP2	RAS guanyl releasing protein 2 (calcium and DAG-regulated)	Cytoplasm	other	ENSG00000068831	5.691066616	2.986756182	5.036734396	0	-0.65433222	-2.986756182	-2.704310434	-5.036734396
360	AQP3	aquaporin 3 (Gill blood group)	Plasma Membrane	transporter	ENSG00000165272	5.855282766	3.814804192	5.792862946	0.759275128	-0.06241982	-3.055529063	-2.040478575	-5.033587818
7453	WARS	tryptophanyl-tRNA synthetase	Cytoplasm	enzyme	ENSG00000140105	4.201878862	7.620407585	4.264326538	9.233253907	0.062447677	1.612846322	3.418528723	4.968927368
2043	EPHA4	EPH receptor A4	Plasma Membrane	kinase	ENSG00000116106	5.607010135	3.010445182	4.918102856	0	-0.688907279	-3.010445182	-2.596564953	-4.918102856
51440	HPCAL4	hippocalcin like 4	unknown	other	ENSG00000116983	6.277807974	3.131045678	5.951252724	1.093604156	-0.32655525	-2.037441521	-3.146762296	-4.857648568
10608	MXD4	MAX dimerization protein 4	Nucleus	transcription regulator	ENSG00000123933	5.292987978	1.73179076	4.795217896	0	-0.497770082	-1.73179076	-3.561197218	-4.795217896
3662	IRF4	interferon regulatory factor 4	Nucleus	transcription regulator	ENSG00000137265	3.939405522	7.820346823	3.549260426	8.326279295	-0.390145096	0.505932472	3.880941301	4.777018869
79094	CHAC1	ChaC, cation transport regulator homolog 1 (E. coli)	unknown	other	ENSG00000128965	0	2.619354877	0	4.740330268	0	2.120975391	2.619354877	4.740330268
9619	ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1	Plasma Membrane	transporter	ENSG00000160179	5.31445533	0	4.724944287	0	-0.589511043	0	-5.31445533	-4.724944287
1958	EGR1	early growth response 1	Nucleus	transcription regulator	ENSG00000120738	0	2.723422517	0	4.697791074	0	1.974368557	2.723422517	4.697791074
91663	MYADM	myeloid-associated differentiation marker	Nucleus	other	ENSG00000179820	7.627723754	2.321254868	6.586927944	2.012847692	-1.04079581	-0.308407176	-5.306468886	-4.574080252
54923	LIME1	Lck interacting transmembrane adaptor 1	Extracellular Space	other	ENSG00000203896	5.190558767	1.29409691	4.559223084	0	-0.631335684	-1.29409691	-3.896461857	-4.559223084
3458	IFNG	interferon, gamma	Extracellular Space	cytokine	ENSG00000111537	0	4.469917012	0	4.470656542	0	0.000739531	4.469917012	4.470656542
301	ANXA1	annexin A1	Plasma Membrane	other	ENSG00000135046	10.29819215	7.73263216	10.23413265	5.791616647	-0.064059498	-1.941015513	-2.56555999	-4.442516005
50616	IL22	interleukin 22	Extracellular Space	cytokine	ENSG00000127318	0	3.406202294	0	4.439961508	0	1.033759214	3.406202294	4.439961508
6772	STAT1	signal transducer and activator of transcription 1, 91kDa	Nucleus	transcription regulator	ENSG00000115415	4.955509981	10.25793253	5.342826823	9.776001471	0.387316842	-0.481931057	5.302422546	4.433174648
10797	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	Cytoplasm	enzyme	ENSG00000065911	4.378120076	7.353499453	4.843139014	9.194308558	0.465018938	1.840809104	2.975379377	4.351169544
2633	GBP1	guanylate binding protein 1, interferon-inducible, 67kDa	Cytoplasm	enzyme	ENSG00000117228	3.872394127	9.259472517	4.529120769	8.805836609	0.656726642	-0.453635908	5.38707839	4.276715839
5831	PYCR1	pyrroline-5-carboxylate reductase 1	unknown	enzyme	ENSG00000183010	0	2.414462795	0	4.252135295	0	1.8376725	2.414462795	4.252135295
