Currated Gene Symbol	Gene	RP	Anova	Fold change	Protein name
CSTF3	CSTF3	x	x	0.46	Cleavage stimulation factor, 3? pre-RNA, subunit 3
CELF1	CUGBP1	x	x	0.55	CUG triplet repeat, RNA binding protein 1
SRSF10	FUSIP1	x		0.62	FUS interacting protein (serine/arginine-rich) 1
HNRNPA1	hnRNP A		x	0.86	Heterogeneous nuclear ribonucleoprotein A1 (A)
HNRNPA2B1	hnRNP A2B1	x	x	0.64	Heterogeneous nuclear ribonucleoprotein A2/B1
HNRNPH1	hnRNP H	x		0.71	Heterogeneous nuclear ribonucleoprotein H1 (H)
HNRNPH3	hnRNP H3	x	x	0.72	Heterogeneous nuclear ribonucleoprotein H3 (2H9)
SYNCRIP	hnRNP Q	x	x	0.63	Heterogeneous nuclear ribonucleoprotein Q, SYNCRIP
MBNL1	MBNL1	x		0.54	Muscleblind-like (Drosophila)
NCBP1	NCBP1	x	x	0.67	Nuclear cap binding protein subunit 1
PLRG1	PLRG1		x	0.82	Pleiotropic regulator 1 (PRL1 homolog, Arabidopsis)
PPIG	PPIG	x		0.64	Peptidylprolyl isomerase G (cyclophilin G)
PTBP2	PTBP2		x	0.85	Polypyrimidine tract binding protein 2
RP9	RP9	x		0.64	Retinitis pigmentosa 9 (autosomal dominant)
SFRS1	SFRS1	x		0.66	Splicing factor, arginine/serine-rich 1 (splicing factor 2), ASF/SF2
SFRS3	SFRS3	x	x	0.67	Splicing factor, arginine/serine-rich 3, SRP20
SFRS7	SFRS7	x	x	0.56	Splicing factor, arginine/serine-rich 7, 9G8
SCAF4	SFRS15	x		0.66	Splicing factor, arginine/serine-rich 15
SNRPA	SNRPA	x	x	0.62	Small nuclear ribonucleoprotein polypeptide A
SNRPA1	SNRPA1	x	x	0.52	Small nuclear ribonucleoprotein polypeptide A?
SNRPB	SNRPB	x	x	0.7	Small nuclear ribonucleoprotein polypeptides B and B1
TRA2A	TRA2A	x		1.24	Transformer-2 alpha
U2AF1	U2AF35	x		0.67	U2 small nuclear RNA auxiliary factor 1, U2AF1
DDX39B	UAP56	x	x	0.69	U2AF65-associated protein 1, 56-kDa, BAT1
WBP11	WBP11	x		0.55	WW domain binding protein 11
