Genes switched on by TNF-· in an IKK2/NF-ÍB-dependent manner	Accession number	Expression over background in vector-infected HUVEC after exposure to TNF-·	Expression over background in IKK2KD-expressing HUVEC after exposure to TNF-·	Inhibition (%)	p-value	Function
CCL20 (MIP-3alpha, LARC, Exodus-1)	NM_004591.1	50	off	100	< 0.00001	Chemokines/cytokines
Lymphotoxin-beta (Tumor necrosis factor C; Tumor necrosis factor ligand superfamily member-3)	NM_002341.1	25	off	100	< 0.005	Chemokines/cytokines
Fraktalkine (CX3CL1)	NM_002996.1	25	off	100	< 0.0001	Chemokines/cytokines
CXCL3 (Gro-gamma)	NM_002090.1	25	off	100	< 0.00001	Chemokines/cytokines
Interleukin-18 receptor 1	NM_003855.1	10	off	100	< 0.00001	Cell surface receptors
CD69 antigen	L07555.1	10	off	100	< 0.00001	Cell surface receptors
TRAF1 (TNF receptor-associated factor 1)	NM_005658.1	10	off	100	< 0.0001	Signaling/transcription
Nuclear factor of kappa light polypeptide gene enhancer in B cells 2 (p49/p100; NFKB2)	BC002844.1	10	off	100	< 0.05	Signaling/transcription
GTP-binding protein	U69563	5	off	100	< 0.00001	Signaling/transcription
BCL2-related protein A1	NM_004049.1	10	off	100	< 0.01	Apoptosis/cell proliferation
Transporter 1, ATP-binding cassette, subfamily B	NM_000593.2	5	off	100	< 0.005	Transporters/channels
Melanoma differentiation-associated protein-5	NM_022168.1	10	off	100	< 0.00005	Others
Ubiquitin D	NM_006398.1	25	off	100	< 0.00001	Others
Sequestosome 1	N30649	10	off	100	< 0.00005	Others
