Probe set ID	Gene symbol	Location
206638_at	HTR2B	chr2q37.1
229823_at		chr8q22.3
204939_s_at	PLN	chr6q22.31
206137_at	RIMS2	chr8q22.3
206626_x_at	SSX1	chrXp11.22
228170_at	OLIG1	chr21q22.11
211425_x_at	SSX4	chrXp11.23
230650_at		chr8q13.3
205825_at	PCSK1	chr5q15
204897_at	PTGER4	chr5p13.1
229975_at	BMPR1B	chr4q22.3
209031_at	CADM1	chr11q23.2
212671_s_at	HLA-DQA1	chr6p21.32
209496_at	RARRES2	chr7q36.1
202158_s_at	CUGBP2	chr10p14
227812_at	TNFRSF19	chr13q12.12
219895_at	FAM70A	chrXq24
235061_at	PPM1K	chr4q22.1
231202_at	ALDH1L2	chr12q23.3
202660_at	ITPR2	chr12p11.23
235182_at	C20orf82	chr20p12.1
243339_at		chr5q33.1
238720_at	OMG	chr17q11.2
244463_at	ADAM23	chr2q33.3
204472_at	GEM	chr8q22.1
