probe set	Gene Symbol	Entrez Gene ID	Cytoband	p-value
207734_at	LAX1	54900	1q32.1	0.000589
1554890_a_at	TIA1	7072	2p13	0.000778
242646_at				0.000886
236621_at	RPS27	6232	1q21	0.001315
1562265_at				0.001777
1560263_at				0.002358
220081_x_at	HSD17B7	51478	1q23	0.002432
217653_x_at				0.002495
1559413_at	TCP11L2	255394	12q23.3	0.002544
242633_x_at	LOC100128510	100128510	16p13.3	0.002563
215200_x_at				0.002567
228377_at	KLHL14	57565	18q12.1	0.002952
243874_at	LPP	4026	3q28	0.003535
203725_at	GADD45A	1647	1p31.2-p31.1	0.003539
235123_at				0.003559
238678_at		402483	7q32.1	0.003662
220091_at	SLC2A6	11182	9q34	0.003666
242403_at				0.00395
207365_x_at	USP34	9736	2p15	0.003961
232215_x_at	PRR11	55771	17q22	0.004062
1556658_a_at				0.004111
1554942_a_at	KLHL14	57565	18q12.1	0.004136
226365_at				0.004246
235432_at	NPHP3	27031	3q22.1	0.004321
1570210_x_at	SAPS2	9701	22q13.33	0.004449
204004_at	PAWR	5074	12q21	0.004485
222435_s_at	UBE2J1	51465	6q15	0.004603
225157_at	MLXIP	22877	12q24.31	0.004633
1558088_a_at	UBE2I	7329	16p13.3	0.004649
226858_at	CSNK1E	1454	22q13.1	0.004725
243147_x_at				0.004748
232266_x_at	CDC2L5	8621	7p13	0.004849
222358_x_at				0.005029
220796_x_at	SLC35E1	79939	19p13.11	0.0054
227712_at	LYRM2	57226	6q14.2-q16.1	0.005434
210401_at	P2RX1	5023	17p13.3	0.005464
240094_at				0.005662
242490_at				0.005673
215385_at				0.005731
244010_at				0.005739
202778_s_at	ZMYM2	7750	13q11-q12	0.005808
1556007_s_at				0.005927
235028_at				0.00612
221624_at	TCL6	27004	14q32.1	0.006142
232420_x_at	hCG_2022304	100289341	9q34.3	0.00618
235222_x_at	XIAP	331	Xq25	0.006301
241816_at	C14orf106	55320	14q21.3	0.006306
1559739_at	CHPT1	56994	12q	0.006344
222207_x_at	LOC441258	441258	7q11.23	0.006592
203319_s_at	ZNF148	7707	3q21	0.006645
215203_at	GOLGA4	2803	3p22-p21.3	0.006741
1558922_at				0.006769
228788_at	YPEL1	29799	22q11.2	0.006794
237475_x_at	CCDC152	100129792	5p12	0.00682
207079_s_at	MED6	10001	14q24.2	0.006909
201918_at	SLC25A36	55186	3q23	0.00698
215123_at	NPIPL3	23117	16p13.11	0.007071
212274_at	LPIN1	23175	2p25.1	0.007158
215083_at				0.007207
216109_at	MED13L	23389	12q24.21	0.007295
1557293_at	LOC440993	440993	3q29	0.007422
219392_x_at	PRR11	55771	17q22	0.007465
242578_x_at	SLC22A3	6581	6q26-q27	0.007488
207598_x_at	XRCC2	7516	7q36.1	0.007492
219994_at	APBB1IP	54518	10p12.1	0.007507
225703_at	FBRSL1	57666	12q24.33	0.007798
223038_s_at	FAM60A  /LOC728115	58516 / 728115	12p11 / 18q21.32	0.007814
241777_x_at				0.007831
225912_at	TP53INP1	94241	8q22	0.007923
231356_at	LOC100131014	100131014	18q23	0.007947
236379_at				0.008135
244743_x_at	ZNF138	7697	7q11.21-q11.23	0.008143
214366_s_at	ALOX5	240	10q11.2	0.008249
225265_at	RBMS1	5937	2q24.2	0.008271
211385_x_at	SULT1A2	6799	16p12.1	0.008298
215599_at	LOC653188	653188	5q13.2	0.008345
1557486_at				0.008349
227663_at				0.008437
232991_at	ARL17	641522	17q21.31	0.008439
239748_x_at	OCIAD1	54940	4p11	0.008555
217679_x_at				0.008734
222104_x_at	GTF2H3	2967	12q24.31	0.008792
242672_at				0.008811
239901_at				0.009016
200824_at	GSTP1	2950	11q13	0.009203
238342_at				0.009424
201917_s_at	SLC25A36	55186	3q23	0.009426
206335_at	GALNS	2588	16q24.3	0.009438
233869_x_at				0.009445
205370_x_at	DBT	1629	1p31	0.009446
235698_at	ZFP90	146198	16q22.1	0.009493
1560445_x_at	ARHGEF1	9138	19q13.13	0.009543
1559490_at	LRCH3	84859	3q29	0.009602
212658_at	LHFPL2	10184	5q14.1	0.009842
212959_s_at	GNPTAB	79158	12q23.2	0.009854
217534_at	FAM49B	51571	8q24.21	0.009909
228998_at	ADSL / TNRC6B	158 / 23112	22q13.1 / 22q13.1|22q13.2	0.010108
220609_at	LOC202181	202181	5q35.3	0.010529
202951_at	STK38	11329	6p21	0.01065
239937_at	ZNF207	7756	17q11.2	0.010875
214731_at	CTTNBP2NL	55917	1p13.2	0.010906
210580_x_at	SULT1A3 / SULT1A4	445329 / 6818	16p11.2	0.010954
204978_at	SFRS16	11129	19q13.3	0.010985
224574_at	C17orf49	124944	17p13.1	0.010991
81737_at				0.011111
221191_at	STAG3L1	54441	7q11.23-q21.1	0.011233
215978_x_at	LOC152719	152719	4p16.3	0.011253
226440_at	DUSP22	56940	6p25.3	0.011285
204860_s_at	NAIP	4671	5q13.1	0.011373
230229_at	DLG1	1739	3q29	0.011388
201779_s_at	RNF13	11342	3q25.1	0.011528
220856_x_at				0.011757
226630_at	C14orf106	55320	14q21.2	0.011803
223940_x_at	MALAT1	378938	11q13.1	0.01195
215191_at				0.012077
236512_at				0.012145
236715_x_at	UACA	55075	15q22-q24	0.012191
1565867_a_at	ZC3H11A	9877	1q32.1	0.012199
219513_s_at	SH2D3A	10045	19p13.3	0.012244
219507_at	RSRC1	51319	3q25.32	0.012394
239735_at				0.012446
210180_s_at	TRA2B	6434	3q26.2-q27	0.012551
215387_x_at				0.012672
240008_at				0.012863
238013_at	PLEKHA2	59339	8p11.22	0.012963
242111_at	METTL3	56339	14q11.1	0.013091
212082_s_at	MYL6	4637	12q13.2	0.013319
1557987_at	LOC641298	641298	16p12.2	0.013342
221985_at	KLHL24	54800	3q27.1	0.013511
1569320_at	GPBP1L1	60313	1p34.1	0.013516
242862_x_at				0.013541
201446_s_at	TIA1	7072	2p13	0.013648
1557394_at	DLGAP4	22839	20q11.23	0.013707
238918_at				0.013943
224568_x_at	MALAT1	378938	11q13.1	0.01407
243332_at				0.014153
215607_x_at				0.014327
239555_at				0.014404
232347_x_at				0.014412
232835_at				0.014547
214656_x_at	MYO1C	4641	17p13	0.014649
226062_x_at	FAM63A	55793	1q21.3	0.014808
232757_at				0.014821
235335_at	ABCA9	10350	17q24.2	0.01486
239258_at				0.014898
217979_at	TSPAN13	27075	7p21.1	0.014932
238299_at				0.015151
217826_s_at	UBE2J1	51465	6q15	0.015343
221253_s_at	TXNDC5	81567	6p24.3	0.015365
213089_at	LOC100272216	100272216		0.015398
225226_at	FAM40A	85369	1p13.3	0.015524
241993_x_at				0.015667
233940_at				0.015668
218354_at	TRAPPC2L	51693	16q24.3	0.015768
224215_s_at	DLL1	28514	6q27	0.015787
222145_at				0.015803
220467_at				0.015822
220719_at				0.015866
220071_x_at	HAUS2	55142	15q15.2	0.015978
222366_at				0.016212
208246_x_at				0.0165
239432_at	FLJ31306	379025	14q23.1	0.016566
1566428_at				0.016646
242558_at				0.016723
231904_at	U2AF1	7307	21q22.3	0.016872
1555594_a_at	MBNL1	4154	3q25	0.016984
204445_s_at	ALOX5	240	10q11.2	0.016987
232963_at				0.017119
226005_at	UBE2G1	7326	1q42|17p13.2	0.017408
1557270_at				0.017445
207436_x_at	KIAA0894	22833	10q23.33	0.017556
227383_at	LOC727820	727820	1q21.1	0.017688
1565717_s_at	FUS / NR1H3	10062 / 2521	11p11.2/16p11.2	0.017689
217208_s_at	DLG1	1739	3q29	0.017786
233813_at	PPP1R16B	26051	20q11.23	0.017906
233702_x_at				0.018134
206551_x_at	KLHL24	54800	3q27.1	0.018405
238042_at				0.01863
236462_at				0.018631
212384_at	BAT1	7919	6p21.3	0.018669
209607_x_at	SULT1A3 / SULT1A4	445329 / 6818	16p11.2	0.018713
235061_at	PPM1K	152926	4q22.1	0.01884
217810_x_at	LARS	51520	5q32	0.018899
212985_at	APBB2	323	4p14-p13	0.018921
230110_at	MCOLN2	255231	1p22	0.019038
213517_at	PCBP2	5094	12q13.12-q13.13	0.0191
200751_s_at	HNRNPC	3183	14q11.2	0.019112
215179_x_at	PGF	5228	14q24-q31	0.019241
1557457_at				0.019251
233867_at				0.019363
1560659_at				0.019497
231825_x_at	ATF7IP	55729	12p13.1	0.019503
207122_x_at	SULT1A2	6799	16p12.1	0.019598
231809_x_at	PDCD7	10081	15q22.31	0.019735
1557551_at				0.020117
240458_at				0.020285
236494_x_at				0.02036
215127_s_at	RBMS1	5937	2q24.2	0.020398
214916_x_at	IGH@ / IGHA1 / IGHA2 / IGHG1 / IGHG3 / IGHM / IGHV3-23 / IGHV4-31 / LOC100132941 / LOC100289290 / LOC100291056 / LOC100293211 / LOC100293324	100132941 / 100289290 / 100291056 / 100293211 / 100293324 / 28396 / 28442 / 3492 / 3493 / 3494 / 3500 / 3502 / 3507	14q32.33 / 16p11.2	0.02046
214705_at	INADL	10207	1p31.3	0.020536
219359_at	ATHL1	80162	11p15.5	0.020677
234701_at	ANKRD11	29123	16q24.3	0.020681
218064_s_at	AKAP8L	26993	19p13.12	0.020779
209037_s_at	EHD1	10938	11q13	0.020853
239251_at				0.020959
200641_s_at	YWHAZ	7534	8q23.1	0.020981
201332_s_at	STAT6	6778	12q13	0.021308
239186_at	MGC39372	221756	6p25.2	0.021442
206572_x_at	ZNF85	7639	19p13.1-p12	0.021484
242602_x_at	ZNF254	9534	19p12	0.021513
230970_at				0.021597
215604_x_at				0.021629
1553575_at				0.02164
232664_at	FLJ12334	400946	2p24.1	0.021725
223471_at	RAB3IP	117177	12q14.3	0.021822
219290_x_at	DAPP1	27071	4q25-q27	0.021881
214971_s_at	ST6GAL1	6480	3q27-q28	0.021944
1557910_at	HSP90AB1	3326	6p12	0.022236
