Rank	Parametric p-value	FDR	Geom mean of intensities in class 1 (3.75 Gy)	Geom mean of intensities in class 2 (Control)	Fold-change	Unique id	Description	Gene symbol
1	< 1e-07	< 1e-07	832.2874001	51.8862581	16.0406133	A_23_P62959	Homo sapiens pleckstrin homology-like domain, family A, member 3 (PHLDA3), mRNA [NM_012396]	PHLDA3
2	< 1e-07	< 1e-07	16922.99652	1698.06938	9.9660218	A_23_P38154	Homo sapiens ferredoxin reductase (FDXR), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA [NM_004110]	FDXR
3	< 1e-07	< 1e-07	9684.661104	1967.403357	4.92256	A_23_P52610	Homo sapiens damage-specific DNA binding protein 2, 48kDa (DDB2), mRNA [NM_000107]	DDB2
4	< 1e-07	< 1e-07	2681.031721	631.7556341	4.2437797	A_32_P85230	BE646426 7e86f01.x1 NCI_CGAP_CLL1 Homo sapiens cDNA clone IMAGE:3292057 3, mRNA sequence [BE646426]	BE646426
5	< 1e-07	< 1e-07	104.6134258	9.9951187	10.4664515	A_24_P89457	Homo sapiens cyclin-dependent kinase inhibitor 1A (p21, Cip1) (CDKN1A), transcript variant 2, mRNA [NM_078467]	CDKN1A
6	< 1e-07	< 1e-07	382.6086902	99.8362204	3.8323635	A_23_P206077	Homo sapiens interferon stimulated exonuclease gene 20kDa-like 1 (ISG20L1), mRNA [NM_022767]	ISG20L1
7	< 1e-07	< 1e-07	5258.761343	792.7915399	6.6332208	A_23_P59210	Homo sapiens cyclin-dependent kinase inhibitor 1A (p21, Cip1) (CDKN1A), transcript variant 1, mRNA [NM_000389]	CDKN1A
8	< 1e-07	< 1e-07	277.8488737	52.4359531	5.2988238	A_23_P357936	Homo sapiens astrotactin 2 (ASTN2), transcript variant 1, mRNA [NM_014010]	ASTN2
9	< 1e-07	< 1e-07	418.0137995	57.3494411	7.2888906	A_23_P30254	Homo sapiens polo-like kinase 2 (Drosophila) (PLK2), mRNA [NM_006622]	PLK2
10	< 1e-07	< 1e-07	7590.044547	2496.694586	3.0400373	A_23_P83192	Homo sapiens phosphohistidine phosphatase 1 (PHPT1), mRNA [NM_014172]	PHPT1
11	< 1e-07	< 1e-07	573.6849626	63.7404331	9.0003305	A_32_P347617	Homo sapiens apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3H (APOBEC3H), mRNA [NM_181773]	RP4-742C19.3
12	< 1e-07	< 1e-07	903.768259	267.4131517	3.3796702	A_24_P180424	Homo sapiens transmembrane protein 30A (TMEM30A), mRNA [NM_018247]	TMEM30A
13	< 1e-07	< 1e-07	722.5723556	220.3585557	3.2790756	A_23_P70290	Homo sapiens transmembrane protein 30A (TMEM30A), mRNA [NM_018247]	TMEM30A
14	< 1e-07	< 1e-07	11444.66646	3685.032686	3.1057164	A_24_P184031	Homo sapiens phosphohistidine phosphatase 1 (PHPT1), mRNA [NM_014172]	PHPT1
15	< 1e-07	< 1e-07	251.9612013	123.4371383	2.0412107	A_23_P71790	Homo sapiens MAM domain containing 4 (MAMDC4), mRNA [NM_206920]	MAMDC4
16	< 1e-07	< 1e-07	14262.89624	4932.887838	2.8913887	A_23_P382775	Homo sapiens BCL2 binding component 3 (BBC3), mRNA [NM_014417]	BBC3
17	< 1e-07	< 1e-07	628.4549942	227.4406075	2.7631609	A_24_P783122	Homo sapiens cDNA FLJ41728 fis, clone HLUNG2015617. [AK123722]	IL10RB
18	< 1e-07	< 1e-07	488.669939	170.5526939	2.8652138	A_23_P139895	Homo sapiens hypothetical protein MGC5370, mRNA (cDNA clone IMAGE:3049213), partial cds. [BC006795]	MGC5370
19	< 1e-07	< 1e-07	114.9773166	21.6216409	5.3176962	A_23_P31681	Homo sapiens cDNA FLJ23887 fis, clone LNG14332. [AK074467]	AK074467
20	< 1e-07	< 1e-07	299.4951524	106.8254911	2.8035926	A_23_P352435	Homo sapiens regulator of G-protein signalling 12 (RGS12), transcript variant 2, mRNA [NM_002926]	RGS12
21	< 1e-07	< 1e-07	1126.47682	461.8413411	2.4390991	A_23_P23221	Homo sapiens growth arrest and DNA-damage-inducible, alpha (GADD45A), mRNA [NM_001924]	GADD45A
22	< 1e-07	< 1e-07	1023.076911	279.674007	3.6581051	A_23_P128230	Homo sapiens nuclear receptor subfamily 4, group A, member 1 (NR4A1), transcript variant 1, mRNA [NM_002135]	NR4A1
23	< 1e-07	< 1e-07	3415.179805	1501.485782	2.2745336	A_23_P28886	Homo sapiens proliferating cell nuclear antigen (PCNA), transcript variant 1, mRNA [NM_002592]	PCNA
24	< 1e-07	< 1e-07	159.7838834	466.2404158	0.3427071	A_23_P90696	Homo sapiens tribbles homolog 2 (Drosophila) (TRIB2), mRNA [NM_021643]	TRIB2
25	< 1e-07	< 1e-07	846.4731276	2008.233883	0.4215013	A_24_P261734	Homo sapiens solute carrier family 38, member 1 (SLC38A1), transcript variant 1, mRNA [NM_030674]	SLC38A1
26	< 1e-07	< 1e-07	23911.29262	10829.39175	2.2079996	A_23_P86330	Homo sapiens immediate early response 5 (IER5), mRNA [NM_016545]	IER5
27	< 1e-07	< 1e-07	4448.48994	1910.409714	2.3285528	A_23_P366216	Homo sapiens histone cluster 1, H2bh (HIST1H2BH), mRNA [NM_003524]	HIST1H2BH
28	< 1e-07	< 1e-07	937.6296097	347.3288326	2.6995444	A_23_P93180	Homo sapiens histone cluster 1, H2bc (HIST1H2BC), mRNA [NM_003526]	HIST1H2BC
29	< 1e-07	< 1e-07	1029.008419	448.2857239	2.2954298	A_24_P127462	PREDICTED: Homo sapiens similar to Proliferating cell nuclear antigen (PCNA) (Cyclin) (LOC392454), mRNA [XR_018314]	LOC392454
30	< 1e-07	< 1e-07	3424.408879	8039.666652	0.4259392	A_23_P126844	Homo sapiens tumor necrosis factor receptor superfamily, member 25 (TNFRSF25), transcript variant 1, mRNA [NM_148965]	TNFRSF25
31	< 1e-07	< 1e-07	91.1857038	11.9229436	7.6479188	A_32_P52153	PREDICTED: Homo sapiens hypothetical protein LOC730999 (LOC730999), mRNA [XM_001131389]	LOC730999
32	< 1e-07	< 1e-07	795.9662995	432.1533849	1.8418606	A_23_P58606	Homo sapiens cyclin G1 (CCNG1), transcript variant 1, mRNA [NM_004060]	CCNG1
33	< 1e-07	< 1e-07	124.8885692	21.0633773	5.9291807	A_32_P140501	Unknown	A_32_P140501
34	< 1e-07	< 1e-07	753.7429229	278.9058308	2.7024997	A_23_P128408	Homo sapiens TP53 regulated inhibitor of apoptosis 1 (TRIAP1), mRNA [NM_016399]	TRIAP1
35	< 1e-07	< 1e-07	3838.471658	1587.770051	2.4175237	A_23_P59069	Homo sapiens histone cluster 1, H2bo (HIST1H2BO), mRNA [NM_003527]	HIST1H2BO
36	< 1e-07	< 1e-07	168.4385924	54.353041	3.0989727	A_23_P169030	Homo sapiens tumor necrosis factor receptor superfamily, member 10b (TNFRSF10B), transcript variant 1, mRNA [NM_003842]	TNFRSF10B
37	< 1e-07	< 1e-07	4864.52403	2141.656916	2.2713834	A_24_P218265	Homo sapiens tumor necrosis factor receptor superfamily, member 10b (TNFRSF10B), transcript variant 1, mRNA [NM_003842]	TNFRSF10B
38	< 1e-07	< 1e-07	280.9327961	121.2930014	2.3161501	A_24_P639629	Homo sapiens cDNA FLJ31683 fis, clone NT2RI2005353. [AK056245]	AK056245
39	< 1e-07	< 1e-07	389.8052959	158.2894515	2.4626107	A_24_P220786	Homo sapiens regulator of G-protein signalling 12 (RGS12), transcript variant 1, mRNA [NM_198229]	RGS12
