Entrez ID	Gene symbol	Fold change: Sox17_CD48+LSK vs. BM_CD48+LSK	Fold change: BM_HSC vs. BM_CD48+LSK	Fold change: FL_HSC vs. BM_HSC	Gene set enrichment of BM HSC vs. CD48+LSK (p<0.05, fold>2): UP	Gene set enrichment of BM HSC vs. CD48+LSK (p<0.05, fold>2): DOWN	Gene set enrichment of FL HSC vs. BM HSC (p<0.05, fold>2): UP	Gene set enrichment of FL HSC vs. BM HSC (p<0.05, fold>2): DOWN
258961	Olfr631	211.7179823	1.573524891	4.237852377	FALSE	FALSE	TRUE	FALSE
75706	Krt24	131.9944385	0.797560943	0.953518829	FALSE	FALSE	FALSE	FALSE
259123	Olfr632	99.388016	1.903515961	5.637283021	FALSE	FALSE	TRUE	FALSE
258351	Olfr633	73.31314547	0.892340773	1.34754489	FALSE	FALSE	FALSE	FALSE
12562	Cdh5	59.93527022	1.049716684	2.621998148	FALSE	FALSE	TRUE	FALSE
259122	Olfr635	41.46053037	0.777905421	1.012554807	FALSE	FALSE	FALSE	FALSE
22037	Trap1a	34.45560218	0.932601938	1.02313747	FALSE	FALSE	FALSE	FALSE
68162	A930003A15Rik	31.83775417	1.2875841	0.852634892	FALSE	FALSE	FALSE	FALSE
20692	Sparc	28.27261325	0.86075029	1.913658414	FALSE	FALSE	FALSE	FALSE
216350	Tspan8	24.25706899	5.348001982	2.40716216	TRUE	FALSE	TRUE	FALSE
21872	Tjp1	22.69548374	1.201080904	1.831044263	FALSE	FALSE	FALSE	FALSE
114301	Palmd	21.382125	1.1389202	0.86934456	FALSE	FALSE	FALSE	FALSE
67860	S100a16	21.04394579	1.00556058	2.314980434	FALSE	FALSE	TRUE	FALSE
240168	Rasgrp3	20.17271461	1.109313137	7.166821057	FALSE	FALSE	TRUE	FALSE
16826	Ldb2	19.99637616	2.602683711	3.376823248	TRUE	FALSE	TRUE	FALSE
107526	Gimap4	18.79139154	3.030732804	2.90324569	TRUE	FALSE	TRUE	FALSE
56312	Nupr1	16.58721762	6.477034072	0.308284302	TRUE	FALSE	FALSE	TRUE
12722	Clca1	16.07410679	3.647732662	0.612875809	TRUE	FALSE	FALSE	FALSE
14613	Gja5	15.69609021	0.863140108	1.124278924	FALSE	FALSE	FALSE	FALSE
16880	Lifr	15.38728365	0.80069979	1.106241727	FALSE	FALSE	FALSE	FALSE
68545	Ecscr	14.7604691	2.203301102	1.878611397	TRUE	FALSE	FALSE	FALSE
259124	Olfr638	14.35684329	0.981459064	1.038859103	FALSE	FALSE	FALSE	FALSE
26972	Spo11	13.9739373	3.412115935	0.322566085	TRUE	FALSE	FALSE	TRUE
14118	Fbn1	13.9610286	1.028826708	0.875593611	FALSE	FALSE	FALSE	FALSE
109620	Dsp	13.12883199	1.218128784	1.134455485	FALSE	FALSE	FALSE	FALSE
329514	Gm14047	12.24963338	0.943438251	0.943002391	FALSE	FALSE	FALSE	FALSE
56619	Clec4e	12.18752551	0.155645237	2.941733728	FALSE	TRUE	TRUE	FALSE
100038511	Gm14207	11.70727441	2.611719574	4.80321371	TRUE	FALSE	TRUE	FALSE
241556	Tspan18	11.56211429	1.025741121	1.078480432	FALSE	FALSE	FALSE	FALSE
15129	Hbb-b1	11.51412866	1.501079098	8.586082291	FALSE	FALSE	TRUE	FALSE
78449	2700046A07Rik	11.20703964	0.842452159	1.085981856	FALSE	FALSE	FALSE	FALSE
27528	D0H4S114	10.37231965	1.183724489	3.482202253	FALSE	FALSE	TRUE	FALSE
432628	Mfsd2b	10.1894198	0.893578678	0.630251696	FALSE	FALSE	FALSE	FALSE
19263	Ptprb	10.04217593	0.958377981	1.848472183	FALSE	FALSE	FALSE	FALSE
16398	Itga2	9.965899325	0.944092419	0.985094022	FALSE	FALSE	FALSE	FALSE
57269	Olfr1507	9.781122222	0.75541081	1.030015942	FALSE	FALSE	FALSE	FALSE
75568	Capsl	9.642006039	1.025978145	1.081974626	FALSE	FALSE	FALSE	FALSE
57276	Vsig2	9.458862288	3.423170932	1.375859673	TRUE	FALSE	FALSE	FALSE
13034	Ctse	9.193834312	0.97063447	1.284315809	FALSE	FALSE	FALSE	FALSE
93675	Clec2i	9.002547667	0.151669195	0.883723324	FALSE	TRUE	FALSE	FALSE
628856	Gm9909	8.657797156	0.703684188	1.152153816	FALSE	FALSE	FALSE	FALSE
16189	Il4	8.5070956	2.803702616	0.874784765	TRUE	FALSE	FALSE	FALSE
69524	Esam	8.467875159	2.922763981	1.203303026	TRUE	FALSE	FALSE	FALSE
225030	Kcng3	8.242031629	1.055066061	1.143930973	FALSE	FALSE	FALSE	FALSE
16176	Il1b	8.096696126	1.007886605	0.845572287	FALSE	FALSE	FALSE	FALSE
14584	Gfpt2	7.829933203	1.657106892	2.003237304	FALSE	FALSE	TRUE	FALSE
236643	Sytl5	7.607030204	4.453686473	0.302428638	TRUE	FALSE	FALSE	TRUE
80797	Clca2	7.535308964	1.813361634	0.927444807	FALSE	FALSE	FALSE	FALSE
66526	2210012G02Rik	7.471165566	1.126619228	1.376813676	FALSE	FALSE	FALSE	FALSE
77579	Myh10	7.181739548	1.831044263	1.739090889	FALSE	FALSE	FALSE	FALSE
17952	Naip6	7.175105277	2.613530508	1.008119503	TRUE	FALSE	FALSE	FALSE
