Gene Symbol	Probeset ID	p-value	Fold-Change
THBS1	201110_s_at	0.000612681	40.551
GPR65	214467_at	7.52E-10	32.0109
THBS1	201109_s_at	0.00184073	18.6979
MYOZ2	213782_s_at	1.64E-07	14.0066
DKK1	204602_at	0.00143719	13.4967
SLC7A11	209921_at	1.01E-09	13.3316
SLC7A11	217678_at	5.06E-10	13.1584
FAM129A	217967_s_at	0.00233961	13.0829
DEPDC7	228293_at	2.98E-07	12.8651
ASNS	205047_s_at	1.83E-06	12.7179
CHAC1	219270_at	9.77E-08	12.4579
MYOZ2	207148_x_at	6.41E-08	10.9307
TRIB3	218145_at	9.35E-06	8.18138
ARHGAP15	218870_at	6.45E-09	8.08546
IL8	202859_x_at	0.00153548	8.02284
	226756_at	2.13E-08	7.45801
FCER1G	1554899_s_at	2.94E-05	7.27226
FLI1	204236_at	1.30E-06	7.06343
IFITM3	212203_x_at	6.44E-09	7.02196
TRIB3	1555788_a_at	1.70E-05	6.80147
JDP2	226267_at	4.44E-08	6.34051
DSE	218854_at	0.000680627	6.29378
IFITM2	201315_x_at	2.98E-08	6.19079
PTGS2	204748_at	0.000332705	5.9759
COL21A1	208096_s_at	7.00E-11	5.87235
CEBPG	225527_at	2.30E-14	5.83156
LPL	203548_s_at	7.13E-05	5.83046
STON1	213413_at	0.000205148	5.70673
KLF4	221841_s_at	9.10E-05	5.69998
TBL1X	213400_s_at	3.46E-07	5.66595
SLC7A11	207528_s_at	2.53E-17	5.6311
H1F0	208886_at	0.000164654	5.4408
FCER1G	204232_at	7.48E-05	5.41774
LPL	203549_s_at	5.36E-05	5.37861
LATS2	227013_at	2.15E-09	5.36995
TGFB1I1	209651_at	1.78E-05	5.30406
VEGFA	210512_s_at	0.0021186	5.08925
MAT2A	200768_s_at	2.98E-09	5.05976
NFE2L3	204702_s_at	0.000923677	5.02321
MMP1	204475_at	0.00142884	5.00283
DLK1	209560_s_at	4.59E-05	4.94047
	237435_at	3.75E-12	4.92405
LOC284561	232689_at	3.85E-16	4.90737
GPR158	232195_at	0.000480876	4.71497
TAPBP	208829_at	2.40E-08	4.66095
SORL1	212560_at	0.000242583	4.55403
CTH	217127_at	6.18E-06	4.49732
DDR2	225442_at	3.40E-05	4.4477
ARHGAP24	223422_s_at	0.00129534	4.35355
DDR2	205168_at	1.86E-06	4.35052
TRIM13	230192_at	4.72E-07	4.34994
WFDC1	219478_at	0.000211629	4.31584
ARX	238878_at	2.12E-08	4.31178
