GB. accession no.	Name	Ratio	Description
NM_002364	MAGEB2	0.0563	melanoma antigen, family B, 2
AY027862	UCC1	0.0551	upregulated in colorectal cancer gene 1
NM_002353	TACSTD2	0.1116	tumor-associated calcium signal transducer 2
NM_005418	ST5	2.2312	suppression of tumorigenicity 5
NM_005228	EGFR	0.0742	epidermal growth factor receptor
NM_001964	EGR1	0.0952	early growth response 1
NM_002747	MAPK4	0.0816	mitogen-activated protein kinase 4
NM_000245	MET	0.4571	met proto-oncogene (hepatocyte growth factor receptor)
NM_000358	TGFBI	2.3294	transforming growth factor, beta-induced, 68 kD
AK027071	TSC22	2.2863	transforming growth factor beta-stimulated protein TSC-22
NM_003810	TNFSF10	4.4538	tumor necrosis factor (ligand) superfamily, member 10
NM_001561	TNFRSF9	7.0188	tumor necrosis factor receptor superfamily, member 9
NM_002546	TNFRSF11B	16.467	tumor necrosis factor receptor superfamily, member 11b
NM_021137	TNFAIP1	1.6386	tumor necrosis factor, alpha-induced protein 1 (endothelial)
NM_006291	TNFAIP2	1.5306	tumor necrosis factor, alpha-induced protein 2
NM_007115	TNFAIP6	9.6672	tumor necrosis factor, alpha-induced protein 6
NM_021980	OPTN	3.0963	tumor necrosis factor alpha-inducible cellular protein containing leucine zipper domains; Huntingtin
