Accession	Gene function	Gene tag	Ratio
AY421086	Programmed cell death 4	PDCD4	6.41 ± 0.10
AA630800	Interferon, g-inducible protein 30	IFI30	1.31 ± 0.18
AA400973	Lipocalin 2 (oncogene 24p3)	LCN2	3.16 ± 0.22
AI817942	Zeta-chain associated protein kinase (70 kD)	ZAP70	3.29 ± 0.31
AA447515	Mad4 homolog	MAD4	2.35 ± 0.20
W47350	Retinoic acid receptor responder 3	RARRES3	0.18 ± 0.13
AA436401	TU3A protein	TU3A	5.40 ± 0.27
AI650283	Serum/glucocorticoid regulated kinase 2	SGK2	1.29 ± 0.13
NM_003542	H4 histone family, member G	H4FG	7.04 ± 0.17
NM_205510	Fibroblast growth factor receptor 1	FGFR1	2.94 ± 0.21
NM_204434	Cyclin-dependent kinase inhibitor 2A	CDKN2A	3.16 ± 0.28
NM_005438	FOS-like antigen-1	FOSL1	1.93 ± 0.25
NM_005439	Myeloid leukemia factor 2	MLF2	2.17 ± 0.24
BC08072	v-raf murine sarcoma 3611 viral oncogene homolog 1	ARAF1	0.98 ± 0.15
NM_020531	Chromosome 20open reading frame 3	C20ORF3	2.23 ± 0.21
NM_033158	Hyaluronoglucosaminidase 2	HYAL2	4.16 ± 0.28
NM_001950	E2F transcription factor 4,p107/p130-binding	E2F4	5.26 ± 0.28
BC059522	Ribosomal protein S30	FAU	2.58 ± 0.13
NM_008583	Multiple endocrine neoplasia I	MEN1	3.89 ± 0.11
NM_011492	Serine/threonine kinase 11	STK11	5.12 ± 0.27
NM_133862	Fibrinogen, gamma polypeptide	FGG	3.0 4 ± 0.28
BC162533	GRO2 oncogene	GRO2	1.39 ± 0.30
NM_000612	Insulin-like growth factor 2 receptor	IGF2	5.06 ± 0.29
NM_005343	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	HRAS	4.74 ± 0.27
NM_002634	Prohibitin	PHB	2.98 ± 0.15
BC046375	p53-induced protein	PIG11	6.67 ± 0.29
NM_004448	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2	ERBB2	3.15 ± 0.17
NM_010658	v-maf musculoaponeurotic fibrosarcoma oncogene family	MAFG	5.61 ± 0.04
NM_022012	Mitogen-activated protein 3 kinase 11	MAP3K11	3.32 ± 0.06
NM_023983	Melanoma adhesion molecule	MCAM	7.38 ± 0.14
NM_014567	Breast cancer anti-estrogen resistance 1	BCAR1	5.12 ± 0.23
NM_000535	Postmeiotic segregation increased 2	PMS2	5.17 ± 0.25
NM_183243	Inosine monophosphate dehydrogenase 1	IMPDH1	7.14 ± 0.10
NM_005380	Neuroblastoma, suppression of tumorigenicity 1	NBL1	5.62 ± 0.16
NM_002429	Matrix metalloproteinase 19	MMP19	3.90 ± 0.22
NM_002466	v-myb avian myeloblastosis viral oncogene homolog-like 2	MYBL2	9.70 ± 0.21
NM_022588	Metastasis associated 1	MTA1	10.41 ± 0.37
NM_017045	Retinoblastoma 1	RB1	2.81 ± 0.14
NC_006104	SET translocation	SET	2.69 ± 0.11
NM_002439	Phosphatase and tensin homolog	PTEN	3.94 ± 0.21
NM_053455	Fibrinogen-like 2 GTPase activating	FGL2	3.40 ± 0.27
NM_005638	ADP-ribosylation factor protein 1	ARFGAP	5.14 ± 0.25
NM_032415	Mucosa associated lymphoid tissue lymphoma translocation gene 1	MALT1	4.84 ± 0.21
NM_006283	Transforming acidic coiled-coil containing protein 1	TACC1	3.41 ± 0.13
NM_00288	v-ral simian leukemia viral oncogene homolog B	RALB	4.12 ± 0.18
NM_003766	Myosin-like BCL2-interacting protein	BECN1	5.05 ± 0.14
NG_027821	TRK-fused gene	TFG	4.33 ± 0.28
NM_005805	Cadherin 1,type 1,E-cadherin (epithelial)	CDH1	4.11 ± 0.26
NM_001982	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3	ERBB3	5.82 ± 0.15
NM_133250	MutS (Escherichia coli) homolog 2	MSH2	2.13 ± 0.21
AY805747	Ras homolog gene family, member E	ARHE	3.61 ± 0.22
NM_002884	RAP1A, member of RAS oncogene family	RAP1A	5.18 ± 0.27
NM_000368	Tuberous sclerosis 1	TSC1	6.02 ± 0.14
L36953	Mothers against decapentaplegic homolog 4	MADH4	4.93 ± 0.26
