GenBank accession	Gene name	Gene induction (fold) IFN-beta 0.15 nM	Gene induction (fold) HEQ 0.3 nM	Gene induction (fold) IFN-alpha2 3.0 nM	Gene induction (fold) IFN-alpha2 0.3 nM	Gene induction (fold) IFN-alpha2 0.015 nM	Gene induction (fold) 4-h IFN-alpha2 0.3 nMc
NM_002535	OAS2	7.00E+00	6.3	2.8	3.8	4.8	8.5
NM_005101	ISG15	5.7	4.6	4.4	4.2	4.5	6.3
NM_018950	HLA-F	5.2	4.4	3	3.6	3	4.5
NM_006674	HCP5	4.3	3.4	1.6	2.6	2.4	0.9
NM_002800	PSMB9	4	4.8	3	3.6	2.8	3.6
NM_002462	Mx1	3.6	4.8	2.5	3.4	1.6	6.1
NM_016816	OAS1	3.20E+00	2.6	2.6	2.9	2.4	7.5
NM_004159	PSMB8	3.10E+00	2.7	2.3	2.8	2.4	2.7
NM_006820	IFI44L	3.1	3.7	1.7	1.7	1.9	7
NM_005318	H1F0	2.7	2.8	1.8	1.7	1.9	0.8
NM_004184	WARS	2.5	1.9	1.5	1.7	1.3	2.5
NM_002038	G1P3	2.40E+00	2.4	2.1	2.9	3	1.9
NM_006263	PSME1	2.4	1.9	1.9	1.7	1.6	1.8
NM_016582	SLC15A3	2.3	1.6	2.2	1.9	1.4	2.4
M30818	Mx2	2.20E+00	2.4	1	2.2	1.1	4.6
AF019225	APOL1	2.00E+00	1.8	1.9	1.7	1.7	4.9
AL162052		2	1.9	1.4	1.8	1.3	1.7
AF216292	HSPA5	2	1.8	1.3	1.9	1.3	1
NM_001548	IFIT1	1-Jan	2.1	1.5	1.5	1.4	28.4
AF026943	cig41	1.90E+00	1.8	1.9	1.4	1.5	9.8
NM_004335	BST2	1.90E+00	1.7	1.8	1.5	1.5	2
NM_006417	MTAP44	1.90E+00	2.1	1.3	2.4	1.8	6
NM_002801	PSMB10	1.9	1.9	1.7	1.7	1.1	1.4
NM_001223	ASP1	1.90E+00	2	1.2	1.8	1.2	2.3
NM_002818	PSME2	1.9	1.8	1.3	1.5	1.4	1.6
NM_007315	STAT1	1.80E+00	2.3	1.2	1.6	1.6	3.5
NM_003004	SECTM1	1.8	2	2.4	1.9	1.5	5.6
NM_006329	FBLN5	1.70E+00	1.9	1.7	1.6	1.4	1.8
AF110801	IL18BP	1.70E+00	1.6	1.4	2.2	1	1.7
NM_003541	H4FD	1.7	1.6	1.9	1.7	1.4	1
AK021416	LGP2	1.7	2	1.1	2.2	1.7	3.7
NM_002402	MEST	1.6	2	1.7	2.1	1.5	1.5
U72882	IFI35	1.40E+00	1.9	1.6	3.7	2.5	4.5
NM_009587	LGALS9	3	3.2	1.4	1.7	1.2	1
NM_005877	SF31	2.1	1.7	1.4	1.5	1.4	1.6
NM_006472	TXNIP	2.1	1.9	1.1	1.4	1	1.6
NM_017649	CNNM2	2.2	2	1.1	1.6	1.2	1.7
NM_014068	SEEK1	2.10E+00	2.1	1.3	1.4	1	1.3
NM_017414	USP18	1.80E+00	1.8	0.9	1.3	1.2	8.8
