Gene symbol 	 Gene name 	Cluster
scl	T-cell acute lymphocytic leukemia 1	 Early regulated cluster 
lmo2	LIM domain only 2	 Early regulated cluster 
hhex	hematopoietically expressed homeobox	 Early regulated cluster 
fn1	fibronectin 1	 Early regulated cluster 
cmyb	transcription factor cmyb	 Early regulated cluster 
spil	Transcription factor PU.1	 Early regulated cluster 
znfn1a1	zinc finger protein, subfamily 1A, 1 (Ikaros)	 Early regulated cluster 
	Dr.19496.1.A1	 Early regulated cluster 
mmp13	matrix metalloproteinase 13	 Early regulated cluster 
sox9b	SRY-box containing gene 9b	 Early regulated cluster 
gata1	GATA-binding protein 1	 Erythroid cluster 
drl	draculin	 Erythroid cluster 
klf4	Kruppel-like factor 4	 Erythroid cluster 
klfd	Kruppel-like factor d	 Erythroid cluster 
tbx6	T-box gene 6	 Erythroid cluster 
hif1a	hypoxia-inducible factor 1a	 Erythroid cluster 
znfl2	Zinc finger-like gene 2	 Erythroid cluster 
ncoa4	nuclear receptor coactivator 4; RET-activating gene ELE1	 Erythroid cluster 
jak2a	Janus kinase 2a	 Erythroid cluster 
alas2	aminolevulinate, delta-, synthetase 2	 Erythroid cluster 
slc4a1	solute carrier family 4, anion exchanger, member 1	 Erythroid cluster 
nomo2	Nodal modulator 2	 Erythroid cluster 
mbnl1	Muscleblind-like 1	 Erythroid cluster 
abcb6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	 Erythroid cluster 
bzrp	benzodiazepine receptor, peripheral-type	 Erythroid cluster 
prdx1	probable thioredoxin peroxidase	 Erythroid cluster 
	Dr.23155.1.A1_at	 Erythroid cluster 
	Dr.16496.1.A1_at	 Erythroid cluster 
nt5c2	5-nucleotidase	 Erythroid cluster 
tfr1a	Transferrin Receptor 1a	 Erythroid cluster 
mpx	myeloid-specific peroxidase	 Myeloid cluster 
ptpn6	protein tyrosine phosphatase, non-receptor type 6	 Myeloid cluster 
coro1a	coronin, actin binding protein, 1A	 Myeloid cluster 
npsn	nephrosin	 Myeloid cluster 
lyz	lysozyme	 Myeloid cluster 
lcp1	lymphocyte cytosolic plastin 1	 Myeloid cluster 
cnfn	cornifelin	 Myeloid cluster 
laptm5	lysosomal-associated multitransmembrane protein	 Myeloid cluster 
f13a1	Factor XIII	 Myeloid cluster 
ncb5or	NADPH cytochrome B5 oxidoreductase	 Myeloid cluster 
slc22a4	solute carrier family 22, member 4	 Myeloid cluster 
	chromosome 13 open reading frame 17	 Myeloid cluster 
pecam1	platelet/endothelial cell adhesion molecule	 Myeloid cluster 
hspc142	hypothetical protein HSPC142	 Myeloid cluster 
dab2	disabled homolog 2	 Myeloid cluster 
tie1	endothelium-specific receptor tyrosine kinase 1	 Vascular cluster 
flt4	fms-related tyrosine kinase 4	 Vascular cluster 
kdr	kinase insert domain receptor	 Vascular cluster 
fli1	Friend leukemia integration 1	 Vascular cluster 
dusp5	dual specificity phosphatase 5	 Vascular cluster 
mical-12	MICAL-like 2 isoform 2	 Vascular cluster 
eltd1	EGF, latrophilin and seven transmembrane domain containing 1	 Vascular cluster 
aqp1	erythrocyte integral membrane protein 28K	 Vascular cluster 
erg	v-ets erythroblastosis virus E26 oncogene like (avian)	 Vascular cluster 
mrc1	Macrophage mannose receptor [Precursor]	 Vascular cluster 
yrk	Yes-related kinase	 Vascular cluster 
cyp51	cytochrome P450, member 51	 Upregulated cluster 
hmgcs1	Hydroxymethylglutaryl-CoA synthase, cytoplasmic	 Upregulated cluster 
sc4mol	sterol-C4-methyl oxidase-like	 Upregulated cluster 
fdps	famesyl diphosphate synthase	 Upregulated cluster 
fasn	fatty-acid synthase	 Upregulated cluster 
acat2	acetyl-CoA acetyltransferase 2	 Upregulated cluster 
s5des	delta7-sterol-C5-desaturase	 Upregulated cluster 
insig1	insulin induced gene 1	 Upregulated cluster 
scarb2	scavenger receptor class B, member 2	 Upregulated cluster 
