Gene	Gene symbol	GenBank accession no.	Fold (mean) MOI of 0.1 12 h	24 h	Fold (mean) MOI of 1.0 12 h	24 h	Function
Vipirin	cig5	AF026941	8	13	22	26	INF inducible
Interferon-induced protein with tetratricopeptide repeats 2	IFIT2	M14660	4.3	11.3	9.8	21	INF inducible
2?-5?-Oligoadenylate synthetase-like	OASL	AJ225089	6.5	9.2	11.3	17	INF inducible
Interferon stimulated gene 20 kDa	ISG20	U88964	2.5	4.9	7.5	12	INF inducible
Myxovirus (influenza virus) resistance 2 (mouse)	MX2	M30818		4.3	4.9	9.2	INF inducible
2?,5?-Oligoadenylate synthetase 1 (40–46 kDa)	OAS1	M11810	3.7	5.7	5.3	7.5	INF inducible
Myxovirus (influenza) resistance 1	MX1	M33882	2.5	5.7	2	6.5	INF inducible
2?-5?-Oligoadenylate synthetase 2 (69–71 kDa)	OAS2	M87434		4.9	3.7	6.5	INF inducible
Interferon-induced protein with tetratricopeptide repeats 4	IFIT4	AF026939	2.6	4.2	2	6	INF inducible
Interferon-induced protein with tetratricopeptide repeats 1	IFIT1	M24594	2.8	3.5	3.2	4.6	INF inducible
Interferon-induced protein 44	IFI44	D28915		2	2	4.2	INF inducible
Interferon-induced protein 35	IFI35	U72882		2.1	2.1	3	INF inducible
Interferon, alpha-inducible protein 27	IFI27	X67325		2	2.1	2.8	INF inducible
Interferon, gamma-inducible protein 16	IFI16	M63838	2	2.5	2	2.6	INF inducible
Interferon, alpha-inducible protein (clone IFI-15K)	G1P2	M13755		2		2.6	INF inducible
Interferon-inducible peptide precursor		U22970				2.2	INF inducible
Chemokine (C–X–C motif) ligand 10	CXCL10	X02530	2.3	3.5	12.1	20	Chemokine and cytokine/receptors
Chemokine (C–X–C motif) ligand 11	CXCL11	AF030514	2.3	2.8	14.9	18.4	Chemokine and cytokine/receptors
Colony stimulating factor 3 (granulocyte)	CSF3	X03656			2.6	8	Chemokine and cytokine/receptors
Chemokine (C–C motif) ligand 8	CCL8	Y16645	3.2	4.3	2.8	7.5	Chemokine and cytokine/receptors
Chemokine (C–C motif) ligand 5	CCL5	M21121			2	6	Chemokine and cytokine/receptors
Interleukin 15 receptor, alpha	IL15RA	U31628			2.5	3.7	Chemokine and cytokine/receptors
Chemokine (C–C motif) ligand 20	CCL20	U64197			2.8	2.6	Chemokine and cytokine/receptors
Interleukin 6 (interferon, beta 2)	IL6	X04430		2	3.2	3	Chemokine and cytokine/receptors
Interleukin 8	IL8	M17017		2	3.1	5.8	Chemokine and cytokine/receptors
Interleukin 15	IL15	U14407			2.3	2	Chemokine and cytokine/receptors
TNF-related apoptosis inducing ligand	TRAIL	U37518	5.3	9.8	16	39.4	Apoptosis
Baculoviral IAP repeat-containing 3	BIRC3	U45878			2.6	3.2	Apoptosis
TNFRSF1A-associated via death domain	TRADD	L41690			2.3	2	Apoptosis
Caspase 1, apoptosis-related cysteine protease	CASP1	U13697	2	2.3	4.6	3	Apoptosis
CASP8 and FADD-like apoptosis regulator	CFLAR	AF005775				2	Apoptosis
Caspase 4, apoptosis-related cysteine protease	CASP4	AF035528			3.2	2	Apoptosis
XIAP associated factor-1	HSXIAPAF1	X99699		2.3	2.6	2	Apoptosis
Toll-like receptor 2	TLR2	AF051152	1.9	2.1	3.2	6.5	Signaling/regulatory factor
Suppressor of cytokine signaling 1	SSI-1	AB000734			9.2	6.5	Signaling/regulatory factor
Toll-like receptor 3	TLR3	U88879	2.8	4	4	6	Signaling/regulatory factor
PDZ domain containing 2	PDZD2	AB002298		2.6	3.5	6	Signaling/regulatory factor
Dual specificity phosphatase 6	DUSP6	AB013382			5.3	4.6	Signaling/regulatory factor
Interleukin 1 receptor-like 1	IL1RL1	D12763			2.5	4.6	Signaling/regulatory factor
MAP kinase kinase 6	MAP2K6	U39064			4.3	4.3	Signaling/regulatory factor
Dual specificity phosphatase 5	DUSP5	U15932			5.3	4	Signaling/regulatory factor
Myeloid differentiation primary response gene (88)	MYD88	U70451	2.1	3	3.2	3.5	Signaling/regulatory factor
Bone marrow stromal cell antigen 2	BST2	D28137		2.1	2.1	3	Signaling/regulatory factor
Endothelial cell growth factor 1 (platelet-derived)	ECGF1	M63193			2.5	3	Signaling/regulatory factor
Tumor necrosis factor, alpha-induced protein 6	TNFAIP6	M31165				2.6	Signaling/regulatory factor
BCL2-associated athanogene	BAG1	Z35491			2.6	2.5	Signaling/regulatory factor
Receptor-interacting serine threonine kinase 2	RIPK2	AF117829			5.7	2.3	Signaling/regulatory factor
Regulator of G-protein signaling 4	RGS4	U27768		2	2	2.1	Signaling/regulatory factor
Adenylate cyclase 7	ADCY7	D25538			2.6	2	Signaling/regulatory factor
Protein kinase D2	PKD2	AL050147				2	Signaling/regulatory factor
N-myc (and STAT) interactor	NMI	U32849	2.5	2.8	5.3	4	Transcription/regulatory factor
RAR-related orphan receptor B	RORB	Y08639			2	3.2	Transcription/regulatory factor
Signal transducer and activator of transcription 1.91 kDa	STAT1	M97935		2.1	3.2	3.2	Transcription/regulatory factor
Interferon regulatory factor 7	IRF7	U53831		2.1	4	3.2	Transcription/regulatory factor
Nuclear antigen Sp100	SP100	M60618			2	3.2	Transcription/regulatory factor
v-msf-Musculoaponeurotic fibrosarcoma oncogene homolog F	MAFF	AL021977				2.6	Transcription/regulatory factor
NF-?B transcription factor p65	NF-kB	L19067				2.5	Transcription/regulatory factor
Signal transducer and activator of transcription 2	STAT2	U18671			2	2	Transcription/regulatory factor
ets Variant gene 5	ETV5	X95381			2.6	2.3	Transcription/regulatory factor
Interferon regulatory factor 1	IRF1	L05072				2	Transcription/regulatory factor
KIAA0082 protein	KIAA0082	D43949				2.2	Transcription/regulatory factor
KIAA0321 protein	KIAA0321	AB002319				2	Transcription/regulatory factor
SP110 nuclear body protein	SP110	L22342				3.5	Transcription/regulatory factor
Pleckstrin homology-like domain, family A, member 1	PHLDA1	Z50194				2.3	Transcription/regulatory factor
Topoisomerase (DNA) II alpha 170 kDa	TOP2A	AI375913				2.1	Transcription/regulatory factor
Tudor repeat associator with PCTAIRE 2	PCTAIRE2BP	AB025254		2.3	5.3	3	Transcription/regulatory factor
H2A histone family, member O	H2AFO	L19779				2.8	Transcription/regulatory factor
LIM domain binding 2	LDB2	AF052389				2.1	Transcription/regulatory factor
Transporter 2, ATP-binding cassette, sub-family B	TAP2	M74447				8	Immune response
Transporter 1, ATP-binding cassette, sub-family B	TAP1	X57522		2.3		4.3	Immune response
Secreted and transmembrane 1	SECTM1	U77643		2.3		4	Immune response
52 kDa, ribonucleoprotein autoantigen SS-A/Ro	SSA1	M62800		3.2		3.7	Immune response
SAM domain and HD domain, 1	SAMHD1	AL050267		3.2	2.6	4	Immune response
Complement component 4A		U24578				3.2	Immune response
B-factor, properdin	BF	L15702				3	Immune response
Major histocompatibility complex, class I, C	HLA-C	X58536				2.6	Immune response
Major histocompatibility complex, class 1, F	HLA-F	AL022723	2	3.2	6	8.6	Immune response
Butyrophilin, subfamily 3, member A2	BTN3A2	U90546				2.6	Immune response
Cathepsin S	CTSS	M90696				2.3	Immune response
Butyrophilin, subfamily 3, member A3	BTN3A3	U90548				2.6	Immune response
Guanylate binding protein 1, interferon-inducible, 67 kDa	GBP1	M55542				2.4	Immune response
Cytochrome P450, subfamily IIJ (arachidonic acid epoxygenase) polypeptide 2	CYP2J2	U37143		5.7	3.2	16	Metabolism
Indoleamine-pyrrole 2,3 dioxygenase	INDO	M34455			6.5	6.5	Metabolism
GTP cyclohydrolase 1 (dopa-responsive dystonia)	GCH1	U19523	2	2.3	6.5	6.5	Metabolism
Kynureninase (l-kynurenine hydrolase)	KYNU	AI148772				3.5	Metabolism
Guanosine monophosphate reductase	GMPR	M24470			2.3	2.6	Metabolism
5?-Nucleotidase, ecto (CD73)	NT5E	X55740			2.3	2.3	Metabolism
Phospholipase A2, group IVA (cytosolic, calcium-dependent)	PLA2G4A	M72393			2	2.1	Metabolism
CDC6 cell division cycle 6	CDC6	U77949	2	4.3	3.5	5.3	Cell cycle, growth, adherence
Retinoic acid receptor responder	RARRES3	AF060228			2.5	2.8	Cell cycle, growth, adherence
Lysosomal-associated membrane protein 3	LAMP3	AB013924			2.3	2.3	Cell cycle, growth, adherence
H2A histone family, member O	H2AFO	AI885852		2.1	2.1	3.5	Cell cycle, growth, adherence
Cyclin B2	CCNB2	AL080146		2.3		2.3	Cell cycle, growth, adherence
PCTAIRE protein kinase 2	PCTK2	X66360				2.1	Cell cycle, growth, adherence
TTK protein kinase	TTK	M86699		2		2	Cell cycle, growth, adherence
Scavenger receptor class B, member 2	SCARB2	D12676				2.5	Cell cycle, growth, adherence
Tryptophanyl-tRNA synthetase	WARS	X59892				2.2	Cell cycle, growth, adherence
CDC28 protein kinase regulatory subunit 2	CKS2	X54942				2.1	Cell cycle, growth, adherence
Cyclin D3	CCND3	M92287				2	Cell cycle, growth, adherence
LIM domain only 2	LMO2	X61118			11.3	9.2	Cell cycle, growth, adherence
