Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location	Entrez Gene
200790_at	ornithine decarboxylase 1	ODC1	2p25	4953
201063_at	reticulocalbin 1, EF-hand calcium binding domain	RCN1	11p13	5954
201291_s_at	topoisomerase (DNA) II alpha 170kDa	TOP2A	17q21-q22	7153
201292_at	topoisomerase (DNA) II alpha 170kDa	TOP2A	17q21-q22	7153
201397_at	phosphoglycerate dehydrogenase	PHGDH	1p12	26227
201909_at	ribosomal protein S4, Y-linked 1	RPS4Y1	Yp11.3	6192
202086_at	myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse) /// myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	MX1	21q22.3	4599
202095_s_at	baculoviral IAP repeat-containing 5 (survivin)	BIRC5	17q25	332
202219_at	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	SLC6A8	Xq28	6535
202222_s_at	desmin	DES	2q35	1674
202283_at	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	SERPINF1	17p13.1	5176
202409_at	putative insulin-like growth factor II associated protein	LOC492304	11p15.5	492304
202436_s_at	cytochrome P450, family 1, subfamily B, polypeptide 1	CYP1B1	2p21	1545
202580_x_at	forkhead box M1	FOXM1	12p13	2305
202589_at	thymidylate synthetase	TYMS	18p11.32	7298
202705_at	cyclin B2	CCNB2	15q22.2	9133
202858_at	U2(RNU2) small nuclear RNA auxiliary factor 1	U2AF1	21q22.3	7307
202870_s_at	CDC20 cell division cycle 20 homolog (S. cerevisiae)	CDC20	1p34.1	991
202934_at	hexokinase 2	HK2	2p13	3099
203510_at	met proto-oncogene (hepatocyte growth factor receptor)	MET	7q31	4233
203554_x_at	pituitary tumor-transforming 1	PTTG1	5q35.1	9232
203842_s_at	microtubule-associated protein, RP/EB family, member 3	MAPRE3	2p23.3-p23.1	22924
203936_s_at	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	MMP9	20q11.2-q13.1	4318
204014_at	dual specificity phosphatase 4	DUSP4	8p12-p11	1846
204086_at	preferentially expressed antigen in melanoma	PRAME	22q11.22	23532
204400_at	embryonal Fyn-associated substrate	EFS	14q11.2-q12	10278
204424_s_at	LIM domain only 3 (rhombotin-like 2)	LMO3	12p12.3	55885
204606_at	chemokine (C-C motif) ligand 21	CCL21	9p13	6366
