Gene Symbol	RefSeq	q-value(%)	Fold-Change (mut vs. WT)	p-value (mut vs. WT)
CHI3L1	NM_001276	0	-4.18259	4.35E-05
PDPN	NM_006474	0	-2.09901	4.63E-05
WDR69	NM_178821	0	-2.68066	4.65E-05
NEK10	NM_199347	0	-2.17081	9.43E-05
DDR2	AY423733	0	-2.24949	0.000120117
C10orf134	ENST00000341276	0	-2.34311	0.000122429
GBP4	NM_052941	0	-2.01075	0.000136923
CHI3L2	NM_001025199	2.23753	-2.98354	0.00038971
RGS22	NM_015668	2.23753	-2.76904	0.000429348
ST6GALNAC5	NM_030965	2.76641	-2.26651	0.000502531
KIAA0746	NM_015187	2.76641	-2.90613	0.000567848
GBP3	NM_018284	2.79692	-2.04431	0.000600303
SLC9A11	NM_178527	2.79692	-2.20438	0.000635775
LPAR3	NM_012152	3.30766	-2.01076	0.000776005
CCDC30	NM_001080850	3.30766	-2.25978	0.00108058
GAPT	NM_152687	3.84223	-2.03775	0.00139242
DDR2	NM_001014796	3.84223	-2.18188	0.00148133
PTPN20A	NM_001042389	3.84223	-2.10824	0.00163321
NOG	NM_005450	4.0574	2.34064	0.000224399
BMP2	NM_001200	4.0574	2.82478	0.000309696
FRMPD2L1	NM_001042524	4.0574	-2.07541	0.0017107
FRMPD2L1	NM_001042524	4.0574	-2.07541	0.0017107
MOXD1	NM_015529	4.0574	-2.74603	0.00212644
PDYN	NM_024411	4.0574	-2.17654	0.00213461
PCDHB10	NM_018930	4.77965	2.02005	0.000439909
GALNT13	NM_052917	4.77965	2.62437	0.000610053
EFCAB1	NM_024593	4.77965	-2.33324	0.00232978
FRZB	NM_001463	4.77965	-2.02864	0.00237694
C2orf67	NM_152519	4.77965	-2.19656	0.00257259
CRTAC1	NM_018058	5.03228	2.18803	0.000838088
FAM110B	NM_147189	5.03228	2.00406	0.000869262
GRIA4	NM_000829	5.03228	2.86166	0.000917768
ANKRD45	NM_198493	5.03228	-2.07187	0.0030406
PTPLAD2	NM_001010915	5.03228	-2.06836	0.00309988
GNG12	NM_018841	5.03228	-2.20151	0.00338589
C1orf173	BC073916	5.03228	-2.4576	0.00347898
CDH19	NM_021153	5.03228	-2.30029	0.00382877
INA	NM_032727	5.62694	3.65041	0.0018197
FAM114A1	BC040452	5.62694	-2.04733	0.0043115
LPHN2	NM_012302	5.62694	-2.19689	0.00504957
TIMP1	NM_003254	5.62694	-2.28763	0.00533681
GRM7	NM_181874	5.62694	-2.19191	0.00546891
C15orf51	ENST00000423248	6.24363	-2.2855	0.00584222
C15orf51	ENST00000423248	6.24363	-2.2855	0.00584222
CACNG2	NM_006078	6.50074	3.2978	0.00252787
TOX3	NM_001080430	6.50074	2.18623	0.00281075
CALCRL	NM_005795	6.50074	2.44329	0.00291
FBP2	NM_003837	6.50074	-2.00627	0.00681476
DNAH6	NM_001370	6.50074	-2.1547	0.00688894
SPAG17	NM_206996	6.50074	-2.07123	0.00722338
LOC100289668	ENST00000426730	6.50074	-2.23605	0.00754289
LOC100289668	ENST00000426730	6.50074	-2.23605	0.00754289
DCX	NM_000555	7.15846	2.42179	0.00337846
KLRC3	NM_002261	7.15846	3.03532	0.00366575
FERMT1	NM_017671	7.15846	2.93434	0.00427732
C15orf51	AK302717	7.15846	-2.27436	0.00805245
EPHA5	NM_004439	7.15846	-2.01436	0.00826129
DNAH6	NM_001370	7.15846	-2.28659	0.00827583
SERPING1	NM_000062	7.15846	-2.11189	0.00837186
DNAH6	NM_001370	7.15846	-2.02666	0.00867116
KIAA1324	NM_020775	7.15846	-2.09083	0.00910918
C15orf51	ENST00000423248	7.15846	-2.29179	0.00947837
LOC100289668	ENST00000426730	7.15846	-2.29179	0.00947837
C15orf51	AK125787	7.15846	-2.29179	0.00947837
LRRN1	NM_020873	7.99527	2.22476	0.00426505
DLL3	NM_016941	7.99527	2.74267	0.00427072
KLRC2	NM_002260	7.99527	3.31854	0.0046443
C1orf201	BC063891	7.99527	-2.02052	0.00998172
CCDC39	NM_181426	7.99527	-2.0319	0.0102355
TMEM100	NM_001099640	8.45291	2.63198	0.00535136
ACCN4	NM_018674	8.45291	2.1914	0.00561264
KLRC4	NM_013431	9.41103	2.92775	0.00692182
HLA-DQA1	NM_002122	9.41103	-2.07996	0.0138969
CHD5	NM_015557	9.41103	-2.13257	0.0155081
B3GALT1	NM_020981	9.41103	-2.02876	0.0163271
TTC6	BC103915	9.41103	-2.22335	0.0168278
ABCA5	NM_018672	9.41103	-2.21696	0.0174868
