Gene	Description	Chromosome	FPKM N	FPKM AD	Fold change	p-value	Ensembl ID
AC_074289.1	Bac clone – not annotated	chr2	0.28593	3.793698	13.26792572	0.0129943	not annotated
MT1G	metallothionein 1G	chr16	15.1637	148.115649	9.767777587	0	ENSG00000125144
S100A4	S100 calcium binding protein A4	chr1	3.0191	23.552175	7.801058262	4.44E-16	ENSG00000196154
DES	desmin	chr2	4.23774	31.344441	7.396499313	0	ENSG00000175084
C19orf42	UPF0608 protein C19orf42 Precursor	chr19	0.626087	4.153445	6.633974192	0.0132315	ENSG00000214046
MTPAP	mitochondrial poly(A) polymerase	chr10	1.87181	12.003598	6.412829294	0.000124237	ENSG00000107951
NME3	non-metastatic cells 3, protein expressed in	chr16	9.40287	45.776586	4.86836317	0	ENSG00000103024
KIF1C	kinesin family member 1C	chr17	39.0482	180.483489	4.622069366	0	ENSG00000129250
MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	chr2	5.65184	24.058735	4.256796902	7.85E-09	ENSG00000071054
TGFB3	transforming growth factor, beta 3	chr14	4.62642	17.951668	3.880250388	0	ENSG00000119699
MICAL2	microtubule associated monoxygenase, calponin and LIM domain containing 2	chr11	43.9961	0.240419	-182.9976	0	ENSG00000133816
DYNC1I1	dynein, cytoplasmic 1, intermediate chain 1	chr7	51.4985	0.292	-176.36472599999	2.96E-13	ENSG00000158560
RPH3A	rabphilin 3A homolog (mouse)	chr12	42.8148	0.271284	-157.8227982	9.50E-13	ENSG00000089169
RASGRF1	Ras protein-specific guanine nucleotide-releasing factor 1	chr15	29.1194	0.19051	-152.8497192	1.32E-12	ENSG00000058335
ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	chr12	27.8105	0.195853	-141.9968037	2.82E-12	ENSG00000070961
ELMOD1	ELMO/CED-12 domain containing 1	chr11	25.7148	0.185023	-138.9816401	0	ENSG00000110675
NELL2	NEL-like 2 (chicken)	chr12	48.256	0.356889	-135.2129093	4.64E-12	ENSG00000184613
PDE2A	phosphodiesterase 2A, cGMP-stimulated	chr11	33.2491	0.250937	-132.4997908	5.69E-12	ENSG00000186642
CAMKK2	calcium/calmodulin-dependent protein kinase kinase 2, beta	chr12	44.693	0.352967	-126.6209022	8.97E-12	ENSG00000110931
ICAM5	intercellular adhesion molecule 5, telencephalin	chr19	20.7834	0.170851	-121.6463468	1.34E-11	ENSG00000105376
