Gene symbol	Ref Seq ID	Unigene ID	P-value	Difference in expression (Ca-Ad)
SPON2	NM_012445	Hs.288126	2.46E-10	1.34
RGS16	NM_002928	Hs.183601	8.02E-10	1.29
LY6E	NM_002346	Hs.77667	3.16E-09	1.52
SFRP4	NM_003014	Hs.105700	8.27E-09	1.59
MFAP2	NM_017459	Hs.389137	9.57E-09	1.04
AURKA	NM_003600	Hs.250822	1.28E-08	0.87
LOC283658	AL833463	Hs.87194	2.11E-08	1.14
TIE1	NM_005424	Hs.78824	2.27E-08	0.83
CTHRC1	NM_138455	Hs.283713	6.03E-08	1.5
BMP7	AK094784	Hs.170195	6.46E-08	0.92
C20ORF20	NM_018270	Hs.143954	9.72E-08	0.35
-	AL548449	Hs.66915	1.56E-07	1.27
ISG15	NM_005101	Hs.432233	1.56E-07	0.99
SLC27A5	NM_012254	Hs.111401	1.56E-07	0.69
SSSCA1	NM_006396	Hs.25723	1.56E-07	0.54
TROAP	NM_005480	Hs.171955	1.66E-07	0.69
CCL21	NM_002989	Hs.57907	1.78E-07	1.52
TCFL5	NM_006602	Hs.30696	1.78E-07	1.07
CENPH	NM_022909	Hs.200395	1.90E-07	0.63
PLSCR3	NM_020360	Hs.103382	2.03E-07	1.02
RP11-11C5.2	AK025522	Hs.28465	2.65E-07	0.7
COL1A1	NM_000088	Hs.172928	2.82E-07	1.18
AOC2	NM_009590	Hs.143102	2.82E-07	1.09
SPARC	NM_003118	Hs.111779	3.43E-07	1.14
PLK1	U01038	Hs.433619	3.67E-07	0.62
EFEMP2	NM_016938	Hs.6059	4.17E-07	0.69
SUV39H1	NM_003173	Hs.37936	4.45E-07	0.54
TMEM58	BC009558	Hs.423618	5.06E-07	1.01
TOMM34	NM_006809	Hs.76927	6.13E-07	0.82
RBPJL	NM_014276	Hs.248217	6.53E-07	0.6
GREM1	NM_013372	Hs.40098	7.42E-07	1.94
LOXL2	NM_002318	Hs.83354	8.96E-07	0.66
-	NM_032746	Hs.246759	1.08E-06	0.45
LUM	NM_002345	Hs.79914	1.22E-06	1.44
AQP9	NM_020980	Hs.104624	1.22E-06	0.58
POLD1	NM_002691	Hs.99890	1.22E-06	0.41
SPP2	NM_006944	Hs.12230	1.39E-06	0.62
ADAMTS12	AK001058	Hs.12680	1.57E-06	1.47
VCAN	NM_004385	Hs.81800	1.67E-06	0.89
-	BC037944	Hs.385466	1.67E-06	0.88
C20ORF24	NM_018840	Hs.184062	1.67E-06	0.85
PTGS2	NM_000963	Hs.196384	1.67E-06	0.64
-	BC041362	-	1.67E-06	0.49
PCSK9	AK075365	Hs.18844	1.77E-06	1.02
C20ORF11	NM_017896	Hs.103808	1.77E-06	0.59
BCAS4	NM_017843	Hs.381178	1.77E-06	0.47
SLC26A10	NM_133489	Hs.353207	1.88E-06	0.77
SMC1A	NM_006306	Hs.211602	2.00E-06	0.67
PDGFRB	NM_002609	Hs.76144	2.26E-06	0.59
KIAA1274	AB033100	Hs.300646	2.40E-06	1.01
RBM38	NM_017495	Hs.236361	2.88E-06	0.77
SLIT1	NM_003061	Hs.133466	2.88E-06	0.45
ADRM1	NM_007002	Hs.90107	3.25E-06	0.62
UBE2T	NM_014176	Hs.5199	3.25E-06	0.58
KIFC1	BC000712	Hs.20830	3.25E-06	0.35
MADD	NM_003682	Hs.82548	3.45E-06	0.84
SS18L2	NM_016305	Hs.9774	3.45E-06	0.27
C17ORF67	BC041467	-	3.66E-06	0.78
IL32	NM_004221	Hs.943	3.66E-06	0.71
-	U32597	Hs.384235	3.66E-06	0.71
-	AL833307	Hs.376878	3.88E-06	0.66
TDO2	NM_005651	Hs.183671	4.12E-06	0.99
RFC3	NM_002915	Hs.115474	4.12E-06	0.55
GAL	NM_015973	Hs.278959	4.37E-06	1.3
DCN	NM_001920	Hs.433989	4.37E-06	1.14
MGC45491	NM_153246	Hs.231994	4.37E-06	0.8
RBP1	NM_002899	Hs.101850	4.37E-06	0.58
TH1L	NM_016397	Hs.5184	4.63E-06	0.66
-	AF056437	-	4.63E-06	0.52
CCDC80	AF506819	Hs.356289	4.92E-06	0.73
-	AF075039	Hs.31564	4.92E-06	0.62
ANLN	NM_018685	Hs.62180	4.92E-06	0.54
-	BC040901	-	5.21E-06	0.33
SERTAD3	NM_013368	Hs.169138	5.21E-06	0.29
TPX2	NM_012112	Hs.9329	5.53E-06	0.83
DTL	BC033540	Hs.126774	5.53E-06	0.6
SLC1A3	NM_004172	Hs.75379	5.53E-06	0.57
POLR3A	NM_007055	Hs.249212	5.86E-06	0.3
PSKH2	NM_033126	Hs.336929	6.58E-06	0.92
C14ORF48	NM_152777	Hs.374952	6.58E-06	0.64
AGTRL1	NM_005161	Hs.9305	6.97E-06	0.44
MEIS1	NM_002398	Hs.170177	7.36E-06	0.99
ANXA6	NM_001155	Hs.118796	7.39E-06	0.92
LOC399959	BC040599	-	7.39E-06	0.86
GRIN2C	NM_000835	Hs.36451	7.39E-06	0.45
ITIH2	NM_002216	Hs.75285	8.29E-06	0.82
LOC144097	BC002782	Hs.63405	8.29E-06	0.64
SSNA1	NM_003731	Hs.18528	8.29E-06	0.3
-	AK026367	Hs.287712	8.78E-06	0.97
PDLIM7	NM_005451	Hs.102948	8.78E-06	0.55
CNN2	NM_004368	Hs.169718	8.78E-06	0.52
-	AK001903	Hs.28792	9.30E-06	1.4
B4GALNT4	BQ646410	Hs.148074	9.30E-06	1.39
LOC653820	BM456096	Hs.339665	9.30E-06	0.95
-	AL832060	Hs.126890	9.30E-06	0.67
COMTD1	NM_144589	Hs.355333	9.30E-06	0.44
