Description	GenBank	Additional Functional Information	Swiss-Prot	ln(ratio)	SD
Ribosomal protein S2	AA858970		P27952	?0.61	0.28
ESTs, similar to human splicing factor, arginine/serine-rich 8	AA996595	Alternative splicing of fibronectin, etc	Q12872	?0.43	0.1
ESTs, similar to mouse synaptotagmin 4	AA819815	Ca2+-dependent vesicle trafficking or exocytosis	P40749	?0.41	0.18
ESTs, similar to mouse DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 13 (RNA helicase A)	AI547754	RNA splicing		?0.40	0.12
Protein-L-isoaspartate (D-aspartate) O-methyltransferase	AA997617	Protein repair or degradation	P22062	?0.36	0.1
ESTs, similar to human cytosol aminopeptidase	AA858780	Protein processing and turnover	Q9CPY7	?0.29	0.08
ESTs, similar to rat serine protease MASP3	AA926053		Q8CIR7	?0.28	0.13
ESTs, similar to mouse CDC4 repeat unit-containing protein	AI071697	BLAST matches rat fwd2–protein degradation	Q9QUH1	?0.27	0.08
ESTs, similar to mouse splicing factor, arginine/serine-rich 7	AA957242		Q3R3E9	?0.26	0.12
ESTs, similar to mouse parkin mRNA	BF542359	Ubiquitin-protein ligase	Q9WVS6	?0.25	0.1
Ribosome associated membrane protein 4	AA818368		Q9R2C1	?0.21	0.04
ESTs, similar to rat ribosomal RNA	AA900647			?0.19	0.09
Vesicle-associated membrane protein 5	AA924748	Vesicle trafficking		0.17	0.07
Palmitoyl-protein thioesterase	AA818995	Lysosomal degradation	P45479	0.19	0.09
ESTs, similar to mouse mitochondrial 28S ribosomal protein S25	AA923855		Q9D125	0.23	0.1
Eukaryotic initiation factor 5 (elF-5)	AA997210	Translation initiation	Q07205	0.24	0.11
ESTs, similar to yeast vacuolar protein sorting 26	AA924448		O75436	0.27	0.06
ESTs, similar to mouse eukaryotic translation initiation factor 2	AA819442	Translation initiation	Q9Z0N1	0.27	0.11
ubc2e ubiquitin conjugating enzyme (E217kB)	AA955475	Protein degradation	P70711	0.27	0.1
ESTs, similar to rat alpha-2-macroglobulin precursor	AA900290	Trapping of major proteinase	P06238	0.28	0.09
ESTs, similar to human deoxyhypusine synthase	AA925151	Initiation factor 5A modification	P49366	0.3	0.13
ESTs, similar to human WW domain binding protein 11	AA956713	Nuclear protein binding	Q9Y2W2	0.32	0.1
unr protein	AA964605	RNA binding, translational initiation	P18395	0.33	0.01
ESTs, similar to human Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1	AA924964	Protein trafficking	Q92538	0.34	0.17
Adaptor protein complex AP-1, beta 1 subunit	AA957995	Protein sorting	P52303	0.35	0.17
ESTs, similar to mouse ubiquitin carboxyl-terminal hydrolase 23	AA963455	Remove ubiquitin from protein-yielding a thiol		0.35	0.05
ERM-binding phosphoprotein	AA957976	Cytoskeleton, protein trafficking	Q9JJ19	0.37	0.12
ESTs, similar to rat ubiquitin-ligase Nedd4	AA957260	Ubiquitin conjugation	Q62940	0.38	0.15
Protein-L-isoaspartate (D-aspartate) O-methyltransferase	AA901276	Repair or degrade damaged proteins	P22062	0.39	0.16
eukaryotic initiation factor 5 (elF-5)	AA923836	Translation initiation	Q07205	0.4	0.1
aspartyl-tRNA synthetase	AA858763	Translation	P15178	0.42	0.18
ESTs, similar to mouse splicing factor, arginine/serine-rich 1	AA819367		Q07955	0.44	0.11
ESTs, similar to human mRNA-associated protein mrnp 41	AI029703	mRNA transport and attachment	P78406	0.45	0.18
ESTs, similar to mouse RAB18, member RAS oncogene family	AA819494	Endocytosis	P35293	0.46	0.22
ESTs, similar to mouse synaptosomal-associated protein	AA996892	Vesicle trafficking		0.46	0.21
Serine (or cysteine) proteinase inhibitor, clade B, member 5	AA875346	Serpin family	Q8WW89	0.47	0.17
ESTs, similar to mouse protein translation factor SUI1	AA899335		P48024	0.48	0.23
RAB11a, member RAS oncogene family	AA963374	Endosomal trafficking	P24410	0.49	0.18
Protein-L-isoaspartate (D-aspartate) O-methyltransferase	AA900410	Repair or degrade damaged proteins	P22062	0.51	0.18
ESTs, similar to mouse ARL-6 interacting protein-1	AA900292	Protein trafficking	Q9JKW0	0.51	0.25
ESTs, similar to mouse 26S proteasome-associated pad1 homolog	AI043800	Proteasome		0.53	0.26
ESTs, similar to mouse archain 1, mRNA	AA963606	Golgi vesicle traficking	Q8C0G7	0.53	0.19
Ribosomal protein L14	AA874811		Q63507	0.54	0.11
ESTs, similar to mouse 26S proteasome regulatory subunit S3	AA964001	Degradation of ubiquitinated proteins	O43242	0.56	0.27
Ubiquitin-conjugating enzyme E2D 3 (homologous to yeast UBC4/5)	AA900426	Protein degradation	P47986	0.59	0.2
ZAP 36/annexin IV	AI059765	Exocytosis	P55260	0.63	0.23
ESTs	AA963305	Proteasome		0.65	0.21
ESTs, similar to mouse vacuolar protein sorting 29	AA819445	Protein sorting	Q9QZ88	0.67	0.17
staufen (Drosophila, RNA-binding protein)	AA956589	Positioning mRNA and stimulating translation	O95793	0.73	0.16
RAB2, member RAS oncogene family	AA899406	Protein sorting	P05712	0.88	0.32
RAB7, member RAS oncogene family	AA818669	Protein transport	P09527	0.89	0.28
ESTs, similar to mouse eukaryotic translation initiation factor 4B	AA997766	Translation initiation	P23588	0.92	0.12
ADP-ribosylation factor 4	AI454367	Protein trafficking	P36403	1.56	0.27
Polypyrimidine tract binding protein	AA900117	Pre-mRNA splicing	Q00438	1.61	0.15
