probe set	Gene Symbol	Entrez Gene ID	Cytoband	p-value
228450_at	PLEKHA7	144100	11p15.1	0.000316
203837_at	MAP3K5	4217	6q22.33	0.000869
218781_at	SMC6	79677	2p24.2	0.001003
205987_at	CD1C	911	1q22-q23	0.001079
203836_s_at	MAP3K5	4217	6q22.33	0.001152
209143_s_at	CLNS1A	1207	11q13.5-q14	0.0015
236535_at	SMC6	79677	2p24.2	0.002136
221923_s_at	NPM1	4869	5q35	0.002173
1553974_at	C22orf39 / HIRA	128977 / 7290	22q11.21 / 22q11.2|22q11.21	0.002428
201326_at	CCT6A	908	7p11.2	0.00273
202854_at	HPRT1	3251	Xq26.1	0.003504
223294_at	CXorf26	51260	Xq13.3	0.00351
214097_at	RPS21	6227	20q13.3	0.00384
224022_x_at	WNT16	51384	7q31	0.004716
226284_at	ZBTB2	57621	6q25.1	0.004937
209759_s_at	DCI	1632	16p13.3	0.005454
224800_at	WDFY1	57590	2q36.1	0.005673
214149_s_at	ATP6V0E1	8992	5q35.2	0.005964
211675_s_at	MDFIC	29969	7q31.1-q31.2	0.006116
202962_at	KIF13B	23303	8p12	0.00635
228286_at	GEN1	348654	2p24.2	0.007125
231093_at	FCRL3	115352	1q21-q22	0.007401
207641_at	TNFRSF13B	23495	17p11.2	0.007505
33778_at	TBC1D22A	25771	22q13.3	0.007632
239287_at				0.008325
229937_x_at	LILRB1	10859	19q13.4	0.010364
213106_at	ATP8A1	10396	4p14-p12	0.010413
220118_at	ZBTB32	27033	19q13.1	0.010554
222446_s_at	BACE2	25825	21q22.3	0.010878
200788_s_at	PEA15	8682	1q21.1	0.011291
224945_at	BTBD7	55727	14q32.12	0.011624
216699_s_at	KLK1	3816	19q13.3	0.011853
204866_at	PHF16	9767	Xp11.23	0.012343
209650_s_at	TBC1D22A	25771	22q13.3	0.012508
226106_at	RNF141	50862	11p15.4	0.012788
212998_x_at	HLA-DQB1 / LOC100294318	100294318 / 3119	6p21.3	0.012825
204521_at	C12orf24	29902	12q24.11	0.013175
219802_at	PYROXD1	79912	12p12.1	0.014666
225639_at	SKAP2	8935	7p21-p15	0.014769
217962_at	NOP10	55505	15q14-q15	0.015777
229437_at	MIR155HG	114614		0.015854
219007_at	NUP43	348995	6q25.1	0.016027
225002_s_at	SUMF2	25870	7q11.1	0.016385
221593_s_at	RPL31	6160	2q11.2	0.01642
211284_s_at	GRN	2896	17q21.32	0.016782
205139_s_at	UST	10090	6q25.1	0.016959
223493_at	FBXO4	26272	5p12	0.017429
210313_at	LILRA4	23547	19q13.4	0.017774
223640_at	HCST	10870	19q13.1	0.018578
228745_at	SGTB	54557	5q12.3	0.018678
210017_at	MALT1	10892	18q21	0.019033
209683_at	FAM49A	81553	2p24.2	0.01943
201651_s_at	PACSIN2	11252	22q13.2-q13.33	0.019445
226878_at	HLA-DOA	3111	6p21.3	0.019595
37004_at	SFTPB	6439	2p12-p11.2	0.020561
221434_s_at	C14orf156	81892	14q24.3	0.021763
201944_at	HEXB	3074	5q13	0.022261
201137_s_at	HLA-DPB1	3115	6p21.3	0.022563
219551_at	EAF2	55840	3q13.33	0.023904
224713_at	MKI67IP	84365	2q14.3	0.024368
213241_at	PLXNC1	10154	12q23.3	0.024492
209806_at	HIST1H2BK	85236	6p21.33	0.024778
227987_at	VPS13A	23230	9q21	0.024849
1552584_at	IL12RB1	3594	19p13.1	0.025155
204774_at	EVI2A	2123	17q11.2	0.026473
203322_at	ADNP2	22850	18q23	0.026561
227607_at	STAMBPL1	57559	10q23.31	0.027741
227606_s_at	STAMBPL1	57559	10q23.31	0.028614
204175_at	ZNF593	51042	1p36.11	0.029072
242931_at	LONRF3	79836	Xq24	0.029375
219486_at	DUS2L	54920	16q22.1	0.029653
223027_at	SNX9	51429	6q25.1-q26	0.0298
219622_at	RAB20	55647	13q34	0.029862
223391_at	SGPP1	81537	14q23.2	0.030083
236280_at				0.030365
216041_x_at	GRN	2896	17q21.32	0.030384
209250_at	DEGS1	8560	1q42.11	0.030483
230276_at	FAM49A	81553	2p24.2	0.030737
200947_s_at	GLUD1	2746	10q23.3	0.030805
202934_at	HK2	3099	2p13	0.031007
229958_at	CLN8	2055	8p23	0.031284
203152_at	MRPL40	64976	22q11.21	0.031747
205013_s_at	ADORA2A / CYTSA	135 / 23384	22q11.23	0.031764
217867_x_at	BACE2	25825	21q22.3	0.032116
216321_s_at	NR3C1	2908	5q31.3	0.032237
225684_at	SKA2	348235	17q22	0.03275
200678_x_at	GRN	2896	17q21.32	0.033437
201964_at	SETX	23064	9q34.13	0.034324
238559_at				0.035124
212585_at	OSBPL8	114882	12q14	0.03643
213831_at	HLA-DQA1	3117	6p21.3	0.0373
225750_at				0.03743
39817_s_at	C6orf108	10591	6p21.1	0.037831
204118_at	CD48	962	1q21.3-q22	0.038246
204159_at	CDKN2C	1031	1p32	0.038605
206082_at	HCP5	10866	6p21.3	0.038778
204097_s_at	RBMX2	51634	Xq26.1	0.038804
224724_at	SULF2	55959	20q12-q13.2	0.038812
218597_s_at	CISD1	55847	10q21.1	0.039986
227877_at	C5orf39	389289	5p12	0.040066
236539_at	PTPN22	26191	1p13.3-p13.1	0.040081
205789_at	CD1D	912	1q22-q23	0.041176
218184_at	TULP4	56995	6q25-q26	0.041476
1560156_at				0.041675
224719_s_at	C12orf57	113246	12p13.31	0.042388
209470_s_at	GPM6A	2823	4q34	0.045249
226748_at	LYSMD2	256586	15q21.2	0.045572
235422_at				0.045731
218654_s_at	MRPS33	51650	7q32-q34	0.046248
201923_at	PRDX4	10549	Xp22.11	0.046347
225615_at	IFFO2	126917	1p36.13	0.048381
241278_at				0.048542
205307_s_at	KMO	8564	1q42-q44	0.049052
