Gene name	GeneBank ID	Treatment variant Untreated	Treatment variant MTX48	Treatment variant R96
CCND2	NM_001759	1.93 +/- 0.05	2.63 +/- 0.14 (-/1.4)	6.09 +/- 0.61 (3.6/3.2)
CDKN1A	NM_000389	3.25 +/- 0.21	28.03 +/- 1.52 (4.2/8.6)	28.75 +/- 0.19 (6.2/8.9)
GADD45A	NM_001924	0.70 +/- 0.062	4.31 +/- 0.10 (4.5/6.2)	2.21 +/- 0.09 (2.4/3.2)
IL1R2	NM_004633	0.20 +/- 0.023	0.45 +/- 0.010 (2.4/2.3)	0.33 +/- 0.019 (1.4/1.7)
IL1RN	NM_173842	0.14 +/- 0.001	5.05 +/- 0.41 (3.6/36)	5.35 +/- 0.21 (3.0/38)
IRF1	NM_002198	0.47 +/- 0.022	1.82 +/- 0.07 (1.7/3.9)	2.08 +/- 0.09 (2.3/4.4)
ITGB4	NM_000213	0.53 +/- 0.052	1.40 +/- 0.01 (1.8/2.6)	0.77 +/- 0.006 (1.7/1.5)
MAP2K4	NM_003010	0.51 +/- 0.03	0.75 +/- 0.026 (-/1.5)	0.70 +/- 0.054 (1.9/1.4)
MAPK11	NM_002751	0.43 +/- 0.018	1.37 +/- 0.09 (1.8/3.2)	0.96 +/- 0.017 (1.5/2.2)
MDM2	NM_006879, NM_002392	1.54 +/- 0.16	8.28 +/- 0.28 (2.3/5.4; 1.6/5.4)	4.79 +/- 0.21 (1.6/3.1)
MICB	NM_05931	0.23 +/- 0.020	0.80 +/- 0.018 (2.4/3.5)	0.35 +/- 0.013 (2.0/1.5)
NOS2A	NM_000625	undetected	1.63 +/- 0.09 (2.0/ )	16.60 +/- 1.86 (10/ )
NOS3	NM_000603	0.11 +/- 0.009	20.62 +/- 0.65 (1.5/188)	6.89 +/- 0.05 (1.3/63)
PDGFA	NM_002607	0.24 +/- 0.013	4.72 +/- 0.47 (4.7/20)	2.15 +/- 0.10 (6.2/9.0)
PLA2G4C	NM_003706	0.48 +/- 0.061	2.21 +/- 0.28 (1.9/4.6)	1.73 +/- 0.07 (1.8/3.6)
PSMB8	NM_004159	0.83 +/- 0.053	2.31 +/- 0.22 (1.4/2.8)	2.00 +/- 0.12 (1.8/2.4)
RHOF	NM_019034	0.75 +/- 0.070	3.08 +/- 0.18 (3.6/4.1)	2.38 +/- 0.09 (2.3/3.2)
RRAS	NM_006270	0.29 +/- 0.014	0.49 +/- 0.011 (1.6/1.7)	0.25 +/- 0.014 (-/0.9)
STAT1	NM_007315	0.67 +/- 0.062	3.69 +/- 0.05 (1.9/5.5)	2.76 +/- 0.12 (1.9/4.1)
TP53	NM_000546	1.81 +/- 0.07	1.46 +/- 0.08 (-/0.8)	1.03 +/- 0.04 (-/0.6)
UBD	NM_006398	0.34 +/- 0.025	1.14 +/- 0.011 (-/3.4)	39.90 +/- 1.47 (25.2/117)
VCL	NM_014000	3.30 +/- 0.30	5.06 +/- 0.25 (-/1.5)	4.55 +/- 0.06 (2.3/1.4)
