FDR	Chr	Start	End	Ensembl Id	Gene Biotype	External gene Id	Strand	Start position	End Position	Relative peak position	Distance to TSR	Shortest distance	BL41 CHiP	Blue1 ChIP	CA46 ChIP
8.43555E-25	chr7	4681590	4681890	ENSG00000164916	protein_coding	FOXK1	+	4683388	4811074	upstream	-1798	1498	557	102	64
2.71711E-23	chr13	92001234	92001534	ENSG00000215417	miRNA	MIR17HG (mir-17-92)	+	92000074	92006833	inside	1160	1160	416	62	230
2.48498E-21	chr20	17949135	17949435	ENSG00000125871	protein_coding	C20orf72	+	17949556	17971765	upstream	-421	121	305	116	71
3.05733E-20	chr5	154134366	154134666	ENSG00000241187	pseudogene	CTC-209L16.1	+	154108791	154109254	downstream	25575	25112	292	94	78
1.09672E-19	chr17	49230786	49231086	ENSG00000239672	protein_coding	NME1	+	49230897	49239789	overlapStart	-111	111	403	71	87
1.3913E-19	chr7	2394308	2394608	ENSG00000106266	protein_coding	SNX8	-	2294638	2393953	upstream	-355	355	321	51	36
2.28336E-19	chr17	61851055	61851355	ENSG00000108588	protein_coding	CCDC47	-	61822611	61851088	overlapStart	33	33	174	41	62
2.28336E-19	chr17	42147906	42148206	ENSG00000141349	protein_coding	G6PC3	+	42148118	42153712	overlapStart	-212	88	148	60	73
6.99392E-19	chr19	1864119	1864419	ENSG00000129911	protein_coding	KLF16	-	1852398	1863564	upstream	-555	555	181	71	47
6.99392E-19	chr8	145733899	145734199	ENSG00000167700	protein_coding	MFSD3	+	145734463	145736579	upstream	-564	264	380	38	35
8.11891E-19	chr15	93352440	93352740	ENSG00000235913	protein_coding	AC_106028.2	+	93338877	93339786	downstream	13563	12654	336	30	54
9.43741E-19	chr1	33282786	33283086	ENSG00000116497	protein_coding	S100PBP	+	33283043	33324476	overlapStart	-257	43	323	58	78
2.6054E-18	chr16	4321232	4321532	ENSG00000090447	protein_coding	TFAP4	-	4307187	4323001	inside	1769	1469	198	64	50
2.62851E-18	chr11	60609394	60609694	ENSG00000110104	protein_coding	CCDC86	+	60609429	60618561	overlapStart	-35	35	244	68	36
3.40639E-18	chr3	183967177	183967477	ENSG00000214160	protein_coding	ALG3	-	183960089	183967336	overlapStart	159	141	211	45	34
4.81054E-18	chr20	37063711	37064011	ENSG00000196756	processed_transcript	RP4-564F22.2	-	37049235	37063996	overlapStart	285	15	212	89	72
