No.	Probe.set.ID	Gene.symbol	UniGene.ID	zScore	P value	Direction
1	219306_at	KIF15	Hs.646856	?5.36	<0.0001	Up
2	218585_s_at	DTL	Hs.656473	?5.14	<0.0001	Up
3	221677_s_at	DONSON	Hs.436341	?5.06	0.0013	Up
4	201088_at	KPNA2	Hs.594238	?4.97	0.001	Up
5	209034_at	PNRC1	Hs.75969	4.97	0.0008	Down
6	202610_s_at	MED14	Hs.407604	?4.90	0.0007	Up
7	218906_x_at	KLC2	Hs.280792	?4.83	0.0023	Up
8	212723_at	JMJD6	Hs.514505	?4.70	0.005	Up
9	222231_s_at	LRRC59	Hs.370927	?4.63	0.0062	Up
10	208838_at	CAND1	Hs.546407	?4.63	0.0056	Up
11	218039_at	NUSAP1	Hs.615092	?4.60	0.0055	Up
12	209472_at	CCBL2	Hs.481898	4.6	0.005	Down
13	212898_at	KIAA0406	Hs.655481	?4.60	0.0052	Up
14	202620_s_at	PLOD2	Hs.477866	?4.58	0.0049	Up
15	201059_at	CTTN	Hs.596164	?4.58	0.0048	Up
16	201841_s_at	HSPB1	Hs.520973	?4.56	0.0048	Up
17	203755_at	BUB1B	Hs.631699	?4.54	0.0047	Up
18	211750_x_at	TUBA1C	Hs.719091	?4.53	0.0044	Up
19	38158_at	ESPL1	Hs.153479	?4.52	0.0042	Up
20	204709_s_at	KIF23	Hs.270845	?4.51	0.0042	Up
21	201589_at	SMC1A	Hs.211602	?4.47	0.004	Up
22	218460_at	HEATR2	Hs.535896	?4.44	0.0044	Up
23	207430_s_at	MSMB	Hs.255462	?4.43	0.0045	Up
24	212139_at	GCN1L1	Hs.298716	?4.42	0.0045	Up
25	211596_s_at	LRIG1	Hs.518055	4.4	0.0045	Down
26	212160_at	XPOT	Hs.85951	?4.40	0.0045	Up
27	219238_at	PIGV	Hs.259605	4.4	0.0043	Down
28	203432_at	TMPO	Hs.11355	?4.35	0.0047	Up
29	201377_at	UBAP2L	Hs.490551	?4.34	0.0052	Up
30	218875_s_at	FBXO5	Hs.520506	?4.33	0.0052	Up
31	221922_at	GPSM2	Hs.584901	?4.32	0.005	Up
32	218727_at	SLC38A7	Hs.10499	?4.27	0.006	Up
33	207469_s_at	PIR	Hs.495728	?4.27	0.0058	Up
34	218483_s_at	C11orf60	Hs.533738	4.26	0.0056	Down
35	204641_at	NEK2	Hs.153704	?4.26	0.0058	Up
36	219502_at	NEIL3	Hs.405467	?4.25	0.0058	Up
37	209054_s_at	WHSC1	Hs.113876	?4.24	0.0061	Up
38	220318_at	EPN3	Hs.670090	?4.24	0.0061	Up
39	210297_s_at	MSMB	Hs.255462	?4.23	0.0061	Up
40	209186_at	ATP2A2	Hs.506759	?4.23	0.0059	Up
41	219787_s_at	ECT2	Hs.518299	?4.18	0.0077	Up
42	45633_at	GINS3	Hs.47125	?4.18	0.0075	Up
43	200848_at	AHCYL1	Hs.705418	4.18	0.0075	Down
44	200822_x_at	TPI1	Hs.524219	?4.18	0.0075	Up
45	211072_x_at	TUBA1B	Hs.719075	?4.16	0.0077	Up
46	200811_at	CIRBP	Hs.634522	4.16	0.0076	Down
47	202864_s_at	SP100	Hs.369056	4.14	0.0083	Down
48	202154_x_at	TUBB3	Hs.511743	?4.13	0.0083	Up
49	213152_s_at	SFRS2B	Hs.476680	4.11	0.0093	Down
50	209368_at	EPHX2	Hs.212088	4.09	0.0101	Down
51	211058_x_at	TUBA1B	Hs.719075	?4.09	0.01	Up
52	209251_x_at	TUBA1C	Hs.719091	?4.08	0.01	Up
53	213646_x_at	TUBA1B	Hs.719075	?4.08	0.0098	Up
54	204540_at	EEF1A2	Hs.433839	?4.07	0.0101	Up
55	202026_at	SDHD	Hs.719164	4.06	0.0101	Down
56	201090_x_at	TUBA1B	Hs.719075	?4.06	0.0101	Up
57	213119_at	SLC36A1	Hs.269004	?4.05	0.0101	Up
58	217840_at	DDX41	Hs.484288	?4.04	0.0102	Up
59	206559_x_at	EEF1A1		4.03	0.0106	Down
60	202066_at	PPFIA1	Hs.530749	?4.03	0.0105	Up
61	203108_at	GPRC5A	Hs.631733	?4.02	0.0108	Up
62	218697_at	NCKIPSD	Hs.655006	?4.02	0.011	Up
63	222039_at	KIF18B	Hs.135094	?3.99	0.0126	Up
64	202069_s_at	IDH3A	Hs.591110	?3.99	0.0124	Up
65	203362_s_at	MAD2L1	Hs.591697	?3.98	0.0124	Up
66	202666_s_at	ACTL6A	Hs.435326	?3.97	0.0126	Up
67	204892_x_at	EEF1A1	Hs.520703	3.96	0.0134	Down
68	205682_x_at	APOM	Hs.534468	3.95	0.0137	Down
69	209714_s_at	CDKN3	Hs.84113	?3.95	0.0136	Up
70	218381_s_at	U2AF2	Hs.528007	?3.94	0.0136	Up
71	201947_s_at	CCT2	Hs.189772	?3.94	0.0135	Up
72	212722_s_at	JMJD6	Hs.514505	?3.94	0.0137	Up
73	204825_at	MELK	Hs.184339	?3.93	0.0136	Up
74	203184_at	FBN2	Hs.519294	?3.93	0.0139	Up
75	201266_at	TXNRD1	Hs.708065	?3.93	0.0137	Up
76	202969_at	DYRK2	Hs.173135	?3.92	0.014	Up
77	204817_at	ESPL1	Hs.153479	?3.90	0.015	Up
78	209523_at	TAF2	Hs.122752	?3.90	0.0148	Up
79	218491_s_at	THYN1	Hs.13645	3.9	0.0146	Down
80	217363_x_at			3.89	0.0149	Down
