UGCluster	Gene Symbol	CloneID	probeset	p-value(Platform  Prognosis)
Hs.293798	ZNF436	196824	226114_at_B	4.54E-07
Hs.473838	DSCR2	843224	203405_at_A	7.18E-07
Hs.632368	EXOSC10	841179	207541_s_at_A	4.61E-06
Hs.410965	DGCR6	471266	208024_s_at_A	7.57E-06
Hs.154276	BACH1	1638852	234315_at_B	1.09E-05
Hs.200016	NUDT11	53162	219855_at_A	1.34E-05
Hs.591704	BTC	1535554	207326_at_A	1.53E-05
Hs.522699	COX7B	35612	202110_at_A	2.16E-05
Hs.442291	LOC345222	1751293	237434_x_at_B	2.50E-05
Hs.525752	KLF13	251529	225390_s_at_B	2.62E-05
Hs.472564	C20orf52	1635665	224972_at_B	3.34E-05
Hs.437072	CNIH2	32226	230070_at_B	3.35E-05
Hs.505806	PBXIP1	366042	212259_s_at_A	3.44E-05
Hs.83190	FASN	179276	212218_s_at_A	3.70E-05
Hs.206770	ZBTB22	49319	213081_at_A	4.37E-05
Hs.109212	KLHL17	190915	229792_at_B	4.39E-05
Hs.128330	---	1586060	236411_at_B	4.42E-05
Hs.521568	GCNT1	2800783	239761_at_B	4.80E-05
Hs.189716	NDUFAB1	782635	202077_at_A	5.67E-05
Hs.555978	RABEP2	342158	77508_r_at_A	6.19E-05
Hs.513984	FLII	826204	212025_s_at_A	7.41E-05
Hs.512767	DKFZP761H1710	124143	221273_s_at_A	9.25E-05
Hs.379754	LOC340061	81662	224916_at_B	9.53E-05
Hs.417628	CRHR1	44692	208593_x_at_A	0.000106586
Hs.7036	NAGK	2511663	218231_at_A	0.000107878
Hs.632380	GALE	711768	202528_at_A	0.000151759
Hs.544767	---	251417	243989_at_B	0.000189463
Hs.534334	NOL1	280970	214427_at_A	0.000190984
Hs.410830	C21orf70	1557018	243750_x_at_B	0.0001927
Hs.24054	JAGN1	1636756	223104_at_B	0.000194335
Hs.73677	RFX1	611964	226786_at_B	0.000197967
Hs.534870	---	1502186	239081_at_B	0.000204763
Hs.367690	C15orf17	195346	224798_s_at_B	0.00021968
Hs.90280	ATIC	449020	208758_at_A	0.000223524
Hs.279761	CHMP4A	76252	218572_at_A	0.000255838
Hs.508958	STXBP6	788524	220995_at_A	0.000285238
Hs.523718	SFN	2027515	33322_i_at_A	0.000287124
Hs.104134	HMX1	2017947	207353_s_at_A	0.000300168
Hs.507290	KARCA1	795851	227582_at_B	0.000303173
Hs.534375	B3GALT4	1601661	210205_at_A	0.000304245
Hs.129711	HAVCR1	2779608	207052_at_A	0.000309808
Hs.104650	FLJ10292	1664710	222776_at_B	0.00031552
Hs.591803	C6orf142	251769	235377_at_B	0.000343315
Hs.469316	LOC643085	207275	229224_x_at_B	0.000401426
Hs.244590	BTBD3	866633	243462_s_at_B	0.000406624
Hs.201918	HIPK3	1580803	207764_s_at_A	0.000463301
Hs.249718	EIF4E	1580219	201437_s_at_A	0.000487709
Hs.143873	S100A10	756595	238909_at_B	0.000499164
Hs.589427	PCOLN3	261971	201933_at_A	0.000519157
Hs.522615	NDP	878835	206022_at_A	0.000608928
Hs.109059	MRPL12	1636069	203931_s_at_A	0.000620437
Hs.372840	APBB1	184022	202652_at_A	0.000636672
Hs.465818	ADAMTS10	2760176	230341_x_at_B	0.000661722
Hs.7884	SLCO2B1	2491247	211557_x_at_A	0.000664768
Hs.86970	C8orf53	1466942	227836_at_B	0.000679764
Hs.590939	TFPT	1605473	218996_at_A	0.000688456
Hs.269571	MYCNOS	1031203	216188_at_A	0.000689978
Hs.596918	GABPB2	1557288	227406_at_B	0.000735758
Hs.133534	KSR1	1636511	235252_at_B	0.00075609
Hs.505337	CLDN5	243181	204482_at_A	0.000758694
Hs.103315	ZNF384	588559	212369_at_A	0.000792367
Hs.526975	LARS2	172495	34764_at_A	0.00086895
Hs.26550	RXRG	358433	205954_at_A	0.000880736
Hs.534342	RNF5	2557375	209111_at_A	0.000972887
Hs.73739	HTR7	46611	236281_x_at_B	0.000982293
Hs.73986	CLK2	713080	203229_s_at_A	0.000991503
Hs.437957	Magmas	502277	218969_at_A	0.000992242
Hs.25040	ZNF239	2324268	206261_at_A	0.00100944
Hs.527909	EDG7	784200	220816_at_A	0.00104979
Hs.193557	---	767164	242321_at_B	0.00106155
Hs.65734	ARNTL	50519	210971_s_at_A	0.00106632
Hs.593575	---	858375	229351_at_B	0.00110962
Hs.586945	---	1688746	238442_at_B	0.00111697
Hs.31210	BCL3	755923	204908_s_at_A	0.00112043
Hs.514038	FLOT2	156386	211299_s_at_A	0.00114366
Hs.198003	SARDH	1870053	210862_s_at_A	0.00114543
Hs.273621	CNP	46786	208912_s_at_A	0.00115361
Hs.513726	GBP5	841492	229625_at_B	0.0011609
Hs.326941	SCIN	240430	222272_x_at_A	0.00116955
Hs.90875	RABIF	360168	204477_at_A	0.00117244
Hs.123116	SLC12A1	1553719	220281_at_A	0.00121199
Hs.45002	RAC3	281978	206103_at_A	0.00121744
Hs.505924	HMGA2	261204	208025_s_at_A	0.00125147
Hs.489354	MUC3B	2229550	217117_x_at_A	0.00127737
Hs.524496	C1orf113	769002	220193_at_A	0.00131056
Hs.310893	CSDC2	51221	209981_at_A	0.00131058
Hs.503716	DCUN1D5	625933	223151_at_B	0.00137811
Hs.134726	C18orf24	564981	217640_x_at_A	0.00142054
Hs.632415	PLK3	825080	215462_at_A	0.00145432
Hs.281707	PUM1	229969	201165_s_at_A	0.00155902
Hs.143751	MMP11	487296	203878_s_at_A	0.00160134
Hs.111732	FCGBP	154172	203240_at_A	0.00164612
Hs.523080	C10orf56	489509	212419_at_A	0.00166941
Hs.79033	QPCT	711918	205174_s_at_A	0.0017007
Hs.490394	TAS2R5	815110	231757_at_B	0.00170334
Hs.380704	FGF11	49284	227271_at_B	0.00175473
Hs.517029	C20orf102	192419	226973_at_B	0.00178436
Hs.98367	SOX17	770979	219993_at_A	0.00178985
Hs.128292	---	1637316	230960_at_B	0.00189156
Hs.501898	MRVI1	323780	224550_s_at_B	0.00192401
Hs.118400	FSCN1	2566856	201564_s_at_A	0.00198235
Hs.191215	PSCD1	814546	202879_s_at_A	0.00200133
Hs.160550	SLC43A2	135654	228918_at_B	0.00201623
Hs.327179	SLC17A3	1323539	207298_at_A	0.00204119
Hs.582050	THAP9	1845627	230185_at_B	0.00204277
Hs.467862	KIAA1240	39574	232908_at_B	0.00204481
Hs.11042	PDZD11	810402	223037_at_B	0.00212046
Hs.538438	LOC653468	487938	243937_x_at_B	0.00216299
Hs.235795	LOC643424	413089	229635_at_B	0.00217257
Hs.95260	FAM8A1	2312236	203420_at_A	0.00220256
Hs.367833	SLC28A2	1416142	216432_at_A	0.0022158
Hs.220529	CEACAM5	586706	201884_at_A	0.00229044
Hs.288382	C16orf56	773284	218148_at_A	0.0022924
Hs.591336	SESN1	813584	218346_s_at_A	0.00231147
Hs.531254	LRRIQ1	279826	223817_at_B	0.00237437
Hs.443140	LOC201181	32782	241383_at_B	0.0024119
Hs.591536	RSC1A1	151251	214583_at_A	0.00251805
Hs.284232	PLEKHG5	136317	227142_at_B	0.00252084
Hs.98967	ATP6V0A4	1917784	220197_at_A	0.00256873
Hs.71428	C9orf18	743481	229976_at_B	0.00259936
Hs.150557	KLF9	302549	203543_s_at_A	0.00268543
Hs.591158	ART4	1715418	207220_at_A	0.00270206
Hs.88045	---	1625160	230312_at_B	0.00270588
Hs.489786	CFTR	2498575	234702_x_at_B	0.0027061
Hs.254113	POLRMT	827129	203783_x_at_A	0.00279353
Hs.303870	KCNC1	1859326	208477_at_A	0.00283522
Hs.445534	PER1	120108	202861_at_A	0.00295769
Hs.515340	LRP3	2018820	204381_at_A	0.00297396
Hs.23033	UBE2Q2	2507980	224747_at_B	0.00306373
Hs.524953	KL	897271	205978_at_A	0.00309471
Hs.591088	IL11RA	811920	204773_at_A	0.00314535
Hs.596942	---	280381	244389_at_B	0.00314854
Hs.33102	TFAP2B	363144	215686_x_at_A	0.00318807
Hs.158852	LMAN2L	842851	221274_s_at_A	0.00321999
Hs.436061	IRF1	740476	202531_at_A	0.0034116
Hs.94107	GSTA2	248545	242478_at_B	0.00346223
Hs.503048	IGHMBP2	1569465	31861_at_A	0.00346758
Hs.476306	WDR51A	462333	234749_s_at_B	0.00346913
Hs.521651	STMN2	2306752	203001_s_at_A	0.00348316
Hs.526920	RTDR1	52802	229977_at_B	0.00350156
Hs.534052	ZFP36	23804	201531_at_A	0.00362276
Hs.415172	RABL4	431632	205037_at_A	0.00363469
Hs.525006	NUFIP1	240223	205135_s_at_A	0.00364875
Hs.479396	RBPSUH	129725	229540_at_B	0.0036757
Hs.4276	BHLHB9	26259	213709_at_A	0.00370192
Hs.584852	MAB21L2	866660	210302_s_at_A	0.00378539
Hs.534513	FLJ20021	269820	228832_at_B	0.00379927
Hs.513530	TGFB1I1	811848	209651_at_A	0.00380735
Hs.435302	ZNF3	511814	219605_at_A	0.00383719
Hs.363087	FLJ12684	45629	219987_at_A	0.00400395
Hs.19193	LOC400043	796495	226582_at_B	0.00401599
Hs.131810	---	1655450	230256_at_B	0.00402004
Hs.631562	PLA2G4C	2556649	209785_s_at_A	0.00404735
Hs.494648	TEX10	824847	218104_at_A	0.00414888
