Gene name	Description	Entrez Gene ID	ANOVA p-value	Mma20  fold change	Mma20 p-value	E11     fold change	E11       p-value
abcb3	ATP-binding cassette, sub-family B (MDR/TAP), member 3	368771	1.17E-11	-1.39	0.00297	2.97	2.79E-16
accn2c	Amiloride-sensitive cation channel 2 c	407670	2.11E-06	1.31	0.04869	2.66	0
add3	Adducin 3 (gamma)	556762	5.95E-12	-1.01	0.90859	3.13	1.29E-26
aldh1a2	Aldehyde dehydrogenase 1 family, member A2	116713	0.00327	1.33	4.98E-08	1.72	4.48E-21
alp	Alkaline phosphatase	393982	2.00E-07	-1.13	0.21329	1.61	4.34E-19
ankh	Ankylosis, progressive homolog	323738	5.07E-15	-1.24	8.77E-09	1.54	1.95E-17
apaf1	Apoptotic protease activating factor	692269	0.00881	1.34	0.00004	1.86	9.37E-13
apnl	Actinoporin-like protein	336963	5.07E-15	-12.16	1.04E-28	1.57	0.00467
apom	Apolipoprotein M	114409	5.55E-09	-1.02	0.68266	1.67	1.20E-22
arntl2	Aryl hydrocarbon receptor nuclear translocator-like 2	58099	3.36E-13	-1.76	0.02077	3.23	0
atf4	Activating transcription factor 4 (tax-responsive enhancer element B67)	406514	0.00192	1.23	0.00002	1.61	6.07E-12
atf7b	Activating transcription factor 7b	568197	0.00015	1.23	0.0026	1.83	3.18E-22
bcl6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	393707	0.0023	1.31	0.00557	1.99	1.10E-18
bmp2k	BMP2 inducible kinase	494101	1.17E-07	-1.02	0.80117	1.85	2.24E-18
bmpr2b	Bone morphogenetic protein receptor, type II b (serine/threonine kinase)	555655	1.74E-06	1.2	0.00007	1.86	1.48E-18
bsk146	Brain specific kinase 146	405767	0.00761	1.05	0.77272	1.81	1.77E-09
camk2ga	Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma a	558989	0.00903	-1	1	2.07	1.20E-07
cd81	CD81 antigen	58031	0.00031	1.15	0.23684	1.85	5.18E-21
cda	Cytidine deaminase	402979	1.74E-07	-5.6	1.19E-11	1.75	0.04427
cdx1a	Caudal type homeo box transcription factor 1 a	405762	0.00002	1.2	0.3603	4.82	1.41E-14
CH211-214J8.8	Similar to Kenae	565477	0.00001	-1.21	0.08258	1.73	4.51E-08
chrngl	Cholinergic receptor, nicotinic, gamma like	325080	0.00007	-1.04	0.75152	2.03	5.62E-09
clock3	Clock homolog 3 (mouse)	352927	3.02E-10	1	0.96976	2.27	9.95E-36
cltc	Clathrin, heavy polypeptide (Hc)	323579	0.00028	1.07	0.26573	1.57	1.67E-09
cnot6	CCR4-NOT transcription complex, subunit 6	324048	4.61E-06	1.23	0.0002	1.91	3.39E-24
commd1	COMM domain containing protein 1	692293	3.73E-06	1.31	0.00013	2.5	5.49E-17
comtd1	Catechol-O-methyltransferase domain containing 1	568094	5.07E-15	-1.75	2.24E-25	2.14	3.59E-14
cpsf6	Cleavage and polyadenylation specific factor 6	327069	0.00003	1.19	0.00104	1.95	2.22E-09
csk	C-src tyrosine kinase	556454	0.00002	-1.78	0.11271	2.95	9.66E-10
cul4a	Cullin 4A	394002	0.00003	-1.11	0.14517	1.56	3.62E-06
cyfip1	Cytoplasmic FMR1 interacting protein 1	336613	0.00137	1.13	0.17508	1.88	2.04E-07
dab2	Disabled homolog 2 (Drosophila)	404040	1.98E-06	-1.65	0.00607	2	2.97E-07
dpysl4	Dihydropyrimidinase-like 4	553411	4.58E-06	-1.28	0.04819	1.73	6.31E-09
Dr.100792	Transcribed locus		2.46E-11	-1.31	0.19443	4.25	2.69E-35
Dr.104095	Transcribed locus		0.00006	-1.41	0.13871	1.94	8.88E-09
Dr.107795	Transcribed locus		1.50E-10	-1.92	0.00009	1.77	2.72E-12
Dr.108362	Transcribed locus, strongly similar to XP_698488.2  hypothetical protein [Danio rerio]		9.88E-06	-1.52	0.25742	5.32	9.29E-12
Dr.108452	Transcribed locus		3.09E-10	-1.73	0.11814	4.64	0
Dr.108454	Transcribed locus		0.007	1.43	0.3873	3.69	3.74E-42
Dr.114789	Transcribed locus, weakly similar to XP_001337855.1  similar to ReO_6 [Danio rerio]		0.00015	-1.4	0.03103	1.75	0.00007
Dr.119980	Transcribed locus		0.00019	-1	1	2.97	1.04E-13
Dr.121558	Transcribed locus		0.00824	1.21	0.28604	1.88	4.29E-23
Dr.121815	Transcribed locus		0.00044	1.39	7.64E-09	2.01	5.18E-18
Dr.122070	Transcribed locus		0.00039	1.07	0.62427	2.02	3.68E-13
Dr.122143	Transcribed locus		0.00506	1.26	0.00069	1.74	3.14E-12
Dr.122357	Transcribed locus		0.00004	-2.37	7.74E-12	1.58	0.16576
Dr.122469	Transcribed locus		2.55E-06	-1.01	0.81125	1.52	6.00E-10
Dr.122492	Transcribed locus		1.08E-07	-1.15	0.02223	1.51	1.20E-10
Dr.122581	Transcribed locus		0.00039	1.04	0.76771	1.99	1.84E-11
Dr.122597	CDNA, clone cssl:d0205		9.16E-07	-1.79	0.00158	1.76	1.85E-06
Dr.122621	Transcribed locus, weakly similar to NP_001038873.1  protein LOC751695 [Danio rerio]		0.00463	1.35	0.16586	2.65	4.18E-17
Dr.122689	Transcribed locus		0.00258	1.31	9.46E-07	1.88	1.76E-08
Dr.122710	Transcribed locus		1.61E-07	1.24	0.00183	2.65	5.00E-16
Dr.122871	Transcribed locus		4.24E-14	-2.47	2.11E-17	5.36	4.67E-07
Dr.122913	Transcribed locus, weakly similar to XP_001110926.1  fascin 2 [Macaca mulatta]		2.06E-09	-2.39	0.00614	2.2	0
Dr.122947	Transcribed locus		1.39E-14	-6.29	1.63E-06	12.36	1.42E-20
Dr.122953	Transcribed locus		3.05E-06	-1.78	0.08254	2.16	1.19E-26
Dr.123018	Transcribed locus, weakly similar to XP_001091489.1  similar to FERM, RhoGEF and pleckstrin domain protein 2 [Macaca mulatta]		1.10E-07	-1.64	0.05029	1.99	8.83E-38
Dr.123111	Transcribed locus		0.00011	1.19	0.00151	1.7	1.48E-19
Dr.123138	Transcribed locus		2.68E-12	-1	1	6.45	0
Dr.123166	Transcribed locus		0.00022	-1.08	0.35406	1.54	1.24E-06
Dr.123377	Transcribed locus, moderately similar to XP_001142973.1  WD repeat domain 10 isoform 7 [Pan troglodytes]		0.00624	1.17	0.00948	1.71	0.00004
Dr.123426	Transcribed locus		0.00023	1.25	0.06381	1.85	0
Dr.123456	Transcribed locus		0.00368	-1.11	0.7252	1.99	1.09E-13
Dr.1235	Transcribed locus		0.00003	1.27	0.00448	2.48	7.53E-13
Dr.123618	Transcribed locus		2.56E-08	-1.63	0.01179	1.85	1.06E-15
