ENSEMBL ID	GENESYMBOL	CYTOBAND	FOLD-CHANGE	P-VALUE
ENSG00000054356	PTPRN	2q35-q36.1	3.143743111	1.40E-05
ENSG00000151692	RNF144A	2p25.2-p25.1	2.694691283	4.44E-05
ENSG00000148082	SHC3	9q22.1	2.703840408	5.02E-05
ENSG00000169116		4q13.3-q21.3	3.475530808	7.82E-05
ENSG00000164929	BAALC	8q22.3	3.413700919	0.000108402
ENSG00000179209		NA	3.127023367	0.000155328
ENSG00000011465	DCN	12q21.33	2.950160272	0.000214597
ENSG00000105711	SCN1B	19q13.1	2.328030565	0.000232438
ENSG00000111962	UST	6q25.1	2.323350261	0.000293338
ENSG00000064886	CHI3L2	1p13.3	2.322926221	0.000321435
ENSG00000204103	MAFB	20q11.2-q13.1	2.783068979	0.000323434
ENSG00000112096	SOD2	6q25.3	5.529312076	0.000339796
ENSG00000060656	PTPRU	1p35.3-p35.1	2.775042757	0.000359622
ENSG00000208492		NA	2.356343719	0.000377955
ENSG00000067992	PDK3	Xp22.11	2.521769943	0.00039303
ENSG00000119655	NPC2	14q24.3	2.222181517	0.000490681
ENSG00000186879	NA	NA	2.198693746	0.000520907
ENSG00000158270	COLEC12	18pter-p11.3	6.655083035	0.000600738
ENSG00000196549	MME	3q25.1-q25.2	8.530596745	0.000623438
ENSG00000203500		NA	3.265068667	0.000628716
ENSG00000119915	ELOVL3	10q24.32	2.100898796	0.000708323
ENSG00000170745	KCNS3	2p24	3.062436649	0.000750191
ENSG00000198795	ZNF521	18q11.2	2.82754503	0.000801153
ENSG00000019582	CD74	5q32	7.581465068	0.000848772
ENSG00000167996	FTH1	11q13	2.517514347	0.000871032
ENSG00000110002	VWA5A	11q23	2.259160339	0.000888905
ENSG00000189283	FHIT	3p14.2	2.222741229	0.000930907
ENSG00000067141	NEO1	15q22.3-q23	2.960826596	0.001009221
ENSG00000173918	C1QTNF1	17q25.3	3.597430129	0.001015983
ENSG00000145358	DDIT4L	4q23	4.318209785	0.001026465
ENSG00000185650	ZFP36L1	14q22-q24	2.25887327	0.00105876
ENSG00000167107	ACSF2	17q21.33	2.319531331	0.00108377
ENSG00000122378	C10orf57	10q23.1	2.598303577	0.001111022
ENSG00000171298	GAA	17q25.2-q25.3	2.369375189	0.001140872
ENSG00000150594	ADRA2A	10q24-q26	2.764611324	0.001143484
ENSG00000109472	CPE	4q32.3	3.423131386	0.001213605
ENSG00000183762	KREMEN1	22q12.1	2.268585971	0.001230884
ENSG00000180287	PLD5	1q43	4.453213149	0.001234499
ENSG00000178184	PARD6G	18q23	2.35941086	0.00123835
ENSG00000164050	PLXNB1	3p21.31	2.230071552	0.001281941
ENSG00000180447	GAS1	9q21.3-q22	2.891523846	0.001327246
ENSG00000123496	IL13RA2	Xq13.1-q28	14.93922428	0.001404763
ENSG00000143786	CNIH3	1q42.12	2.985439501	0.00141432
ENSG00000136235	GPNMB	7p15	3.635507235	0.00146556
ENSG00000174899	C3orf55	NA	2.850562565	0.001468509
ENSG00000184408	KCND2	7q31	6.266239884	0.001676524
ENSG00000125730	C3	NA	11.44453282	0.001695
ENSG00000153132	CLGN	4q28.3-q31.1	5.348335618	0.001782384
ENSG00000078053	AMPH	7p14-p13	2.275147374	0.001833246
ENSG00000003137	CYP26B1	2p13.3	3.347080695	0.001840711
ENSG00000176971	FIBIN	11p14.2	5.314608182	0.001959345
ENSG00000076716	GPC4	Xq26.1	5.118105904	0.001968505
ENSG00000204257	HLA-DMA	6p21.3	3.487870962	0.002072711
ENSG00000206803	U6	NA	3.001769778	0.002082939
ENSG00000104870	FCGRT	19q13.3	2.049653445	0.002175127
ENSG00000133424	LARGE	22q12.3	2.03731162	0.002209624
ENSG00000154065	ANKRD29	18q11.2	6.469929536	0.002212766
ENSG00000100505	TRIM9	14q22.1	2.213281059	0.002322931
ENSG00000170271	C5orf4	5q31-q32	2.58324295	0.002398876
ENSG00000162545	CAMK2N1	1p36.12	4.151166121	0.002465909
ENSG00000085662	AKR1B1	7q35	2.26985478	0.002548424
ENSG00000206816	Y_RNA	NA	2.148157837	0.002569221
ENSG00000136040	PLXNC1	12q23.3	3.309668372	0.002579562
ENSG00000109819	PPARGC1A	4p15.1	2.052933174	0.002682469
ENSG00000108679	LGALS3BP	NA	2.415095101	0.002754097
ENSG00000214814	FER1L6	NA	3.284931606	0.002888256
ENSG00000159403		NA	2.616968695	0.002942583
ENSG00000147507	LYN	8q13	2.783519133	0.003010589
ENSG00000135914	HTR2B	2q36.3-q37.1	2.478166865	0.0032353
ENSG00000209702	SNORD41	NA	2.34892937	0.003247709
ENSG00000197872	FAM49A	2p24.3	4.280719587	0.003288798
ENSG00000188681		NA	2.107749378	0.003362092
ENSG00000164932	CTHRC1	8q22.3	2.711009183	0.003784644
ENSG00000112796	ENPP5	6p21.1-p11.2	2.064458379	0.003953908
ENSG00000170373	CST1	20p11.21	5.65673662	0.004018424
ENSG00000123364	HOXC13	12q13.3	2.083751638	0.004179063
ENSG00000141458	NPC1	18q11-q12	2.604428203	0.004296426
ENSG00000165409	TSHR	14q31	2.538576964	0.004466764
ENSG00000152661	GJA1	6q21-q23.2	2.398246581	0.004551034
ENSG00000214617	SLC6A10P	NA	2.038997491	0.004763494
