Probe	Accession No.	Description	Gene ID	si-control(1)	si-GATA2(1)	Folf Change(log2)	si-control(2)	si-GATA2(2)	Fold Change (log2)
211337_s_at	BC000966	gamma tubulin ring complex protein (76p gene)	76P	86.1	157.9	0.9	91.8	170.7	0.9
205969_at	NM_001086	arylacetamide deacetylase (esterase)	AADAC	6.8	36.2	2.9	86.8	256.6	1.7
213017_at	AL534702	abhydrolase domain containing 3	ABHD3	55.2	136.7	1.1	34.9	100.6	1.5
213497_at	AL050374	ankyrin repeat and BTB (POZ) domain containing 2	ABTB2	23.1	41.1	0.9	52.5	128.8	0.9
202324_s_at	NM_022735	acyl-Coenzyme A binding domain containing 3	ACBD3	187.3	448.1	1.3	259.8	673.3	1.4
207275_s_at	NM_001995	acyl-CoA synthetase long-chain family member 1	ACSL1	101.1	168.7	0.8	87.4	267.4	1.7
222592_s_at	AW173691	acyl-CoA synthetase long-chain family member 5	ACSL5	170.3	367.4	1.1	213	379.4	0.9
200974_at	NM_001613	actin, alpha 2, smooth muscle, aorta	ACTA2	373.7	651.8	0.6	416.9	927.8	1.1
225421_at	AI654133	Aminoacylase 1-like 2	ACY1L2	100.6	129.1	0.5	75.2	121.5	1.4
206046_at	NM_003812	a disintegrin and metalloproteinase domain 23	ADAM23	43.4	80.4	1.1	65.3	88.1	1
1555326_a_at	AF495383	a disintegrin and metalloproteinase domain 9 (meltrin gamma)	ADAM9	421	823.8	1	851.9	1454.4	0.8
209321_s_at	AF033861	adenylate cyclase 3	ADCY3	90.9	170.7	0.9	74.9	283.4	1.7
205891_at	NM_000676	adenosine A2b receptor	ADORA2B	38.4	100.6	1.4	85.6	283	2
219558_at	NM_024524	ATPase family homolog up-regulated in senescence cells	AFURS1	97.5	341.9	1.5	224.1	910.7	2.1
202587_s_at	BC001116	adenylate kinase 1	AK1	403.8	767.9	1	533	942.3	0.9
204348_s_at	NM_013410	adenylate kinase 3	AK3	71.3	217.1	1.7	237.1	482.3	1.3
204151_x_at	NM_001353	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)	AKR1C1	353.4	796.5	1.2	394.1	661.7	0.8
209699_x_at	U05598	aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)	AKR1C2	223.2	621.5	1.3	235.9	486	0.8
209160_at	AB018580	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)	AKR1C3	576.5	1038.7	0.9	678.2	1200.7	0.8
229354_at	AB033060	aryl-hydrocarbon receptor repressor /// programmed cell death 6	AHRR /// PDCD6	32.1	61.1	0.9	66.6	118.4	0.8
201951_at	BF242905	Activated leukocyte cell adhesion molecule	ALCAM	82.3	428.7	1.9	178.4	607.8	1.9
202054_s_at	NM_000382	aldehyde dehydrogenase 3 family, member A2	ALDH3A2	182.5	233.4	0.5	83.7	210.6	1.3
202022_at	NM_005165	aldolase C, fructose-bisphosphate	ALDOC	43.4	142.5	1.5	41.1	101.8	1
223355_at	BC004402	asparagine-linked glycosylation 1 homolog (yeast, beta-1,4-mannosyltransferase)	ALG1	38.8	66.6	0.4	28.2	126.9	1.5
204174_at	NM_001629	arachidonate 5-lipoxygenase-activating protein	ALOX5AP	24	67.9	1.1	95.7	262.9	1.3
222108_at	AC_004010	amphoterin induced gene 2	AMIGO2	36.2	91.7	1	59.9	117.5	1
205572_at	NM_001147	angiopoietin 2	ANGPT2	1228.6	2823.9	1.2	709.6	2254.5	1.7
213004_at	AI074333	angiopoietin-like 2	ANGPTL2	104.9	184.6	1.1	63	248.9	1.9
