Probe set ID	Gene symbol	Fold change F19	Fold change NCFB	Potential function	Category
99 671_at	Cfd	1·59	2·35	regulates insulin sensitivity	Energyhomeostasis
99 104_at	Adipoq	1·76	2·26	regulates insulin sensitivity	Energyhomeostasis
160375_at	Car3	1·70	2·17	implicated in fatty acid metabolism	Energyhomeostasis
94 057_g_at	Scd1	1·78	1·95	catalyses a rate-limiting step in the synthesis of unsaturated	Energyhomeostasis
94 056_at	Scd1	1·63	1·80	fatty acids	Energyhomeostasis
160306_at	Thrsp	1·55	1·25	implicated in lipogenesis	Energyhomeostasis
93 755_at	Retnlb	229·33	225·14	antagonizes insulin action	Energyhomeostasis
92 917_at	Mmp7	2·26	1·53	implicated in regulation of intestinal mucosal defence	Hostdefence
101753_s_at	Lyzs	2·20	1·60	catalyses the hydrolysis of certain mucopolysaccharides of bacterial cell walls	Hostdefence
101753_s_at	Lzp-s	2·20	1·61	catalyses the hydrolysis of certain mucopolysaccharides of bacterial cell walls	Hostdefence
100611_at	Lyzs	1·91	1·48	catalyses the hydrolysis of certain mucopolysaccharides of bacterial cell walls	Hostdefence
92 735_at	Pla2g2a	2·02	1·58	phospholipase, may contribute to the gastric response to bacterial infection	Hostdefence
101752_f_at	Igh-6	1·05	1·74	Ig heavy chain of IgM	Hostdefence
160909_at	Sprr1a	1·15	1·45	implicated in fortifying the intestinal epithelial barrier in response to bacterial colonization	Hostdefence
93 142_at	Bach1	1·75	1·50	forms heterodimers with MafK and coordinates transcription activation and repression by this factor	Miscellaneous
92 811_at	Rbp2	1·47	1·57	regulates the uptake and metabolism of vitamin A	Miscellaneous
104155_f_at	Atf3	1·46	1·55	a member of the mammalian activation transcription factor/CREB protein family of transcription factors	Miscellaneous
94 910_at	Nde1	2·13	21·06	function in the intestine poorly understood	Miscellaneous
160906_i_at		1·71	1·28		Miscellaneous
162190_r_at	Lmbr1l	1·65	1·40	function poorly understood	Miscellaneous
96 679_at	Dnajb9	1·52	1·27	function poorly understood	Miscellaneous
160829_at	Phlda1	1·37	1·49	function poorly understood	Miscellaneous
92 470_f_at	LOC546230	1·20	1·49		Miscellaneous
101704_at	Hnf4g	1·47	1·40	transcription factor involved in divergent functions	Miscellaneous
93 975_at	Errfi1	1·15	1·45	function poorly understood	Miscellaneous
102208_at	St3gal6	21·91	21·35	catalyses the transfer of sialic acid to terminal positions on the carbohydrate groups of glycoproteins and glycolipids	Miscellaneous
95 586_at	P2rx4	21·51	21·41	ligand-gated ion channel	Miscellaneous
95 518_at	1810015C04Rik	21·50	21·31		Miscellaneous
93 372_at	Anp32a	21·47	21·29	a putative HLA class II-associated protein	Miscellaneous
96 656_at	Wdr48	21·43	21·33	function poorly understood	Miscellaneous
96 088_at	Ndrg2	21·42	21·25	function in the intestine poorly understood	Miscellaneous
