Gene	Gene Annotation	Alternative Exon Usage (P value)
SLC7A5P1	solute carrier family 7 (cationic amino acid transporter y+ system) member 5 pseudogene 1	3.17E-38
TBX2	T-box 2	4.01E-38
DDX3X	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3 X-linked	3.81E-31
MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)	6.03E-31
T1560	T1560 protein	2.6E-26
CHD2	chromodomain helicase DNA binding protein 2	9.76E-24
LOC399959	hypothetical gene supported by BX647608	3.94E-21
AVIL	advillin	9.37E-21
LIPA	lipase A lysosomal acid cholesterol esterase (Wolman disease)	9.43E-21
LOC728888	similar to Protein KIAA0220	9.49E-20
MAN1A1	mannosidase alpha class 1A member 1	1.24E-18
BTN2A3	butyrophilin subfamily 2 member A3	3.77E-18
ZDHHC11	zinc finger DHHC-type containing 11	5.61E-18
FOXK2	forkhead box K2	7.84E-18
LAMB2	laminin beta 2 (laminin S)	7.18E-17
PLS3	plastin 3 (T isoform)	3.58E-16
ATF6	activating transcription factor 6	4.8E-16
HDAC9	histone deacetylase 9	1.56E-15
SUSD1	sushi domain containing 1	2.25E-15
ZNF407	zinc finger protein 407	2.85E-15
CDKN1A	cyclin-dependent kinase inhibitor 1A (p21 Cip1)	7.07E-15
PRKXP1	protein kinase X-linked pseudogene 1	7.17E-15
ADAM32	ADAM metallopeptidase domain 32	1.04E-14
SLC7A11	solute carrier family 7 (cationic amino acid transporter y+ system) member 11	1.07E-14
TBCD	tubulin folding cofactor D	1.53E-14
PARG	poly (ADP-ribose) glycohydrolase	1.63E-14
C20orf199	chromosome 20 open reading frame 199	3.11E-14
ABLIM3	actin binding LIM protein family member 3	3.69E-14
PHEX	phosphate regulating endopeptidase homolog X-linked	3.99E-14
NPIP	nuclear pore complex interacting protein	4.04E-14
FLJ43663	hypothetical protein FLJ43663	4.4E-14
MCM5	minichromosome maintenance complex component 5	4.66E-14
SLC30A6	solute carrier family 30 (zinc transporter) member 6	4.75E-14
MPDU1	mannose-P-dolichol utilization defect 1	8E-14
TRAF1	TNF receptor-associated factor 1	1.05E-13
NBPF11	neuroblastoma breakpoint family member 11	1.32E-13
TMEM16B	transmembrane protein 16B	1.87E-13
MARK3	MAP/microtubule affinity-regulating kinase 3	2.3E-13
