Probe ID	Unigene	Gene symbol	Gene description
1448213_at	Hs.494173	ANXA1	Annexin A1
1424460_s_at	Hs.368853	AYTL2	Acyltransferase like 2
1424278_a_at	Hs.514527	BIRC5	Baculoviral IAP repeat-containing 5 (survivin)
1416815_s_at	Hs.418533	BUB3	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)
1455356_at	Hs.522493	CAMSAP1	Calmodulin-regulated spectrin-associated protein 1
1416884_at	Hs.381189	CBX3	Chromobox homolog 3 (HP1 gamma homolog, Drosophila)
1425616_a_at	Hs.113919	CCDC23	Coiled-coil domain containing 23
1427031_s_at	Hs.477144	CCDC52	Coiled-coil domain containing 52
1417911_at	Hs.58974	CCNA2	Cyclin A2
1417419_at	Hs.523852	CCND1	Cyclin D1
1438560_x_at	Hs.421509	CCT4	Chaperonin containing TCP1, subunit 4 (delta)
1417258_at	Hs.1600	CCT5	Chaperonin containing TCP1, subunit 5 (epsilon)
1423760_at	Hs.502328	CD44	CD44 molecule (Indian blood group)
1452242_at	Hs.14559	CEP55	Centrosomal protein 55 kDa
1417457_at	Hs.83758	CKS2	CDC28 protein kinase regulatory subunit 2
1449300_at	Hs.485899	CTTNBP2NL	CTTNBP2 N-terminal like
1454268_a_at	Hs.513803	CYBA	Cytochrome b-245, alpha polypeptide
1419275_at	Hs.222510	DAZAP1	DAZ associated protein 1
1424198_at	Hs.500245	DLG5	Discs, large homolog 5 (Drosophila)
1435122_x_at	Hs.202672	DNMT1	DNA (cytosine-5-)-methyltransferase 1
1452052_s_at	Hs.404056	EIF3S1	Eukaryotic translation initiation factor 3, subunit 1 alpha
1426674_at	Hs.371001	EIF3S9	Eukaryotic translation initiation factor 3, subunit 9 eta
1448797_at	Hs.591015	ELK3	ETS-domain protein (SRF accessory protein 2)
1437211_x_at	Hs.520189	ELOVL5	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)
1420965_a_at	Hs.104925	ENC1	Ectodermal-neural cortex (with BTB-like domain)
1451550_at	Hs.2913	EPHB3	EPH receptor B3
1417301_at	Hs.591863	FZD6	Frizzled homolog 6 (Drosophila)
1419595_a_at	Hs.78619	GGH	Gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
1419205_x_at	Hs.193832	GPATC4	G patch domain containing 4
1433736_at	Hs.83634	HCFC1	Host cell factor C1 (VP16-accessory protein)
1423051_at	Hs.166463	HNRPU	Heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)
1426705_s_at	Hs.445403	IARS	Isoleucine-tRNA synthetase
1422546_at	Hs.465885	ILF3	Interleukin enhancer binding factor 3
1456097_a_at	Hs.166539	ITGB3BP	Integrin beta 3 binding protein (beta3-endonexin)
1421344_a_at	Hs.655832	JUB	ajuba homolog (Xenopus laevis)
1452118_at	Hs.129621	KIAA0179	KIAA0179
1427080_at	Hs.370118	KIAA0406	KIAA0406
1448169_at	Hs.406013	KRT18	Keratin 18
1416621_at	Hs.513983	LLGL1	Lethal giant larvae homolog 1 (Drosophila)
1434210_s_at	Hs.518055	LRIG1	Leucine-rich repeats and immunoglobulin-like domains 1
1417511_at	Hs.425427	LYAR	Hypothetical protein FLJ20425
1439426_x_at	Hs.524579	LYZ	Lysozyme (renal amyloidosis)
1455941_s_at	Hs.114198	MAP2K5	Mitogen-activated protein kinase kinase 5
1437226_x_at	Hs.75061	MARCKSL1	MARCKS-like 1
1439081_at	Hs.500842	MGEA5	Meningioma expressed antigen 5 (hyaluronidase)
1424001_at	Hs.367842	MKI67IP	MKI67 (FHA domain) interacting nucleolar phosphoprotein
1449478_at	Hs.2256	MMP7	Matrix metallopeptidase 7 (matrilysin, uterine)
1455129_at	Hs.377155	MTDH	Metadherin
1419254_at	Hs.469030	MTHFD2	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
1452778_x_at	Hs.524599	NAP1L1	Nucleosome assembly protein 1-like 1
1423046_s_at	Hs.591671	NCBP2	Nuclear cap binding protein subunit 2
1455035_s_at	Hs.376064	NOL5A	Nucleolar protein 5A (56 kDa with KKE/D repeat)
1416606_s_at	Hs.27222	NOLA2	Nucleolar protein family A, member 2 (H/ACA small nucleolar RNPs)
1449140_at	Hs.140443	NUDCD2	NudC domain containing 2
1428277_at	Hs.30532	OTUD6B	OTU domain containing 6B
1435368_a_at	Hs.177766	PARP1	poly-(ADP-ribose) polymerase family, member 1
1452620_at	Hs.75812	PCK2	Phosphoenolpyruvate carboxykinase 2 (mitochondrial)
1426838_at	Hs.82502	POLD3	Polymerase (DNA-directed), delta 3, accessory subunit
1427094_at	Hs.162777	POLE2	Polymerase (DNA directed), epsilon 2 (p59 subunit)
1449648_s_at	Hs.584839	POLR1C	polymerase (RNA) I polypeptide C
1433552_a_at	Hs.602757	POLR2B	polymerase (RNA) II (DNA directed) polypeptide B
1436505_at	Hs.470544	PPIG	Peptidylprolyl isomerase G (cyclophilin G)
1428265_at	Hs.546276	PPP2R1B	protein phosphatase 2 (formerly 2A), regulatory subunit A, beta isoform
1423775_s_at	Hs.567385	PRC1	protein regulator of cytokinesis 1
1452032_at	Hs.280342	PRKAR1A	Protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue-specific extinguisher 1)
1451576_at	Hs.491682	PRKDC	Protein kinase, DNA-activated, catalytic polypeptide
1435859_x_at	Hs.437366	PSMC2	Proteasome (prosome, macropain) 26S subunit, ATPase, 2
1426631_at	Hs.520619	PUS7	Pseudouridylate synthase 7 homolog (S. cerevisiae)
1448899_s_at	Hs.591046	RAD51AP1	RAD51-associated protein 1
1423700_at	Hs.115474	RFC3	Replication factor C (activator 1) 3
1456375_x_at	Hs.440382	RFP	Tripartite motif-containing 27
1439403_x_at	Hs.653288	RNF12	Ring finger protein 12
1437309_a_at	Hs.461925	RPA1	Replication protein A1
1453362_x_at	Hs.356794	RPS24	Ribosomal protein S24
1416276_a_at	Hs.446628	RPS4X	Ribosomal protein S4, X-linked
