Gene Sym.	GenBank Acc.	Partek Alt Splice P-Value	FIRMA Alt Splice P-Value
BTG2	NM_006763	,0.0001#	,0.0001#
C1orf183	NM_019099	0.0304	0.0005
CDKN1A	NM_078467	,0.0001#	,0.0001#
CKAP2	NM_018204	,0.0001#	0.0112
FBXW7	NM_033632	,0.0001#	,0.0001
FDXR	NM_024417	0.0017	0.0001
GDF15	NM_004864	,0.0001#	,0.0001
IER5	NM_016545	0.0001#	,0.0001
LRDD	NM_018494	0.0002#	0.0001
MDM2	NM_002392	,0.0001#	,0.0001#
PLK3	NM_004073	,0.0001#	,0.0001
PPM1D	NM_003620	0.0011#	,0.0001
SESN1	NM_014454	,0.0001#	,0.0001
SESN2	NM_031459	,0.0001#	0.0002
THSD1P	NR_002816	,0.0001#	0.001
TP53INP1	NM_033285	0.0008#	0.0011
TRAF4	NM_004295	0.0004#	0.0005
VWCE	NM_152718	0.004	,0.0001
AURKA	NM_198433	,0.0001#	0.0002
BCOR	NM_001123385	,0.0001#	0.0185
BUB1B	NM_001211	0.0055	0.0027
C13orf34	NM_024808	,0.0001#	0.0002
CBL	NM_005188	,0.0001#	0.0068
CCNB1	NM_031966	,0.0001#	0.0002
CCNF	NM_001761	0.0026	0.0003
CDC25B	NM_021873	,0.0001#	0.0003
CENPA	NM_001809	0.1645	,0.0001
CENPE	NM_001813	0.0464	0.0005
FAM83D	NM_030919	0.002	,0.0001
GAS2L3	NM_174942	0.0002#	,0.0001
HERC4	NM_022079	0.0001#	0.0017
HIST1H1T	NM_005323	0.0307	0.001
KIAA1333 (G2E3)	NM_017769	,0.0001#	0.0267
KIF18A	NM_031217	0.0248	0.0009
KIF23	NM_138555	0.0073	0.0084
PLK1	NM_005030	0.0054	0.0003
PSRC1	NM_001032290	0.0081	0.0006
TPX2	NM_012112	0.0084	0.0064
TROAP	NM_005480	0.0288	0.0003
